Date,Time,Notetype,Maskedserial,Locality
2022-12-02,10:54:25,100,Rxxxx4152xxx,Tirana
2022-12-02,10:53:56,100,Rxxxx3342xxx,Tirana
2022-12-02,10:53:33,100,Exxxx7061xxx,Tirana
2022-12-02,10:53:03,50,Sxxxx7662xxx,Tirana
2022-12-02,10:52:41,50,Uxxxx2235xxx,Tirana
2022-12-02,09:54:09,50,Uxxxx2592xxx,Tirana
2022-12-02,09:53:29,50,Sxxxx3098xxx,Tirana
2022-12-02,09:53:09,50,Sxxxx0296xxx,Tirana
2022-12-02,09:52:47,50,Sxxxx7783xxx,Tirana
2022-12-02,09:52:24,50,Sxxxx0465xxx,Tirana
2022-12-02,09:52:02,50,Rxxxx8767xxx,Tirana
2022-12-02,09:51:38,50,Sxxxx5516xxx,Tirana
2022-12-02,09:51:16,50,Sxxxx7416xxx,Tirana
2022-12-02,09:50:50,50,Rxxxx2545xxx,Tirana
2022-12-02,09:50:26,50,Sxxxx7657xxx,Tirana
2022-12-01,08:52:24,10,Fxxxx4598xxx,Tirana
2022-12-01,08:51:56,5,Yxxxx6751xxx,Tirana
2022-12-01,02:01:24,20,Uxxxx2513xxx,Tirana
2022-11-26,12:24:20,20,Exxxx5519xxx,Tirana
2022-11-23,18:25:19,50,Sxxxx0704xxx,Tirana
2022-11-23,18:24:59,50,Sxxxx9553xxx,Tirana
2022-11-23,18:24:43,50,Rxxxx6234xxx,Tirana
2022-11-23,18:24:24,50,Vxxxx7926xxx,Tirana
2022-11-23,18:24:06,50,Rxxxx3497xxx,Tirana
2022-11-23,18:23:46,50,Rxxxx3497xxx,Tirana
2022-11-23,18:23:27,50,Rxxxx3497xxx,Tirana
2022-11-23,18:23:06,50,Rxxxx3497xxx,Tirana
2022-11-23,18:22:46,50,Uxxxx7754xxx,Tirana
2022-11-23,18:22:28,50,Vxxxx5803xxx,Tirana
2022-11-23,18:22:12,50,Vxxxx5803xxx,Tirana
2022-11-23,18:21:55,50,Sxxxx0790xxx,Tirana
2022-11-23,18:21:34,50,Sxxxx7774xxx,Tirana
2022-11-23,18:21:17,50,Wxxxx7770xxx,Tirana
2022-11-23,18:21:01,50,Exxxx7192xxx,Tirana
2022-11-23,18:20:44,50,Uxxxx8589xxx,Tirana
2022-11-23,18:20:18,50,Sxxxx8881xxx,Tirana
2022-11-23,18:19:57,50,Pxxxx7304xxx,Tirana
2022-11-23,18:19:23,50,Sxxxx4291xxx,Tirana
2022-11-19,19:08:33,20,Rxxxx2451xxx,Tirana
