Date,Time,Notetype,Maskedserial,Locality
2022-12-04,10:14:56,20,Uxxxx8262xxx,Andorra la Vella
2022-12-04,10:14:56,20,Uxxxx5808xxx,Andorra la Vella
2022-12-04,10:14:56,20,Uxxxx6269xxx,Andorra la Vella
2022-12-04,10:14:56,20,Uxxxx2734xxx,Andorra la Vella
2022-12-04,10:14:56,20,Uxxxx4185xxx,Andorra la Vella
2022-12-04,10:13:48,50,Vxxxx4713xxx,Andorra la Vella
2022-12-04,10:13:48,50,Uxxxx7093xxx,Andorra la Vella
2022-12-04,09:37:03,10,Rxxxx4762xxx,Andorra
2022-10-31,20:50:08,5,Vxxxx7728xxx,Andorra la Vella
2022-10-31,10:40:34,5,Vxxxx2440xxx,Andorra la Vella
2022-10-31,10:40:06,10,Fxxxx0822xxx,Andorra la Vella
2022-10-30,17:37:43,10,Rxxxx2571xxx,Andorra la Vella
2022-10-30,17:36:32,5,Yxxxx5254xxx,Andorra la Vella
2022-10-30,17:36:32,10,Rxxxx6084xxx,Andorra la Vella
2022-10-30,17:34:44,10,Vxxxx2020xxx,Andorra la Vella
2022-10-30,17:34:44,20,Exxxx9928xxx,Andorra la Vella
2022-10-30,13:19:12,5,Exxxx3326xxx,Canillo
2022-10-29,21:37:53,5,Vxxxx5433xxx,Andorra la Vella
2022-10-29,21:37:06,20,Uxxxx2934xxx,Andorra la Vella
2022-10-29,21:36:39,20,Uxxxx0697xxx,Andorra la Vella
2022-10-29,20:58:02,10,Rxxxx8801xxx,Andorra la Vella
2022-10-29,17:09:52,20,Uxxxx1264xxx,Escaldes-Engordany
2022-10-29,17:08:29,10,Vxxxx7957xxx,Escaldes-Engordany
2022-10-29,17:06:59,5,Mxxxx8721xxx,Andorra la Vella
2022-10-29,13:09:41,10,Vxxxx1650xxx,Andorra la Vella
2022-10-29,13:09:41,20,Uxxxx1395xxx,Andorra la Vella
2022-10-29,13:08:23,5,Vxxxx4299xxx,Andorra la Vella
2022-10-28,22:19:32,5,Zxxxx9989xxx,Soldeu
2022-10-07,11:28:48,20,Sxxxx7245xxx,Mataró
2022-10-07,11:28:15,20,Xxxxx1745xxx,Mataró
2022-10-07,11:27:31,10,Wxxxx4795xxx,Mataró
2022-10-07,11:17:52,10,Rxxxx1895xxx,Mataró
2022-10-07,11:16:49,50,Exxxx5627xxx,Mataró
2022-10-07,11:15:21,50,Vxxxx9697xxx,Mataró
