Date,Time,Notetype,Maskedserial,Locality
2022-10-10,03:56:59,20,Sxxxx5053xxx,Buenos Aires
2022-10-10,03:56:59,20,Xxxxx4274xxx,Buenos Aires
2022-10-10,03:56:59,20,Xxxxx1915xxx,Buenos Aires
2022-10-06,19:16:49,100,Wxxxx5786xxx,Buenos Aires
2022-10-06,19:16:49,100,Wxxxx5786xxx,Buenos Aires
2022-10-06,19:16:49,100,Wxxxx5786xxx,Buenos Aires
2022-10-06,19:16:49,100,Wxxxx5786xxx,Buenos Aires
2022-10-06,19:16:49,100,Wxxxx5786xxx,Buenos Aires
2022-10-06,19:16:49,100,Wxxxx5786xxx,Buenos Aires
2022-10-06,19:16:49,100,Wxxxx5786xxx,Buenos Aires
2022-10-06,19:16:49,100,Wxxxx5786xxx,Buenos Aires
2022-10-06,19:16:49,100,Wxxxx5786xxx,Buenos Aires
2022-10-06,19:16:49,100,Wxxxx5786xxx,Buenos Aires
2022-10-06,19:16:49,100,Wxxxx5786xxx,Buenos Aires
2022-10-06,19:16:49,100,Wxxxx5786xxx,Buenos Aires
2022-10-06,19:16:49,100,Wxxxx5786xxx,Buenos Aires
2022-10-06,19:16:49,100,Wxxxx5786xxx,Buenos Aires
2022-10-06,19:16:49,100,Wxxxx5786xxx,Buenos Aires
2022-09-23,22:22:14,50,Zxxxx0126xxx,Buenos Aires
2022-09-23,22:22:14,50,Zxxxx3887xxx,Buenos Aires
2022-09-23,22:22:14,50,Xxxxx5470xxx,Buenos Aires
2022-09-23,22:16:23,100,Nxxxx3868xxx,Buenos Aires
2022-09-23,22:16:23,100,Sxxxx8226xxx,Buenos Aires
2022-09-23,22:16:23,100,Sxxxx7576xxx,Buenos Aires
2022-09-23,22:16:23,50,Wxxxx4978xxx,Buenos Aires
2022-09-23,22:16:23,200,Xxxxx3102xxx,Buenos Aires
2022-09-23,22:16:23,200,Xxxxx3100xxx,Buenos Aires
2022-09-23,22:16:23,200,Xxxxx2962xxx,Buenos Aires
2022-09-23,22:16:23,200,Xxxxx5311xxx,Buenos Aires
2022-09-23,22:16:23,200,Xxxxx5847xxx,Buenos Aires
2022-09-20,18:51:18,50,Sxxxx5876xxx,Rosario
2022-09-20,18:49:53,100,Exxxx4168xxx,Rosario
2022-09-05,21:43:19,50,Uxxxx5843xxx,Buenos Aires
2022-09-05,19:00:28,100,Vxxxx2503xxx,Buenos Aires
2022-09-05,19:00:28,100,Vxxxx2503xxx,Buenos Aires
2022-09-03,23:51:19,100,Rxxxx5862xxx,Buenos Aires
2022-08-31,17:01:12,100,Sxxxx2631xxx,Buenos Aires
2022-08-19,15:51:14,50,Sxxxx9747xxx,Perez
2022-08-19,15:50:46,50,Vxxxx9650xxx,Perez
2022-08-19,15:50:19,50,Pxxxx3500xxx,Perez
2022-08-19,15:49:51,50,Lxxxx3850xxx,Perez
2022-08-19,15:48:43,100,Xxxxx4985xxx,Perez
2022-08-19,15:48:19,100,Xxxxx4985xxx,Perez
2022-08-19,15:47:51,100,Xxxxx4985xxx,Perez
2022-08-19,15:47:07,100,Xxxxx4985xxx,Perez
2022-08-10,19:00:26,100,Sxxxx2631xxx,Buenos Aires
