Date,Time,Notetype,Maskedserial,Locality
2022-11-06,10:37:17,50,Mxxxx7777xxx,Manama
2022-11-06,09:48:50,10,Rxxxx7386xxx,Manama
2022-11-06,09:48:50,10,Rxxxx3130xxx,Manama
2022-11-06,09:48:50,10,Rxxxx8642xxx,Manama
2022-11-06,09:48:50,5,Vxxxx5076xxx,Manama
2022-03-25,18:29:42,100,Uxxxx8907xxx,Muharraq
2022-03-25,18:29:42,100,Uxxxx8907xxx,Muharraq
2022-03-25,18:29:42,20,Uxxxx7992xxx,Muharraq
2022-03-25,15:35:24,50,Uxxxx1351xxx,Muharraq
2022-03-25,15:35:24,50,Uxxxx5901xxx,Muharraq
2022-03-21,19:09:49,20,Uxxxx7992xxx,Muharraq
2022-03-20,10:19:04,10,Wxxxx0283xxx,Manama
2022-03-16,23:30:58,20,Uxxxx2242xxx,Muharraq
2022-03-16,23:30:11,20,Rxxxx8693xxx,Muharraq
2022-03-16,23:30:11,20,Rxxxx3034xxx,Muharraq
2022-03-16,23:30:11,20,Uxxxx0367xxx,Muharraq
2022-03-16,23:30:11,20,Uxxxx2277xxx,Muharraq
2022-03-16,23:30:11,20,Rxxxx4556xxx,Muharraq
2022-03-16,23:30:11,20,Zxxxx9707xxx,Muharraq
2022-03-16,23:30:11,20,Sxxxx1781xxx,Muharraq
2022-03-16,23:30:11,20,Uxxxx6467xxx,Muharraq
2022-03-16,23:30:11,20,Uxxxx8023xxx,Muharraq
2022-03-16,23:30:11,20,Rxxxx2008xxx,Muharraq
2022-03-16,23:30:11,20,Xxxxx8711xxx,Muharraq
2022-03-16,23:30:11,20,Exxxx2603xxx,Muharraq
2022-03-16,23:30:11,20,Exxxx3634xxx,Muharraq
2022-03-16,23:30:11,20,Zxxxx7261xxx,Muharraq
2022-03-16,23:30:11,20,Rxxxx1981xxx,Muharraq
2022-03-16,23:30:11,20,Uxxxx6557xxx,Muharraq
2022-03-16,23:30:11,20,Exxxx5453xxx,Muharraq
2022-03-16,23:30:11,20,Rxxxx7952xxx,Muharraq
2022-03-16,23:30:11,20,Uxxxx9685xxx,Muharraq
2022-03-16,23:30:11,20,Uxxxx5523xxx,Muharraq
2022-03-16,23:30:11,20,Uxxxx8631xxx,Muharraq
2022-03-16,23:30:11,20,Sxxxx2664xxx,Muharraq
2022-03-16,23:30:11,20,Uxxxx8310xxx,Muharraq
2022-03-16,23:30:11,20,Uxxxx8547xxx,Muharraq
2022-03-16,23:22:25,20,Uxxxx9109xxx,Muharraq
2022-03-16,23:22:25,20,Zxxxx4662xxx,Muharraq
2022-03-16,23:22:25,20,Uxxxx2757xxx,Muharraq
2022-03-16,23:22:25,20,Exxxx8793xxx,Muharraq
2022-03-16,23:22:25,20,Rxxxx6398xxx,Muharraq
2022-03-16,23:22:25,20,Uxxxx8972xxx,Muharraq
2022-03-16,23:22:25,20,Uxxxx6611xxx,Muharraq
2022-03-16,23:22:25,20,Exxxx0519xxx,Muharraq
2022-03-16,23:22:25,20,Uxxxx3826xxx,Muharraq
2022-03-16,23:22:25,20,Wxxxx7859xxx,Muharraq
2022-03-16,23:18:16,50,Uxxxx0663xxx,Muharraq
2022-03-16,23:18:16,50,Pxxxx1793xxx,Muharraq
2022-03-16,23:18:16,50,Zxxxx8128xxx,Muharraq
2022-03-16,23:18:16,50,Uxxxx1002xxx,Muharraq
2022-03-16,23:18:16,50,Wxxxx4364xxx,Muharraq
2022-03-16,23:18:16,50,Pxxxx5326xxx,Muharraq
2022-03-16,23:18:16,50,Pxxxx2070xxx,Muharraq
2022-03-16,23:18:16,50,Vxxxx7115xxx,Muharraq
2022-03-16,23:18:16,50,Vxxxx3338xxx,Muharraq
2022-03-16,23:18:16,50,Sxxxx9244xxx,Muharraq
2022-03-16,23:18:16,50,Uxxxx9918xxx,Muharraq
2022-03-16,23:18:16,50,Zxxxx8063xxx,Muharraq
2022-03-16,23:12:09,50,Lxxxx4038xxx,Muharraq
2022-03-16,23:12:09,50,Pxxxx3370xxx,Muharraq
