Date,Time,Notetype,Maskedserial,Locality
2022-11-23,10:33:45,20,Wxxxx8196xxx,Novopolotsk
2022-11-23,10:32:59,20,Sxxxx9229xxx,Novopolotsk
2022-11-23,10:32:04,20,Uxxxx3470xxx,Novopolotsk
2022-11-23,10:31:14,20,Uxxxx7744xxx,Novopolotsk
2022-11-23,10:30:22,20,Exxxx7521xxx,Novopolotsk
2022-11-09,16:52:00,20,Xxxxx3940xxx,Novopolotsk
2022-11-09,16:50:53,20,Uxxxx4190xxx,Novopolotsk
2022-11-09,16:48:29,20,Uxxxx4116xxx,Novopolotsk
2022-11-09,16:47:40,20,Uxxxx2096xxx,Novopolotsk
2022-11-09,16:46:50,20,Xxxxx3422xxx,Novopolotsk
2022-11-09,16:46:02,20,Uxxxx4876xxx,Novopolotsk
2022-11-09,16:45:08,20,Sxxxx0070xxx,Novopolotsk
2022-11-09,16:43:59,20,Mxxxx5656xxx,Novopolotsk
2022-11-09,16:43:05,20,Mxxxx9466xxx,Novopolotsk
2022-11-09,16:40:20,20,Xxxxx6042xxx,Novopolotsk
2022-10-27,17:55:29,10,Yxxxx2293xxx,Novopolotsk
2022-10-27,17:54:37,20,Uxxxx9958xxx,Novopolotsk
2022-10-27,17:53:46,20,Xxxxx5461xxx,Novopolotsk
2022-10-27,17:51:43,20,Uxxxx0988xxx,Novopolotsk
2022-10-27,17:50:44,10,Sxxxx2539xxx,Novopolotsk
2022-10-27,17:49:48,10,Yxxxx0741xxx,Novopolotsk
2022-10-19,17:33:45,50,Zxxxx3246xxx,Минск
2022-10-19,17:33:45,50,Vxxxx7908xxx,Минск
2022-10-16,10:32:56,5,Zxxxx8644xxx,Brest
2022-10-16,10:31:34,50,Sxxxx7081xxx,Brest
2022-10-16,10:29:49,50,Uxxxx3157xxx,Brest
2022-10-16,10:28:48,50,Sxxxx0924xxx,Brest
2022-10-16,10:28:48,100,Xxxxx2288xxx,Brest
2022-10-16,10:28:48,100,Vxxxx8555xxx,Brest
2022-10-16,10:26:47,100,Xxxxx5655xxx,Brest
2022-10-16,10:24:02,100,Xxxxx2865xxx,Brest
2022-10-07,18:16:15,50,Exxxx4571xxx,Novopolotsk
2022-10-07,18:15:32,50,Uxxxx3642xxx,Novopolotsk
2022-10-07,18:14:56,50,Uxxxx4012xxx,Novopolotsk
2022-10-07,18:14:18,50,Uxxxx6165xxx,Novopolotsk
2022-10-07,18:13:36,50,Zxxxx7371xxx,Novopolotsk
2022-10-07,18:12:58,50,Uxxxx3682xxx,Novopolotsk
2022-10-07,18:12:19,50,Wxxxx8220xxx,Novopolotsk
2022-10-07,18:11:41,50,Pxxxx9589xxx,Novopolotsk
2022-10-07,17:41:53,50,Wxxxx4274xxx,Novopolotsk
2022-10-07,17:41:09,50,Uxxxx1039xxx,Novopolotsk
2022-09-20,14:06:13,50,Pxxxx2604xxx,Минск
2022-09-03,11:08:14,5,Yxxxx1251xxx,Минск
2022-09-03,11:08:14,5,Mxxxx9867xxx,Минск
2022-09-03,11:08:14,5,Uxxxx3567xxx,Минск
2022-09-03,11:08:14,5,Nxxxx0431xxx,Минск
2022-08-31,17:09:01,50,Xxxxx8238xxx,Novopolotsk
2022-08-31,17:07:54,50,Pxxxx2277xxx,Novopolotsk
2022-08-09,18:11:55,50,Wxxxx5942xxx,Novopolotsk
2022-08-09,18:11:22,50,Uxxxx6533xxx,Novopolotsk
2022-08-09,18:10:48,50,Uxxxx8424xxx,Novopolotsk
2022-08-09,18:10:18,50,Wxxxx7010xxx,Novopolotsk
2022-08-05,12:43:00,50,Xxxxx5013xxx,Novopolotsk
2022-08-05,12:42:14,50,Pxxxx8892xxx,Novopolotsk
2022-08-05,12:41:35,50,Wxxxx6403xxx,Novopolotsk
2022-08-05,12:40:56,50,Rxxxx9567xxx,Novopolotsk
2022-08-05,12:40:11,50,Pxxxx3642xxx,Novopolotsk
2022-08-05,12:39:33,50,Sxxxx0729xxx,Novopolotsk
2022-08-05,12:38:53,50,Wxxxx1738xxx,Novopolotsk
2022-08-05,12:38:14,50,Sxxxx4488xxx,Novopolotsk
2022-08-05,12:37:36,50,Uxxxx9912xxx,Novopolotsk
2022-08-05,12:36:00,50,Uxxxx9912xxx,Novopolotsk
2022-08-05,12:31:17,50,Uxxxx3660xxx,Novopolotsk
2022-08-05,12:28:37,50,Uxxxx9912xxx,Novopolotsk
2022-08-01,15:54:14,10,Xxxxx0106xxx,Brest
2022-07-26,23:37:56,5,Exxxx3771xxx,Grodno
2022-07-26,23:37:30,5,Yxxxx8312xxx,Grodno
2022-07-26,23:37:12,5,Mxxxx9583xxx,Grodno
2022-07-26,23:36:52,5,Uxxxx8973xxx,Grodno
2022-07-26,23:36:30,5,Yxxxx8040xxx,Grodno
2022-07-26,23:36:12,5,Yxxxx5196xxx,Grodno
2022-07-26,23:35:55,5,Mxxxx3450xxx,Grodno
2022-07-26,23:35:36,5,Zxxxx6131xxx,Grodno
2022-07-26,23:35:14,5,Uxxxx8193xxx,Grodno
2022-07-26,23:34:49,5,Yxxxx4439xxx,Grodno
2022-07-26,23:34:28,5,Uxxxx9957xxx,Grodno
2022-07-26,23:33:14,5,Vxxxx6313xxx,Grodno
2022-07-24,08:49:49,100,Sxxxx3940xxx,Brest
2022-07-22,18:27:28,50,Uxxxx6520xxx,Novopolotsk
2022-07-22,18:26:49,50,Uxxxx3756xxx,Novopolotsk
