Date,Time,Notetype,Maskedserial,Locality
2022-11-14,14:50:24,5,Vxxxx5898xxx,Santo Domingo
2022-09-23,16:06:06,50,Sxxxx6850xxx,Santo Domingo
2022-09-23,16:06:06,50,Vxxxx0763xxx,Santo Domingo
2022-09-23,16:06:06,50,Vxxxx9119xxx,Santo Domingo
2022-09-23,16:06:06,50,Vxxxx0759xxx,Santo Domingo
2022-09-23,16:06:06,50,Vxxxx5789xxx,Santo Domingo
2022-09-23,16:06:06,50,Uxxxx2734xxx,Santo Domingo
2022-09-23,16:06:06,50,Vxxxx5612xxx,Santo Domingo
2022-09-23,16:06:06,50,Vxxxx1744xxx,Santo Domingo
2022-09-23,16:06:06,50,Vxxxx3872xxx,Santo Domingo
2022-09-23,16:06:06,50,Vxxxx1827xxx,Santo Domingo
2022-09-23,16:06:06,20,Uxxxx8860xxx,Santo Domingo
2022-09-23,16:06:06,10,Wxxxx0723xxx,Santo Domingo
2022-07-28,00:51:06,50,Vxxxx6469xxx,Santo Domingo
2022-07-28,00:51:06,50,Xxxxx9401xxx,Santo Domingo
2022-07-28,00:51:06,20,Mxxxx5851xxx,Santo Domingo
2022-04-29,20:45:12,5,Nxxxx3593xxx,Santo Domingo
2022-04-29,20:45:12,20,Rxxxx3866xxx,Santo Domingo
2022-04-29,20:45:12,100,Exxxx6754xxx,Santo Domingo
2022-04-29,20:45:12,100,Exxxx0905xxx,Santo Domingo
2022-04-29,20:45:12,50,Uxxxx8908xxx,Santo Domingo
2022-04-18,00:31:36,10,Exxxx2050xxx,Punta Cana
2022-04-13,16:13:54,50,Uxxxx9710xxx,Punta Cana
2022-04-13,16:12:27,20,Nxxxx3100xxx,Punta Cana
2022-04-13,16:12:27,20,Mxxxx8003xxx,Punta Cana
2022-04-13,16:12:27,20,Mxxxx2082xxx,Punta Cana
2022-04-13,16:12:27,10,Wxxxx3922xxx,Punta Cana
2022-04-13,16:12:27,100,Zxxxx9787xxx,Punta Cana
2022-04-13,13:54:54,20,Uxxxx5992xxx,Punta Cana
