Date,Time,Notetype,Maskedserial,Locality
2022-12-04,10:57:38,5,Mxxxx5548xxx,Chelles
2022-12-04,10:57:38,10,Wxxxx3170xxx,Chelles
2022-12-04,10:57:38,5,Nxxxx8300xxx,Chelles
2022-12-04,10:55:58,20,Fxxxx3479xxx,Montluçon
2022-12-04,10:55:58,10,Rxxxx9500xxx,Montluçon
2022-12-04,10:53:20,20,Uxxxx2192xxx,Tournefeuille
2022-12-04,10:53:20,10,Yxxxx4996xxx,Tournefeuille
2022-12-04,10:53:20,20,Uxxxx0192xxx,Tournefeuille
2022-12-04,10:53:20,10,Wxxxx0285xxx,Tournefeuille
2022-12-04,10:53:20,20,Uxxxx1219xxx,Tournefeuille
2022-12-04,10:53:20,10,Uxxxx3726xxx,Tournefeuille
2022-12-04,10:53:20,5,Mxxxx1484xxx,Tournefeuille
2022-12-04,10:53:20,10,Rxxxx4449xxx,Tournefeuille
2022-12-04,10:50:48,20,Uxxxx3756xxx,Cogolin
2022-12-04,10:50:19,20,Uxxxx0392xxx,Cogolin
2022-12-04,10:41:43,10,Rxxxx4117xxx,Colombes
2022-12-04,10:39:27,5,Zxxxx9860xxx,Payzac
2022-12-04,10:38:57,10,Uxxxx0913xxx,Payzac
2022-12-04,10:38:17,5,Uxxxx8105xxx,Arnac Pompadour
2022-12-04,10:20:24,20,Uxxxx8533xxx,Nantes
2022-12-04,10:20:24,10,Pxxxx2920xxx,Nantes
2022-12-04,10:20:24,5,Mxxxx7102xxx,Nantes
2022-12-04,10:19:11,50,Rxxxx3091xxx,Mertzwiller
2022-12-04,10:18:42,50,Sxxxx6408xxx,Mertzwiller
2022-12-04,10:18:08,20,Uxxxx2302xxx,Mertzwiller
2022-12-04,10:17:28,20,Uxxxx9758xxx,Mertzwiller
2022-12-04,10:16:51,10,Pxxxx2916xxx,Cergy
2022-12-04,10:16:51,20,Uxxxx7354xxx,Cergy
2022-12-04,10:16:44,20,Uxxxx0345xxx,Mertzwiller
2022-12-04,10:16:03,10,Rxxxx3610xxx,Mertzwiller
2022-12-04,10:03:07,10,Yxxxx0140xxx,Châlons
2022-12-04,10:02:43,10,Pxxxx8625xxx,Paris 06
2022-12-04,10:02:43,20,Uxxxx9552xxx,Paris 06
2022-12-04,10:01:53,20,Uxxxx1321xxx,Châlons
2022-12-04,10:01:15,20,Exxxx0931xxx,Châlons
2022-12-04,10:00:00,10,Sxxxx8612xxx,Paris
2022-12-04,10:00:00,10,Sxxxx4606xxx,Paris
2022-12-04,10:00:00,10,Sxxxx5289xxx,Paris
2022-12-04,10:00:00,10,Sxxxx7378xxx,Paris
2022-12-04,10:00:00,10,Sxxxx8416xxx,Paris
2022-12-04,10:00:00,10,Sxxxx1146xxx,Paris
2022-12-04,10:00:00,10,Sxxxx5011xxx,Paris
2022-12-04,10:00:00,10,Sxxxx6224xxx,Paris
2022-12-04,10:00:00,10,Sxxxx7963xxx,Paris
2022-12-04,10:00:00,10,Sxxxx9562xxx,Paris
2022-12-04,10:00:00,10,Sxxxx5953xxx,Paris
2022-12-04,10:00:00,10,Sxxxx7781xxx,Paris
2022-12-04,10:00:00,10,Sxxxx1915xxx,Paris
2022-12-04,10:00:00,10,Sxxxx0320xxx,Paris
2022-12-04,10:00:00,10,Sxxxx8877xxx,Paris
2022-12-04,10:00:00,10,Sxxxx9475xxx,Paris
2022-12-04,10:00:00,10,Sxxxx5454xxx,Paris
2022-12-04,10:00:00,10,Sxxxx2897xxx,Paris
2022-12-04,10:00:00,10,Sxxxx1385xxx,Paris
2022-12-04,10:00:00,10,Sxxxx4951xxx,Paris
2022-12-04,10:00:00,10,Sxxxx1720xxx,Paris
2022-12-04,10:00:00,10,Sxxxx9770xxx,Paris
2022-12-04,10:00:00,10,Sxxxx6493xxx,Paris
2022-12-04,10:00:00,10,Sxxxx5727xxx,Paris
2022-12-04,10:00:00,10,Sxxxx5572xxx,Paris
2022-12-04,09:59:31,10,Sxxxx7863xxx,Châlons
2022-12-04,09:58:42,20,Uxxxx1069xxx,Châlons
2022-12-04,09:57:54,20,Uxxxx0956xxx,Châlons
2022-12-04,09:57:03,20,Uxxxx5317xxx,Châlons
2022-12-04,09:55:57,20,Uxxxx7837xxx,Châlons
2022-12-04,09:54:44,20,Sxxxx3442xxx,Châlons
2022-12-04,09:53:17,10,Uxxxx6358xxx,Venansault
