Date,Time,Notetype,Maskedserial,Locality
2022-07-27,23:25:12,20,Uxxxx8936xxx,Erbil
2022-07-27,23:24:47,20,Uxxxx6261xxx,Erbil
2022-07-27,23:24:30,20,Zxxxx6488xxx,Erbil
2022-07-27,23:24:10,20,Uxxxx4406xxx,Erbil
2022-07-27,23:23:46,20,Rxxxx8302xxx,Erbil
2022-07-27,23:23:01,10,Uxxxx6972xxx,Erbil
2022-07-27,23:22:41,10,Fxxxx7516xxx,Erbil
2022-07-27,23:22:21,10,Vxxxx9921xxx,Erbil
2022-07-27,23:22:02,10,Yxxxx1989xxx,Erbil
2022-07-27,23:21:26,10,Wxxxx0754xxx,Erbil
2022-07-27,23:07:33,10,Wxxxx8770xxx,Zakho
2022-07-27,23:07:05,10,Exxxx6392xxx,Zakho
2022-07-27,23:06:40,10,Fxxxx5889xxx,Zakho
2022-07-27,23:06:01,20,Uxxxx9944xxx,Zakho
2022-07-27,23:03:06,20,Rxxxx1520xxx,Duhok
2022-07-27,23:02:37,20,Uxxxx0447xxx,Duhok
2022-05-17,13:15:40,50,Zxxxx0583xxx,Erbil
2022-05-16,02:04:01,50,Sxxxx4940xxx,Sulaymaniyah
2022-04-16,21:18:35,20,Xxxxx0600xxx,Erbil
2022-04-16,21:18:35,20,Exxxx3214xxx,Erbil
2022-04-16,21:18:35,20,Sxxxx5263xxx,Erbil
2022-04-16,21:18:35,20,Uxxxx9762xxx,Erbil
2022-04-16,21:00:44,10,Pxxxx3928xxx,Erbil
2022-04-16,20:50:55,10,Wxxxx8809xxx,Erbil
