Date,Time,Notetype,Maskedserial,Locality
2022-12-04,10:00:09,10,Vxxxx2188xxx,Killarney
2022-12-04,09:59:02,50,Sxxxx8032xxx,Killarney
2022-12-04,08:47:41,50,Sxxxx9917xxx,Killarney
2022-12-04,06:00:09,20,Mxxxx4215xxx,Killarney
2022-12-04,05:57:01,20,Uxxxx0007xxx,Killarney
2022-12-04,04:04:02,50,Xxxxx3234xxx,Killarney
2022-12-04,03:54:50,10,Txxxx6374xxx,Killarney
2022-12-04,00:04:08,5,Mxxxx3723xxx,Killarney
2022-12-03,23:51:01,5,Uxxxx5304xxx,Clonakilty
2022-12-03,23:49:58,5,Exxxx8316xxx,Clonakilty
2022-12-03,23:48:21,5,Wxxxx5905xxx,Clonakilty
2022-12-03,23:47:23,10,Nxxxx7136xxx,Clonakilty
2022-12-03,23:46:14,20,Uxxxx0474xxx,Clonakilty
2022-12-03,22:54:32,10,Wxxxx2210xxx,Longford
2022-12-03,21:16:01,50,Mxxxx3195xxx,Clondalkin
2022-12-03,20:55:59,10,Yxxxx6787xxx,Dalkey
2022-12-03,20:55:59,10,Xxxxx3010xxx,Dalkey
2022-12-03,20:54:02,10,Rxxxx8022xxx,Dalkey
2022-12-03,20:54:02,10,Txxxx8393xxx,Dalkey
2022-12-03,20:54:02,10,Sxxxx1312xxx,Dalkey
2022-12-03,20:54:02,10,Txxxx9829xxx,Dalkey
2022-12-03,20:54:02,10,Wxxxx5268xxx,Dalkey
2022-12-03,20:54:02,10,Txxxx8412xxx,Dalkey
2022-12-03,20:54:02,10,Txxxx9713xxx,Dalkey
2022-12-03,20:54:02,10,Wxxxx9797xxx,Dalkey
2022-12-03,20:54:02,10,Uxxxx8155xxx,Dalkey
2022-12-03,20:47:18,5,Wxxxx4697xxx,Dalkey
2022-12-03,20:47:18,5,Mxxxx7224xxx,Dalkey
2022-12-03,20:47:18,5,Exxxx1294xxx,Dalkey
2022-12-03,20:47:18,5,Nxxxx8283xxx,Dalkey
2022-12-03,20:47:18,5,Nxxxx3955xxx,Dalkey
2022-12-03,20:47:18,5,Zxxxx7317xxx,Dalkey
2022-12-03,20:47:18,5,Uxxxx6529xxx,Dalkey
2022-12-03,20:47:18,5,Exxxx8080xxx,Dalkey
2022-12-03,20:47:18,5,Exxxx7676xxx,Dalkey
2022-12-03,20:47:18,5,Exxxx4264xxx,Dalkey
2022-12-03,20:42:55,20,Exxxx2610xxx,Dalkey
2022-12-03,20:42:55,20,Rxxxx0716xxx,Dalkey
2022-12-03,20:41:33,5,Exxxx2846xxx,Dalkey
2022-12-03,20:41:33,5,Nxxxx4110xxx,Dalkey
2022-12-03,20:41:33,5,Exxxx9310xxx,Dalkey
2022-12-03,20:41:33,5,Mxxxx0304xxx,Dalkey
2022-12-03,20:41:33,5,Nxxxx5325xxx,Dalkey
2022-12-03,20:41:33,5,Nxxxx6016xxx,Dalkey
2022-12-03,20:41:33,5,Txxxx1791xxx,Dalkey
2022-12-03,20:41:33,5,Wxxxx5845xxx,Dalkey
2022-12-03,20:41:33,5,Nxxxx3640xxx,Dalkey
2022-12-03,19:06:03,5,Txxxx9489xxx,Galway
2022-12-03,19:04:00,10,Wxxxx3359xxx,Galway
2022-12-03,19:04:00,10,Wxxxx1480xxx,Galway
2022-12-03,19:02:50,10,Txxxx6810xxx,Galway
2022-12-03,18:48:48,5,Exxxx3688xxx,Galway
2022-12-03,18:48:48,5,Exxxx1406xxx,Galway
2022-12-03,18:48:48,5,Exxxx0394xxx,Galway
2022-12-03,18:48:48,5,Exxxx3993xxx,Galway
2022-12-03,18:48:48,5,Exxxx8861xxx,Galway
2022-12-03,18:48:48,5,Exxxx4719xxx,Galway
2022-12-03,18:48:48,5,Exxxx7831xxx,Galway
2022-12-03,18:48:48,5,Exxxx8972xxx,Galway
2022-12-03,18:48:48,5,Exxxx0071xxx,Galway
2022-12-03,18:48:48,5,Exxxx7212xxx,Galway
2022-12-03,18:48:48,5,Exxxx2202xxx,Galway
2022-12-03,18:48:48,5,Exxxx2410xxx,Galway
2022-12-03,18:48:48,5,Exxxx1711xxx,Galway
2022-12-03,18:44:55,5,Exxxx9344xxx,Galway
2022-12-03,18:44:55,5,Txxxx1092xxx,Galway
2022-12-03,18:44:55,5,Exxxx5813xxx,Galway
2022-12-03,18:44:55,5,Txxxx8749xxx,Galway
2022-12-03,18:44:55,5,Uxxxx9184xxx,Galway
2022-12-03,18:42:58,5,Wxxxx5874xxx,Galway
2022-12-03,18:42:58,5,Nxxxx6055xxx,Galway
2022-12-03,18:42:58,5,Nxxxx0173xxx,Galway
2022-12-03,18:42:58,5,Nxxxx2187xxx,Galway
2022-12-03,18:42:58,5,Vxxxx6757xxx,Galway
2022-12-03,18:38:42,50,Uxxxx4860xxx,Galway
2022-12-03,18:38:42,50,Exxxx7895xxx,Galway
2022-12-03,18:37:46,50,Exxxx1033xxx,Galway
2022-12-03,18:37:46,50,Sxxxx4120xxx,Galway
2022-12-03,18:36:41,50,Uxxxx5103xxx,Galway
2022-12-03,18:36:41,50,Uxxxx7258xxx,Galway
2022-12-03,18:36:41,50,Sxxxx2886xxx,Galway
2022-12-03,18:36:41,50,Sxxxx5366xxx,Galway
2022-12-03,18:09:03,10,Vxxxx6173xxx,Galway
2022-12-03,18:08:06,10,Wxxxx9483xxx,Galway
2022-12-03,18:08:06,10,Txxxx9504xxx,Galway
2022-12-03,18:08:06,10,Fxxxx0043xxx,Galway
2022-12-03,18:08:06,10,Pxxxx8791xxx,Galway
2022-12-03,18:06:27,10,Txxxx9212xxx,Galway
2022-12-03,18:06:27,10,Txxxx9851xxx,Galway
2022-12-03,18:06:27,10,Yxxxx4026xxx,Galway
2022-12-03,18:06:27,10,Txxxx6445xxx,Galway
2022-12-03,18:04:41,10,Vxxxx9943xxx,Galway
2022-12-03,18:04:17,10,Pxxxx5654xxx,Galway
2022-12-03,17:09:51,20,Fxxxx3394xxx,Dublin
2022-12-03,17:09:51,20,Uxxxx3952xxx,Dublin
2022-12-03,17:09:51,5,Mxxxx1127xxx,Dublin
2022-12-03,16:09:02,20,Uxxxx0676xxx,Longford Town
2022-12-03,15:54:33,5,Exxxx2793xxx,Longford Town
2022-12-03,15:05:19,20,Uxxxx0928xxx,Longford Town
2022-12-03,14:50:06,50,Uxxxx5907xxx,Leixlip
2022-12-03,14:26:48,5,Exxxx7794xxx,Longford Town
2022-12-03,13:55:04,10,Exxxx0481xxx,Longford Town
2022-12-03,13:23:49,5,Nxxxx8214xxx,Dublin 12
2022-12-03,13:23:17,20,Uxxxx2073xxx,Dublin 12
2022-12-03,12:39:31,20,Uxxxx9741xxx,Killarney
2022-12-03,12:22:59,20,Fxxxx1923xxx,Stillorgan
2022-12-03,12:22:19,10,Vxxxx3268xxx,Stillorgan
2022-12-03,12:21:44,5,Exxxx5069xxx,Stillorgan
2022-12-03,12:21:44,5,Nxxxx6491xxx,Stillorgan
2022-12-03,12:21:44,5,Nxxxx6279xxx,Stillorgan
2022-12-03,12:21:44,5,Zxxxx3233xxx,Stillorgan
2022-12-03,10:05:17,50,Rxxxx6235xxx,Gneeveguilla
2022-12-03,09:58:19,50,Rxxxx6235xxx,Gneeveguilla
2022-12-03,08:53:28,50,Rxxxx6235xxx,Gneeveguilla
2022-12-03,06:14:09,50,Rxxxx6235xxx,Gneeveguilla
2022-12-03,05:00:19,50,Rxxxx6235xxx,Gneeveguilla
2022-12-03,04:43:09,5,Exxxx7979xxx,Killarney
2022-12-03,02:11:58,5,Nxxxx4140xxx,Killarney
2022-12-03,01:26:57,20,Uxxxx0015xxx,Dublin
2022-12-03,01:26:57,5,Nxxxx5319xxx,Dublin
2022-12-02,23:27:08,50,Uxxxx8523xxx,Stillorgan
2022-12-02,20:48:38,10,Vxxxx7711xxx,Dalkey
2022-12-02,20:48:38,5,Wxxxx2074xxx,Dalkey
2022-12-02,20:47:34,10,Txxxx2420xxx,Dalkey
2022-12-02,20:47:34,10,Txxxx9282xxx,Dalkey
2022-12-02,20:47:34,10,Wxxxx5368xxx,Dalkey
2022-12-02,20:47:34,10,Txxxx7073xxx,Dalkey
2022-12-02,20:47:34,10,Txxxx6227xxx,Dalkey
2022-12-02,20:47:34,10,Txxxx1210xxx,Dalkey
2022-12-02,20:47:34,10,Wxxxx9649xxx,Dalkey
2022-12-02,20:47:34,10,Uxxxx3397xxx,Dalkey
2022-12-02,20:47:34,10,Txxxx5912xxx,Dalkey
2022-12-02,20:43:57,5,Exxxx4912xxx,Dalkey
2022-12-02,20:43:57,5,Yxxxx0364xxx,Dalkey
2022-12-02,20:43:57,5,Nxxxx5325xxx,Dalkey
2022-12-02,20:43:57,5,Nxxxx8216xxx,Dalkey
2022-12-02,20:43:57,5,Mxxxx6196xxx,Dalkey
2022-12-02,20:43:57,5,Nxxxx1753xxx,Dalkey
2022-12-02,20:43:57,5,Exxxx7678xxx,Dalkey
2022-12-02,20:43:57,5,Nxxxx4971xxx,Dalkey
2022-12-02,20:40:39,10,Txxxx7075xxx,Dalkey
2022-12-02,20:40:06,5,Uxxxx2500xxx,Dalkey
2022-12-02,20:40:06,5,Exxxx8324xxx,Dalkey
2022-12-02,20:40:06,5,Uxxxx6515xxx,Dalkey
2022-12-02,20:40:06,5,Exxxx1604xxx,Dalkey
2022-12-02,20:40:06,5,Exxxx6800xxx,Dalkey
2022-12-02,20:40:06,5,Txxxx7262xxx,Dalkey
2022-12-02,20:40:06,5,Wxxxx1724xxx,Dalkey
2022-12-02,20:40:06,5,Exxxx2370xxx,Dalkey
2022-12-02,20:40:06,5,Exxxx4639xxx,Dalkey
2022-12-02,20:40:06,5,Exxxx6043xxx,Dalkey
2022-12-02,20:35:15,50,Rxxxx1349xxx,Dalkey
2022-12-02,20:35:14,10,Txxxx3589xxx,Dalkey
2022-12-02,17:01:21,5,Txxxx3424xxx,Longford Town
2022-12-02,15:24:08,5,Txxxx7365xxx,Galway
2022-12-02,15:24:08,5,Txxxx9590xxx,Galway
2022-12-02,15:24:08,5,Txxxx9835xxx,Galway
2022-12-02,15:24:08,5,Txxxx0289xxx,Galway
2022-12-02,15:24:08,5,Txxxx4103xxx,Galway
2022-12-02,15:24:08,5,Txxxx9206xxx,Galway
2022-12-02,15:24:08,5,Txxxx3460xxx,Galway
2022-12-02,15:24:08,5,Txxxx2742xxx,Galway
2022-12-02,15:24:08,5,Txxxx7685xxx,Galway
