Date,Time,Notetype,Maskedserial,Locality
2022-11-19,14:36:12,20,Uxxxx0139xxx,Алматы
2022-04-22,09:03:59,50,Vxxxx0581xxx,Nursultran
2022-04-22,09:03:39,20,Exxxx8707xxx,Nursultran
2022-04-22,09:03:15,10,Wxxxx5432xxx,Nursultran
2022-04-07,06:38:01,5,Sxxxx0036xxx,Nursultran
2022-04-07,06:37:39,10,Pxxxx3644xxx,Nursultran
2022-04-07,06:36:15,500,Nxxxx1345xxx,Nursultran
2022-04-07,06:36:04,500,Xxxxx0601xxx,Nursultran
2022-04-07,06:35:46,500,Nxxxx7654xxx,Nursultran
2022-04-07,06:35:34,500,Nxxxx0838xxx,Nursultran
2022-04-07,06:35:20,500,Xxxxx0200xxx,Nursultran
2022-04-07,06:35:06,500,Xxxxx5422xxx,Nursultran
2022-04-07,06:34:49,500,Xxxxx9165xxx,Nursultran
2022-04-07,06:34:35,500,Nxxxx4537xxx,Nursultran
2022-04-07,06:34:21,500,Nxxxx3134xxx,Nursultran
2022-04-07,06:34:08,500,Xxxxx4722xxx,Nursultran
2022-04-07,06:33:55,500,Xxxxx5977xxx,Nursultran
2022-04-07,06:33:40,500,Nxxxx1345xxx,Nursultran
2022-04-07,06:33:26,500,Nxxxx2786xxx,Nursultran
2022-04-07,06:33:13,500,Nxxxx9106xxx,Nursultran
2022-04-07,06:33:01,500,Xxxxx2305xxx,Nursultran
2022-04-07,06:32:46,500,Nxxxx1317xxx,Nursultran
2022-04-07,06:32:32,500,Xxxxx0623xxx,Nursultran
2022-04-07,06:32:18,500,Xxxxx9733xxx,Nursultran
2022-04-07,06:32:02,500,Xxxxx2980xxx,Nursultran
2022-04-07,06:31:42,500,Xxxxx4409xxx,Nursultran
2022-04-07,06:30:42,10,Pxxxx1007xxx,Nursultran
2022-04-07,06:30:15,500,Xxxxx3076xxx,Nursultran
2022-04-07,06:29:58,500,Xxxxx2610xxx,Nursultran
2022-04-07,06:29:42,500,Xxxxx6953xxx,Nursultran
2022-04-07,06:29:23,500,Xxxxx3084xxx,Nursultran
2022-04-07,06:29:04,500,Xxxxx1327xxx,Nursultran
2022-04-07,06:28:37,500,Xxxxx4938xxx,Nursultran
2022-04-07,06:28:20,500,Xxxxx6948xxx,Nursultran
2022-04-07,06:28:04,500,Nxxxx1345xxx,Nursultran
2022-04-07,06:27:50,500,Nxxxx6599xxx,Nursultran
2022-04-07,06:27:36,500,Nxxxx7098xxx,Nursultran
2022-04-07,06:27:07,500,Xxxxx3544xxx,Nursultran
2022-04-07,06:26:10,500,Xxxxx3543xxx,Nursultran
2022-01-25,05:50:37,50,Sxxxx1878xxx,Nursultran
2022-01-25,05:50:18,50,Nxxxx4516xxx,Nursultran
