Date,Time,Notetype,Maskedserial,Locality
2022-11-06,10:52:44,20,Uxxxx0366xxx,Beirut
2022-10-25,11:48:45,100,Wxxxx6917xxx,Chtoura
2022-10-25,11:48:45,100,Uxxxx4178xxx,Chtoura
2022-10-25,11:48:45,50,Xxxxx1828xxx,Chtoura
2022-10-25,11:45:22,100,Uxxxx1720xxx,Chtoura
2022-10-18,15:59:23,50,Rxxxx5715xxx,Chtoura
2022-10-18,15:58:28,50,Wxxxx7845xxx,Chtoura
2022-10-18,15:57:43,50,Sxxxx0134xxx,Chtoura
2022-10-18,15:56:30,50,Wxxxx3804xxx,Chtoura
2022-10-18,15:55:48,50,Sxxxx8660xxx,Chtoura
2022-10-18,06:58:37,20,Uxxxx1900xxx,Beirut
2022-10-18,06:57:19,20,Uxxxx9879xxx,Beirut
2022-10-18,06:56:35,20,Sxxxx2544xxx,Beirut
2022-04-02,18:50:25,500,Xxxxx5029xxx,Beirut
