Date,Time,Notetype,Maskedserial,Locality
2022-12-03,21:50:55,10,Wxxxx5445xxx,Schmiede
2022-12-03,21:50:55,5,Nxxxx6388xxx,Schmiede
2022-12-03,19:02:18,5,Wxxxx2024xxx,Junglinster
2022-12-02,21:24:48,50,Exxxx8268xxx,Junglinster
2022-12-02,21:24:48,50,Uxxxx0841xxx,Junglinster
2022-12-02,21:24:48,50,Pxxxx1325xxx,Junglinster
2022-12-02,21:24:48,50,Uxxxx3452xxx,Junglinster
2022-12-02,21:24:48,50,Uxxxx5785xxx,Junglinster
2022-12-02,21:21:01,20,Uxxxx0619xxx,Junglinster
2022-12-02,21:21:01,20,Uxxxx7450xxx,Junglinster
2022-12-02,21:21:01,20,Uxxxx0689xxx,Junglinster
2022-12-02,21:21:01,20,Uxxxx7435xxx,Junglinster
2022-12-02,21:21:01,20,Uxxxx0607xxx,Junglinster
2022-12-02,21:17:33,10,Wxxxx2075xxx,Junglinster
2022-12-02,21:17:33,10,Yxxxx5671xxx,Junglinster
2022-12-02,21:17:33,10,Uxxxx4413xxx,Junglinster
2022-12-02,21:17:33,10,Uxxxx0142xxx,Junglinster
2022-12-02,21:17:33,10,Rxxxx2353xxx,Junglinster
2022-12-02,21:13:05,50,Uxxxx6864xxx,Bertrange
2022-12-02,21:13:05,5,Yxxxx5642xxx,Bertrange
2022-12-01,22:13:09,10,Wxxxx8894xxx,Junglinster
2022-12-01,22:13:09,10,Pxxxx1104xxx,Junglinster
2022-12-01,22:13:09,5,Zxxxx0604xxx,Junglinster
2022-12-01,22:11:31,20,Uxxxx8258xxx,Munsbach
2022-12-01,22:11:31,10,Uxxxx4862xxx,Munsbach
2022-12-01,18:17:11,10,Yxxxx1748xxx,Esch-sur-Alzette
2022-12-01,18:17:11,5,Uxxxx5085xxx,Esch-sur-Alzette
2022-12-01,18:16:19,20,Uxxxx3161xxx,Esch-sur-Alzette
2022-12-01,18:16:19,20,Uxxxx8590xxx,Esch-sur-Alzette
2022-11-30,22:36:04,10,Wxxxx8590xxx,Wormeldange-Haut
2022-11-30,22:35:13,5,Vxxxx9313xxx,Bertrange
2022-11-30,21:44:48,10,Uxxxx7344xxx,Luxembourg
2022-11-30,21:44:48,5,Zxxxx8485xxx,Luxembourg
2022-11-30,18:42:10,50,Sxxxx4502xxx,Bettembourg
2022-11-30,18:42:10,50,Pxxxx4299xxx,Bettembourg
2022-11-30,18:41:32,20,Uxxxx5219xxx,Schieren
2022-11-30,18:41:32,5,Zxxxx5437xxx,Schieren
2022-11-30,18:41:10,20,Exxxx7912xxx,Bettembourg
2022-11-30,18:41:10,20,Uxxxx8345xxx,Bettembourg
2022-11-30,18:41:10,20,Uxxxx3602xxx,Bettembourg
2022-11-30,18:41:10,20,Uxxxx2719xxx,Bettembourg
2022-11-30,18:41:10,20,Uxxxx2515xxx,Bettembourg
2022-11-29,23:08:52,100,Exxxx9938xxx,Schwebsingen
2022-11-29,23:08:52,100,Exxxx9938xxx,Schwebsingen
2022-11-29,23:08:52,100,Exxxx9939xxx,Schwebsingen
2022-11-29,23:08:52,100,Exxxx9939xxx,Schwebsingen
2022-11-29,23:08:52,100,Exxxx9939xxx,Schwebsingen
2022-11-29,23:08:52,100,Exxxx9939xxx,Schwebsingen
2022-11-29,23:08:52,100,Exxxx9939xxx,Schwebsingen
2022-11-29,23:08:52,100,Exxxx9939xxx,Schwebsingen
2022-11-29,23:08:52,100,Exxxx9939xxx,Schwebsingen
2022-11-29,23:06:18,100,Rxxxx9953xxx,Schwebsingen
2022-11-29,23:06:18,50,Uxxxx5875xxx,Schwebsingen
2022-11-29,23:06:18,50,Sxxxx4651xxx,Schwebsingen
2022-11-29,23:06:18,50,Zxxxx3084xxx,Schwebsingen
2022-11-29,23:06:18,50,Uxxxx7368xxx,Schwebsingen
2022-11-29,23:06:18,50,Uxxxx0093xxx,Schwebsingen
2022-11-29,23:06:18,50,Exxxx6934xxx,Schwebsingen
2022-11-29,23:06:18,50,Sxxxx5152xxx,Schwebsingen
