Date,Time,Notetype,Maskedserial,Locality
2022-12-01,05:17:06,20,Sxxxx4599xxx,Sir Seewoosagur Ramgoolam International Airport
2022-12-01,05:17:06,20,Exxxx8668xxx,Sir Seewoosagur Ramgoolam International Airport
2022-12-01,05:17:06,20,Exxxx6959xxx,Sir Seewoosagur Ramgoolam International Airport
2022-10-09,18:55:10,10,Wxxxx2437xxx,Sir Seewoosagur Ramgoolam International Airport
2022-10-09,12:10:28,5,Wxxxx3551xxx,Sir Seewoosagur Ramgoolam International Airport
2022-10-08,19:25:55,5,Exxxx8235xxx,Sir Seewoosagur Ramgoolam International Airport
2022-10-06,08:00:08,10,Uxxxx5445xxx,Moka
2022-10-05,10:00:24,10,Txxxx1999xxx,Moka
2022-10-02,20:50:51,10,Rxxxx0375xxx,Moka
2022-10-02,18:35:12,50,Uxxxx2640xxx,Moka
2022-10-02,12:50:12,50,Uxxxx5518xxx,Sir Seewoosagur Ramgoolam International Airport
2022-10-01,19:30:14,20,Uxxxx5266xxx,Sir Seewoosagur Ramgoolam International Airport
2022-09-28,07:47:01,20,Uxxxx1709xxx,Plaine Magnien
2022-09-28,07:47:01,10,Vxxxx2407xxx,Plaine Magnien
2022-09-28,07:44:41,5,Nxxxx1946xxx,Plaine Magnien
2022-09-28,07:44:41,5,Zxxxx7538xxx,Plaine Magnien
2022-09-28,07:44:41,5,Mxxxx9621xxx,Plaine Magnien
2022-09-28,07:44:41,5,Nxxxx6003xxx,Plaine Magnien
2022-09-15,17:43:23,10,Rxxxx5675xxx,Plaine Corail
2022-09-15,17:43:02,20,Uxxxx9458xxx,Plaine Corail
2022-09-15,17:43:02,20,Exxxx0233xxx,Plaine Corail
2022-09-08,09:30:07,10,Pxxxx2206xxx,Saint François
2022-09-08,09:29:14,20,Uxxxx8339xxx,Saint François
2022-09-08,09:29:14,20,Rxxxx4131xxx,Saint François
2022-09-08,09:27:29,50,Uxxxx5428xxx,Saint François
2022-09-08,09:27:29,50,Exxxx1752xxx,Saint François
2022-09-08,09:27:29,50,Uxxxx5372xxx,Saint François
2022-09-08,09:27:29,50,Exxxx2354xxx,Saint François
2022-09-08,09:27:29,50,Zxxxx0191xxx,Saint François
2022-09-08,09:27:29,50,Uxxxx3292xxx,Saint François
2022-09-08,09:27:29,50,Uxxxx3739xxx,Saint François
2022-09-08,09:27:29,50,Exxxx3350xxx,Saint François
2022-09-08,09:27:29,50,Uxxxx9272xxx,Saint François
2022-09-08,09:23:40,50,Sxxxx3200xxx,Saint François
2022-09-08,09:23:40,50,Rxxxx7322xxx,Saint François
2022-09-08,09:23:40,50,Uxxxx2081xxx,Saint François
2022-09-08,09:23:40,50,Uxxxx9161xxx,Saint François
2022-09-08,09:23:40,50,Uxxxx3634xxx,Saint François
2022-09-08,09:23:40,50,Uxxxx0180xxx,Saint François
2022-09-08,09:23:40,50,Uxxxx1771xxx,Saint François
2022-09-08,09:23:40,50,Uxxxx4062xxx,Saint François
2022-09-08,09:23:40,50,Uxxxx7691xxx,Saint François
2022-09-08,09:23:40,50,Sxxxx1987xxx,Saint François
2022-09-08,09:13:29,20,Uxxxx9634xxx,Saint François
2022-09-08,09:13:29,20,Uxxxx8473xxx,Saint François
2022-09-08,09:13:29,20,Uxxxx2050xxx,Saint François
2022-09-08,09:13:29,20,Uxxxx9553xxx,Saint François
2022-09-08,09:13:29,20,Uxxxx9242xxx,Saint François
