Date,Time,Notetype,Maskedserial,Locality
2022-11-15,10:14:31,50,Rxxxx3440xxx,Queretaro
2022-10-24,19:12:41,10,Uxxxx7526xxx,Valladolid
2022-10-19,04:11:16,50,Vxxxx3515xxx,Ciudad de México
2022-10-16,06:42:29,20,Uxxxx8096xxx,Mérida
2022-10-16,06:38:43,20,Uxxxx8571xxx,Campeche
2022-10-11,06:13:49,50,Uxxxx7131xxx,Teotihuacan
2022-10-09,04:39:55,50,Uxxxx7131xxx,Mexico
2022-09-22,18:21:30,200,Exxxx8127xxx,Mexico
2022-09-22,18:20:27,20,Uxxxx5768xxx,Mexico
2022-09-22,18:19:21,20,Uxxxx1772xxx,Mexico
2022-09-14,23:28:44,10,Uxxxx8576xxx,Xpuhil
2022-09-08,19:55:28,20,Uxxxx5876xxx,Chetumal
2022-08-24,06:37:49,500,Vxxxx5678xxx,Estado de México
2022-08-19,21:17:52,10,Uxxxx5209xxx,San Martin Texmelucan
2022-08-03,00:56:40,5,Uxxxx1773xxx,Mexico
2022-08-01,02:27:27,5,Vxxxx3424xxx,Tonala
2022-07-29,08:23:24,20,Exxxx3109xxx,Tonala
2022-07-02,01:19:03,5,Sxxxx6624xxx,San Martin Texmelucan
2022-04-27,09:12:46,5,Uxxxx3968xxx,Aeropuerto Internacional de la Ciudad de México
2022-04-27,09:12:45,5,Yxxxx3446xxx,Aeropuerto Internacional de la Ciudad de México
2022-04-27,09:12:45,5,Exxxx9776xxx,Aeropuerto Internacional de la Ciudad de México
2022-04-27,09:12:45,5,Uxxxx4499xxx,Aeropuerto Internacional de la Ciudad de México
2022-04-26,07:32:16,20,Uxxxx7450xxx,Aeropuerto Internacional de la Ciudad de México
2022-04-26,07:31:41,10,Sxxxx4588xxx,Aeropuerto Internacional de la Ciudad de México
2022-04-26,07:30:15,10,Uxxxx7118xxx,Aeropuerto Internacional de la Ciudad de México
2022-04-26,07:29:08,5,Mxxxx4423xxx,Aeropuerto Internacional de la Ciudad de México
2022-04-26,07:28:04,5,Txxxx6638xxx,Aeropuerto Internacional de la Ciudad de México
2022-04-26,07:26:21,5,Vxxxx4695xxx,Aeropuerto Internacional de la Ciudad de México
2022-04-26,07:26:21,5,Wxxxx5818xxx,Aeropuerto Internacional de la Ciudad de México
2022-04-26,07:26:21,5,Xxxxx4503xxx,Aeropuerto Internacional de la Ciudad de México
2022-04-26,07:26:21,5,Uxxxx8056xxx,Aeropuerto Internacional de la Ciudad de México
2022-04-26,07:26:20,5,Yxxxx5772xxx,Aeropuerto Internacional de la Ciudad de México
2022-04-26,07:26:20,5,Yxxxx5772xxx,Aeropuerto Internacional de la Ciudad de México
2022-04-26,07:26:20,5,Wxxxx1372xxx,Aeropuerto Internacional de la Ciudad de México
2022-04-26,07:26:20,5,Yxxxx9391xxx,Aeropuerto Internacional de la Ciudad de México
2022-04-26,07:26:20,5,Vxxxx9242xxx,Aeropuerto Internacional de la Ciudad de México
2022-04-26,07:26:20,5,Vxxxx7255xxx,Aeropuerto Internacional de la Ciudad de México
2022-04-26,07:26:20,5,Uxxxx8107xxx,Aeropuerto Internacional de la Ciudad de México
