Date,Time,Notetype,Maskedserial,Locality
2022-11-28,10:57:19,20,Uxxxx7843xxx,Marrakech
2022-11-28,10:57:19,20,Sxxxx5800xxx,Marrakech
2022-11-28,10:57:19,20,Sxxxx5322xxx,Marrakech
2022-11-28,10:57:19,20,Uxxxx5478xxx,Marrakech
2022-11-28,10:54:53,5,Sxxxx8769xxx,Marrakech
2022-11-28,10:54:53,10,Wxxxx1216xxx,Marrakech
2022-11-28,10:54:53,5,Nxxxx8494xxx,Marrakech
2022-11-28,10:52:37,5,Nxxxx1977xxx,Marrakech
2022-11-28,10:52:37,5,Mxxxx7137xxx,Marrakech
2022-11-24,11:08:32,10,Pxxxx2725xxx,Marrakech
2022-11-24,11:07:11,5,Zxxxx3857xxx,Marrakech
2022-11-24,11:07:11,50,Yxxxx0217xxx,Marrakech
2022-11-20,17:55:47,50,Sxxxx2295xxx,Tanger
2022-11-20,17:55:47,50,Uxxxx6646xxx,Tanger
2022-11-20,17:55:47,50,Uxxxx9342xxx,Tanger
2022-11-18,19:27:45,5,Zxxxx1579xxx,Ait Ben Haddou
2022-11-14,13:36:59,5,Uxxxx8449xxx,Casablanca
2022-10-26,16:00:33,20,Uxxxx1249xxx,
2022-09-23,10:04:50,50,Zxxxx5914xxx,Casablanca
2022-09-20,12:36:10,50,Vxxxx1919xxx,Marrakech
2022-09-18,15:00:59,20,Uxxxx4106xxx,Tanger
2022-09-18,15:00:59,5,Vxxxx5328xxx,Tanger
2022-09-18,15:00:59,20,Uxxxx9633xxx,Tanger
2022-09-18,15:00:59,5,Exxxx6757xxx,Tanger
2022-08-17,13:58:29,10,Uxxxx8484xxx,Saïdia
2022-08-17,13:58:29,20,Mxxxx4539xxx,Saïdia
2022-08-17,13:58:29,20,Uxxxx8791xxx,Saïdia
2022-07-26,23:49:51,5,Vxxxx7321xxx,Rabat
2022-07-26,23:49:32,5,Wxxxx1708xxx,Rabat
2022-05-29,19:20:51,5,Nxxxx5713xxx,Palmeraie de Marrakech
2022-05-26,20:34:48,10,Uxxxx2132xxx,Lalla Takerkoust
2022-05-22,12:40:27,10,Uxxxx3582xxx,Inezgane Ait Melloul
2022-05-22,12:40:27,10,Pxxxx3667xxx,Inezgane Ait Melloul
2022-05-20,00:10:22,5,Zxxxx7472xxx,
2022-05-14,13:10:43,10,Yxxxx9647xxx,
2022-05-12,14:50:05,5,Uxxxx2267xxx,
2022-05-11,10:50:05,5,Mxxxx5670xxx,
2022-05-04,22:20:16,20,Sxxxx8844xxx,Aéroport International Mohammed V - Casablanca
2022-04-19,19:14:38,20,Uxxxx8417xxx,Tangier
2022-04-19,19:13:54,5,Zxxxx9475xxx,Tangier
