Date,Time,Notetype,Maskedserial,Locality
2022-11-15,10:49:44,20,Vxxxx4066xxx,Paihia
2022-11-15,10:48:23,50,Wxxxx9526xxx,Paihia
2022-11-15,10:48:23,10,Wxxxx7476xxx,Paihia
2022-11-15,10:48:23,10,Sxxxx8735xxx,Paihia
2022-11-15,10:48:23,5,Uxxxx9624xxx,Paihia
2022-11-15,10:45:14,5,Vxxxx7639xxx,Paihia
2022-07-27,01:10:19,5,Yxxxx0552xxx,Wellington
2022-07-27,01:10:03,5,Mxxxx8573xxx,Wellington
2022-07-27,01:09:45,5,Yxxxx9209xxx,Wellington
2022-07-27,01:09:27,5,Yxxxx7653xxx,Wellington
2022-07-27,01:09:10,5,Mxxxx4529xxx,Wellington
2022-07-27,01:08:43,5,Mxxxx9618xxx,Wellington
2022-07-27,01:08:23,5,Yxxxx7540xxx,Wellington
2022-07-27,01:08:02,5,Yxxxx5377xxx,Wellington
2022-07-27,01:07:45,5,Mxxxx4618xxx,Wellington
2022-07-27,01:07:23,5,Uxxxx7221xxx,Wellington
2022-07-27,01:07:06,5,Yxxxx9099xxx,Wellington
