Date,Time,Notetype,Maskedserial,Locality
2022-12-04,11:10:35,10,Rxxxx8810xxx,Bragança
2022-12-04,11:08:12,10,Wxxxx4418xxx,Couço
2022-12-04,11:07:13,20,Uxxxx4564xxx,Tróia
2022-12-04,11:06:10,10,Yxxxx7109xxx,Setúbal
2022-12-04,11:05:08,10,Wxxxx4726xxx,Carvalhal
2022-12-04,11:04:13,10,Rxxxx0751xxx,Carvalhal
2022-12-04,11:03:12,10,Yxxxx9931xxx,Comporta
2022-12-04,11:02:18,10,Wxxxx2268xxx,Comporta
2022-12-04,11:01:09,20,Uxxxx7914xxx,Leiria
2022-12-04,11:00:24,20,Txxxx6157xxx,Leiria
2022-12-04,10:58:34,20,Rxxxx4851xxx,Paço de Sousa
2022-12-04,10:57:34,20,Mxxxx8511xxx,Paço de Sousa
2022-12-04,10:53:34,20,Sxxxx4933xxx,Paço de Sousa
2022-12-04,10:52:34,20,Exxxx5972xxx,Paço de Sousa
2022-12-04,10:49:34,20,Uxxxx8929xxx,Paço de Sousa
2022-12-04,09:51:58,5,Nxxxx2221xxx,Lisboa
2022-12-04,09:38:27,20,Mxxxx0669xxx,Quinta do Conde
2022-12-04,09:38:27,20,Uxxxx6892xxx,Quinta do Conde
2022-12-04,09:13:31,50,Zxxxx5856xxx,Lisbonne
2022-12-04,09:13:31,50,Wxxxx5573xxx,Lisbonne
2022-12-04,09:13:31,50,Pxxxx0959xxx,Lisbonne
2022-12-04,09:13:31,50,Pxxxx2615xxx,Lisbonne
2022-12-04,09:13:31,50,Pxxxx9204xxx,Lisbonne
2022-12-04,06:49:34,20,Exxxx1555xxx,Paço de Sousa
2022-12-04,06:45:34,20,Uxxxx7700xxx,Paço de Sousa
2022-12-04,06:37:34,20,Zxxxx2780xxx,Paço de Sousa
2022-12-04,06:35:34,20,Fxxxx3549xxx,Paço de Sousa
2022-12-04,06:34:34,20,Uxxxx7617xxx,Paço de Sousa
2022-12-04,05:59:34,20,Zxxxx9617xxx,Paço de Sousa
2022-12-04,05:44:34,20,Uxxxx8148xxx,Paço de Sousa
2022-12-04,05:41:34,20,Exxxx1053xxx,Paço de Sousa
2022-12-04,05:21:26,10,Vxxxx7194xxx,Lisboa
2022-12-04,05:19:10,10,Uxxxx4812xxx,Lisboa
2022-12-04,05:18:24,10,Fxxxx0952xxx,Lisboa
2022-12-04,05:17:34,10,Wxxxx3076xxx,Paço de Sousa
2022-12-04,05:16:11,10,Wxxxx9276xxx,Lisboa
2022-12-04,05:15:34,10,Rxxxx5742xxx,Paço de Sousa
2022-12-04,05:14:32,10,Wxxxx8725xxx,Lisboa
2022-12-04,05:12:30,10,Yxxxx6548xxx,Lisboa
2022-12-04,05:11:17,10,Wxxxx9912xxx,Lisboa
2022-12-04,05:08:27,10,Exxxx8533xxx,Lisboa
2022-12-04,05:07:23,10,Rxxxx9447xxx,Lisboa
2022-12-04,05:06:16,10,Pxxxx1974xxx,Lisboa
2022-12-04,05:05:32,10,Vxxxx4843xxx,Lisboa
2022-12-04,05:04:08,10,Fxxxx1823xxx,Lisboa
2022-12-04,05:03:23,10,Wxxxx2459xxx,Lisboa
2022-12-04,04:59:34,10,Yxxxx4323xxx,Paço de Sousa
2022-12-04,04:56:34,10,Rxxxx5099xxx,Paço de Sousa
2022-12-04,04:50:44,10,Rxxxx3696xxx,Paço de Sousa
2022-12-04,04:50:04,10,Wxxxx7243xxx,Paço de Sousa
2022-12-04,04:49:34,10,Wxxxx1912xxx,Paço de Sousa
2022-12-04,04:47:04,10,Uxxxx0222xxx,Paço de Sousa
2022-12-04,04:39:04,10,Yxxxx9707xxx,São Mamede de Infesta
