Date,Time,Notetype,Maskedserial,Locality
2022-11-01,20:13:43,50,Wxxxx3917xxx,Riyadh
2022-06-25,19:57:35,20,Mxxxx3484xxx,Dhrahan
2022-06-25,19:56:33,20,Uxxxx0519xxx,Dhrahan
2022-06-25,19:54:46,20,Exxxx0072xxx,Dhrahan
2022-06-25,19:54:05,20,Mxxxx1249xxx,Dhrahan
2022-06-25,19:53:33,20,Uxxxx1701xxx,Dhrahan
2022-06-25,19:53:02,20,Sxxxx0221xxx,Dhrahan
2022-06-25,19:52:39,20,Sxxxx7702xxx,Dhrahan
2022-06-25,19:51:29,20,Sxxxx5054xxx,Dhrahan
2022-06-25,19:50:52,20,Uxxxx3795xxx,Dhrahan
2022-06-25,19:50:00,20,Mxxxx3616xxx,Dhrahan
2022-06-25,19:48:44,20,Mxxxx0242xxx,Dhrahan
2022-06-25,19:48:17,20,Mxxxx1591xxx,Dhrahan
2022-06-25,19:47:36,20,Uxxxx5168xxx,Dhrahan
2022-06-25,19:47:05,20,Uxxxx8958xxx,Dhrahan
2022-06-25,19:46:30,20,Uxxxx7582xxx,Dhrahan
2022-06-25,19:46:00,20,Uxxxx9591xxx,Dhrahan
2022-06-25,19:45:30,20,Uxxxx1794xxx,Dhrahan
2022-06-25,19:44:53,20,Mxxxx6900xxx,Dhrahan
2022-06-25,19:44:13,10,Pxxxx2405xxx,Dhrahan
