Date,Time,Notetype,Maskedserial,Locality
2022-12-03,12:43:09,50,Zxxxx9930xxx,Guča
2022-12-03,12:42:33,50,Xxxxx3415xxx,Guča
2022-12-03,12:41:33,50,Sxxxx4589xxx,Guča
2022-12-03,12:40:46,50,Sxxxx1888xxx,Guča
2022-12-03,12:39:59,50,Zxxxx3018xxx,Guča
2022-12-03,12:39:10,50,Rxxxx9956xxx,Guča
2022-12-03,12:38:28,50,Wxxxx0572xxx,Guča
2022-12-03,12:37:52,50,Rxxxx9793xxx,Guča
2022-12-03,12:37:22,50,Exxxx6216xxx,Guča
2022-12-03,12:36:46,50,Wxxxx3867xxx,Guča
2022-12-03,12:36:09,100,Nxxxx0008xxx,Guča
2022-12-03,12:35:30,100,Nxxxx6646xxx,Guča
2022-12-03,12:34:53,100,Sxxxx1722xxx,Guča
2022-12-03,12:34:16,100,Xxxxx4884xxx,Guča
2022-12-03,12:33:30,100,Xxxxx2529xxx,Guča
2022-12-03,12:32:57,100,Xxxxx8595xxx,Guča
2022-12-03,12:32:16,100,Nxxxx3894xxx,Guča
2022-12-03,12:31:43,100,Xxxxx9228xxx,Guča
2022-12-03,12:31:07,100,Nxxxx2872xxx,Guča
2022-12-03,12:30:33,100,Xxxxx8632xxx,Guča
2022-12-03,12:29:58,100,Nxxxx6645xxx,Guča
2022-12-03,12:29:26,100,Nxxxx8179xxx,Guča
2022-12-03,12:28:48,100,Xxxxx9357xxx,Guča
2022-12-03,12:28:00,100,Nxxxx9005xxx,Guča
2022-12-03,12:26:34,50,Zxxxx0907xxx,Guča
2022-12-03,12:26:00,50,Exxxx7080xxx,Guča
2022-12-03,12:25:07,50,Rxxxx7434xxx,Guča
2022-11-30,19:29:13,50,Sxxxx1471xxx,Despotovac
2022-11-30,19:29:13,50,Uxxxx5003xxx,Despotovac
2022-11-26,14:00:06,20,Rxxxx0834xxx,Guča
2022-11-23,14:04:13,50,Wxxxx3923xxx,Belgrade
2022-11-15,12:15:01,100,Sxxxx8982xxx,Guča
2022-11-13,15:11:18,10,Wxxxx6788xxx,Belgrade
2022-11-13,15:11:18,20,Zxxxx8090xxx,Belgrade
2022-11-08,09:31:48,50,Nxxxx5474xxx,Belgrade
2022-11-01,09:39:44,20,Uxxxx4879xxx,Belgrade
2022-11-01,09:39:44,20,Rxxxx7653xxx,Belgrade
2022-10-22,10:13:30,200,Sxxxx9410xxx,Guča
2022-10-22,10:12:57,200,Sxxxx2739xxx,Guča
2022-10-22,10:12:18,100,Exxxx4132xxx,Guča
2022-10-22,10:10:41,50,Mxxxx3356xxx,Guča
2022-10-22,10:10:41,50,Wxxxx5257xxx,Guča
2022-10-22,10:10:41,50,Pxxxx6093xxx,Guča
2022-10-22,10:10:41,50,Uxxxx9534xxx,Guča
2022-10-22,10:10:41,50,Pxxxx5363xxx,Guča
2022-10-22,10:10:41,50,Uxxxx7948xxx,Guča
2022-10-22,10:10:41,50,Uxxxx6394xxx,Guča
2022-10-22,10:10:41,50,Rxxxx5055xxx,Guča
2022-10-22,10:10:41,50,Rxxxx3788xxx,Guča
2022-10-22,10:10:41,50,Uxxxx0850xxx,Guča
2022-10-22,10:10:41,50,Uxxxx7361xxx,Guča
2022-10-22,10:10:41,50,Pxxxx7355xxx,Guča
2022-10-22,10:10:41,50,Rxxxx7589xxx,Guča
2022-10-22,10:10:41,50,Uxxxx0626xxx,Guča
2022-10-22,10:10:41,50,Uxxxx6138xxx,Guča
2022-10-22,10:10:41,50,Rxxxx0577xxx,Guča
2022-10-22,10:10:41,50,Pxxxx2567xxx,Guča
2022-10-22,10:10:41,50,Exxxx5757xxx,Guča
2022-10-22,10:10:41,50,Sxxxx2450xxx,Guča
2022-10-22,09:59:11,50,Vxxxx4555xxx,Guča
2022-10-22,09:59:11,50,Uxxxx6034xxx,Guča
2022-10-22,09:59:11,50,Rxxxx5060xxx,Guča
2022-10-22,09:59:11,50,Rxxxx1549xxx,Guča
2022-10-22,09:59:11,50,Exxxx1804xxx,Guča
2022-10-22,09:59:11,50,Wxxxx5543xxx,Guča
2022-10-22,09:59:11,50,Wxxxx7885xxx,Guča
2022-10-22,09:59:11,50,Wxxxx8291xxx,Guča
2022-10-22,09:54:03,50,Uxxxx6174xxx,Guča
2022-10-22,09:54:03,50,Wxxxx3546xxx,Guča
2022-10-22,09:54:03,50,Uxxxx9113xxx,Guča
2022-10-22,09:54:03,50,Rxxxx2149xxx,Guča
2022-10-22,09:54:03,50,Uxxxx7681xxx,Guča
2022-10-22,09:54:03,50,Rxxxx4989xxx,Guča
2022-10-22,09:54:03,50,Uxxxx6346xxx,Guča
2022-10-22,09:48:57,50,Wxxxx0535xxx,Guča
2022-10-22,09:48:57,50,Wxxxx4606xxx,Guča
2022-10-22,09:48:57,50,Uxxxx6928xxx,Guča
2022-10-22,09:48:57,50,Uxxxx7150xxx,Guča
2022-10-22,09:48:57,50,Rxxxx4588xxx,Guča
2022-10-22,09:48:57,50,Uxxxx5854xxx,Guča
2022-10-22,09:48:57,50,Pxxxx3043xxx,Guča
2022-10-22,09:48:57,50,Rxxxx5185xxx,Guča
2022-10-22,09:48:57,50,Uxxxx1399xxx,Guča
2022-10-22,09:48:57,50,Rxxxx1309xxx,Guča
2022-10-22,09:41:52,50,Xxxxx1898xxx,Guča
2022-10-22,09:41:52,50,Vxxxx8100xxx,Guča
2022-10-22,09:41:52,50,Sxxxx4630xxx,Guča
2022-10-22,09:41:52,50,Sxxxx6884xxx,Guča
2022-10-22,09:41:52,50,Sxxxx8325xxx,Guča
2022-10-22,09:41:52,50,Xxxxx5035xxx,Guča
2022-10-20,13:02:58,50,Sxxxx6754xxx,Belgrade
2022-10-20,12:48:57,50,Pxxxx2433xxx,Despotovac
2022-10-20,10:30:13,10,Wxxxx5030xxx,Belgrade
2022-10-20,10:30:13,5,Zxxxx5116xxx,Belgrade
2022-10-18,22:46:17,20,Exxxx8832xxx,Despotovac
2022-10-16,21:57:13,50,Uxxxx9834xxx,Белград
2022-10-16,21:47:10,50,Uxxxx0073xxx,Белград
2022-10-16,12:17:40,50,Uxxxx5527xxx,Despotovac
2022-10-14,21:38:29,10,Wxxxx5258xxx,Beograd
2022-10-14,14:00:25,50,Rxxxx8422xxx,Belgrade
2022-10-14,13:59:44,20,Uxxxx1808xxx,Belgrade
2022-10-14,13:59:44,20,Uxxxx1100xxx,Belgrade
2022-10-14,12:26:06,50,Vxxxx8084xxx,Belgrade
2022-10-14,12:26:06,50,Vxxxx8084xxx,Belgrade
2022-10-14,12:26:06,50,Uxxxx3448xxx,Belgrade
2022-10-14,12:26:06,50,Sxxxx0150xxx,Belgrade
2022-10-14,12:26:06,50,Sxxxx4798xxx,Belgrade
2022-10-14,12:22:17,100,Sxxxx0230xxx,Belgrade
2022-10-14,12:19:00,200,Uxxxx6792xxx,Belgrade
2022-10-14,10:15:30,50,Sxxxx6568xxx,Belgrade
2022-10-14,10:15:30,50,Wxxxx0690xxx,Belgrade
2022-10-14,10:15:30,50,Uxxxx6561xxx,Belgrade
2022-10-14,10:15:30,50,Rxxxx9846xxx,Belgrade
2022-10-14,10:15:30,50,Rxxxx0730xxx,Belgrade
2022-10-14,10:08:25,50,Vxxxx6758xxx,Belgrade
2022-10-14,10:08:25,50,Xxxxx2445xxx,Belgrade
2022-10-14,10:06:44,20,Uxxxx3084xxx,Belgrade
2022-10-14,10:05:46,10,Wxxxx6513xxx,Belgrade
2022-10-14,10:05:46,10,Wxxxx6090xxx,Belgrade
2022-10-14,10:05:46,10,Wxxxx4413xxx,Belgrade
2022-10-14,10:05:46,10,Yxxxx4768xxx,Belgrade
2022-10-14,10:05:46,10,Pxxxx5294xxx,Belgrade
2022-10-14,10:05:46,10,Vxxxx2950xxx,Belgrade
2022-10-14,10:05:46,10,Exxxx3353xxx,Belgrade
2022-10-14,10:05:46,10,Wxxxx8970xxx,Belgrade
2022-10-14,10:02:43,20,Nxxxx2432xxx,Belgrade
2022-10-14,10:02:43,20,Uxxxx4403xxx,Belgrade
2022-10-14,10:01:45,5,Xxxxx4865xxx,Belgrade
2022-10-14,10:01:45,5,Nxxxx3332xxx,Belgrade
2022-10-13,13:32:57,20,Sxxxx0932xxx,Beograd
2022-10-13,13:32:57,5,Zxxxx1244xxx,Beograd
2022-10-13,13:30:39,20,Xxxxx8182xxx,Beograd
2022-10-11,18:55:48,10,Yxxxx0212xxx,Despotovac
2022-10-11,18:55:48,20,Rxxxx2795xxx,Despotovac
2022-10-09,19:35:14,10,Wxxxx2010xxx,Despotovac
2022-10-09,19:35:14,5,Wxxxx2590xxx,Despotovac
2022-10-09,19:35:14,20,Rxxxx3036xxx,Despotovac
2022-10-09,19:35:14,20,Uxxxx4159xxx,Despotovac
2022-10-09,19:35:14,10,Fxxxx7166xxx,Despotovac
2022-10-09,19:35:14,10,Xxxxx1453xxx,Despotovac
2022-10-09,19:35:14,10,Exxxx9915xxx,Despotovac
2022-10-09,19:35:14,20,Wxxxx6803xxx,Despotovac
2022-10-09,17:15:14,500,Xxxxx3967xxx,Požarevac
2022-10-09,17:14:39,500,Nxxxx6119xxx,Požarevac
2022-10-09,17:14:39,500,Nxxxx9357xxx,Požarevac
2022-10-09,17:14:39,200,Sxxxx2111xxx,Požarevac
2022-10-09,17:14:39,200,Uxxxx4529xxx,Požarevac
2022-10-09,17:14:39,200,Sxxxx5437xxx,Požarevac
2022-10-09,17:14:39,200,Uxxxx9112xxx,Požarevac
2022-10-09,17:14:39,200,Sxxxx5418xxx,Požarevac
2022-10-09,17:14:39,200,Nxxxx5553xxx,Požarevac
2022-10-09,17:14:39,200,Uxxxx0628xxx,Požarevac
2022-10-09,17:14:39,200,Nxxxx5875xxx,Požarevac
2022-10-09,17:14:39,200,Nxxxx3302xxx,Požarevac
2022-10-09,17:14:39,200,Nxxxx5875xxx,Požarevac
2022-10-09,17:14:39,200,Sxxxx4941xxx,Požarevac
2022-10-09,17:14:39,200,Nxxxx8186xxx,Požarevac
2022-10-09,17:14:39,200,Nxxxx1247xxx,Požarevac
2022-10-09,17:14:39,200,Nxxxx6632xxx,Požarevac
2022-10-09,17:14:39,200,Nxxxx8186xxx,Požarevac
2022-10-09,17:14:39,200,Uxxxx2931xxx,Požarevac
2022-10-09,17:14:39,200,Uxxxx2931xxx,Požarevac
2022-10-09,17:14:39,200,Uxxxx2931xxx,Požarevac
