Date,Time,Notetype,Maskedserial,Locality
2022-05-01,17:55:28,50,Uxxxx0745xxx,Paramaribo
2022-05-01,17:55:28,50,Uxxxx0745xxx,Paramaribo
2022-05-01,17:55:28,20,Rxxxx2812xxx,Paramaribo
2022-05-01,17:55:28,20,Zxxxx2054xxx,Paramaribo
2022-05-01,17:55:28,20,Xxxxx4547xxx,Paramaribo
2022-05-01,17:55:28,20,Exxxx2342xxx,Paramaribo
2022-05-01,17:55:28,10,Exxxx8620xxx,Paramaribo
2022-01-17,09:30:15,50,Vxxxx0221xxx,Paramaribo
2022-01-17,09:29:23,50,Vxxxx5221xxx,Paramaribo
2022-01-17,09:28:27,50,Vxxxx0221xxx,Paramaribo
2022-01-17,09:26:42,50,Vxxxx0221xxx,Paramaribo
