Date,Time,Notetype,Maskedserial,Locality
2022-07-29,19:05:47,10,Wxxxx9599xxx,Zanzibar
2022-07-29,19:05:47,10,Exxxx1897xxx,Zanzibar
2022-07-29,19:05:47,10,Yxxxx1241xxx,Zanzibar
2022-07-29,19:05:47,10,Txxxx0958xxx,Zanzibar
2022-07-29,19:05:47,10,Yxxxx7262xxx,Zanzibar
2022-07-29,19:01:32,20,Rxxxx4256xxx,Zanzibar
2022-07-29,19:01:32,20,Exxxx8185xxx,Zanzibar
2022-07-29,11:53:16,5,Mxxxx2393xxx,Zanzibar
2022-07-29,11:53:16,5,Zxxxx0217xxx,Zanziba
2022-07-29,11:53:16,5,Mxxxx6119xxx,Zanzibar
2022-07-29,11:53:16,5,Vxxxx4313xxx,Zanzibar
2022-03-15,07:47:31,50,Uxxxx0019xxx,Pwani Mchangani
2022-03-15,07:47:31,50,Wxxxx3645xxx,Pwani Mchangani
2022-03-03,11:57:17,10,Pxxxx3694xxx,Moshi
2022-03-03,11:57:17,20,Sxxxx2005xxx,Moshi
2022-03-03,11:57:17,20,Rxxxx4445xxx,Moshi
2022-03-03,11:57:17,5,Vxxxx6798xxx,Moshi
2022-03-03,11:57:17,20,Uxxxx8095xxx,Moshi
2022-03-03,11:57:16,20,Rxxxx7329xxx,Moshi
2022-01-06,08:02:49,5,Uxxxx6023xxx,Arusha
2022-01-06,08:02:49,20,Exxxx8976xxx,Arusha
