Date,Time,Notetype,Maskedserial,Locality
2023-09-26,04:17:03,50,Vxxxx3597xxx,Sydney
2023-09-26,04:17:03,50,Vxxxx3597xxx,Sydney
2023-09-26,04:17:03,50,Vxxxx3597xxx,Sydney
2023-09-26,04:17:03,20,Rxxxx3774xxx,Sydney
2023-09-26,04:17:03,10,Fxxxx8234xxx,Sydney
2023-09-25,12:07:15,10,Fxxxx7459xxx,Sydney
2023-08-03,10:40:52,5,Yxxxx1710xxx,Melbourne
2023-07-31,03:22:41,20,Uxxxx6223xxx,Perth
2023-07-31,03:21:41,20,Uxxxx5711xxx,Perth
2023-07-31,03:19:40,20,Vxxxx4524xxx,Perth
2023-07-31,03:17:50,50,Uxxxx6166xxx,Perth
2023-07-25,01:49:21,50,Sxxxx6528xxx,Perth
2023-07-25,01:47:42,50,Xxxxx7773xxx,Perth
2023-07-25,01:42:45,50,Xxxxx0655xxx,Perth
2023-07-13,08:08:42,20,Exxxx0667xxx,Adelaide
2023-07-13,08:08:36,20,Exxxx0667xxx,Adelaide
2023-07-13,08:08:26,20,Exxxx0667xxx,Adelaide
2023-07-13,08:08:13,20,Exxxx0667xxx,Adelaide
2023-07-13,08:07:58,20,Exxxx0666xxx,Adelaide
2023-07-13,08:07:48,20,Exxxx0666xxx,Adelaide
2023-05-30,12:56:50,20,Rxxxx5152xxx,Niagara Park Nsw
2023-05-30,12:56:50,5,Uxxxx2327xxx,Niagara Park Nsw
2023-05-09,10:24:05,5,Zxxxx2179xxx,Canberra
2023-05-09,10:24:05,5,Zxxxx2179xxx,Canberra
2023-05-09,10:24:05,5,Zxxxx2179xxx,Canberra
2023-05-09,10:24:05,5,Zxxxx2179xxx,Canberra
2023-04-20,15:40:16,50,Rxxxx1095xxx,Bethanga Victoria
2023-04-20,15:40:16,20,Txxxx1732xxx,Bethanga Victoria
