Date,Time,Notetype,Maskedserial,Locality
2023-12-30,03:33:34,100,Uxxxx0391xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Vxxxx8706xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Exxxx7761xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Sxxxx4502xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Exxxx9108xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Nxxxx4446xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Exxxx7136xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Exxxx6865xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Nxxxx2634xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Rxxxx6204xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Uxxxx7092xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Rxxxx6950xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Exxxx8705xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Rxxxx2252xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Exxxx5566xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Uxxxx1379xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Exxxx9765xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Rxxxx0410xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Exxxx5894xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Exxxx5679xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Exxxx4104xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Exxxx1512xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Exxxx1515xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Exxxx1391xxx,Kirchberg am Wagram
2023-12-30,03:33:34,100,Exxxx0929xxx,Kirchberg am Wagram
2023-12-30,03:02:35,10,Wxxxx1560xxx,Klagenfurt
2023-12-30,03:02:35,10,Nxxxx1903xxx,Klagenfurt
2023-12-30,03:02:35,10,Fxxxx7423xxx,Klagenfurt
2023-12-30,03:02:35,10,Wxxxx7408xxx,Klagenfurt
2023-12-30,03:02:35,10,Xxxxx4520xxx,Klagenfurt
2023-12-30,03:02:35,10,Wxxxx0455xxx,Klagenfurt
2023-12-30,03:02:35,10,Sxxxx8260xxx,Klagenfurt
2023-12-30,03:02:35,10,Wxxxx1363xxx,Klagenfurt
2023-12-30,03:02:35,10,Vxxxx2856xxx,Klagenfurt
2023-12-30,03:02:35,10,Uxxxx2644xxx,Klagenfurt
2023-12-30,03:02:35,10,Fxxxx0560xxx,Klagenfurt
2023-12-30,03:02:35,10,Nxxxx1144xxx,Klagenfurt
2023-12-30,03:02:35,10,Pxxxx0197xxx,Klagenfurt
2023-12-30,03:02:35,10,Yxxxx7351xxx,Klagenfurt
2023-12-30,03:02:35,10,Exxxx8416xxx,Klagenfurt
2023-12-30,02:53:13,10,Xxxxx0023xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Pxxxx7273xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Fxxxx8631xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Pxxxx7822xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Exxxx7148xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Uxxxx6292xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Wxxxx2204xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Vxxxx9724xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Yxxxx7142xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Exxxx7914xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Wxxxx3680xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Wxxxx7493xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Uxxxx1804xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Nxxxx1380xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Wxxxx6103xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Wxxxx8143xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Exxxx4046xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Wxxxx4306xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Uxxxx4444xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Rxxxx5400xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Wxxxx5670xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Yxxxx9031xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Uxxxx2847xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Nxxxx1647xxx,Kirchberg am Wagram
2023-12-30,02:53:13,10,Yxxxx0122xxx,Kirchberg am Wagram
2023-12-30,02:50:50,10,Wxxxx5905xxx,Klagenfurt
2023-12-30,02:50:50,10,Vxxxx7836xxx,Klagenfurt
2023-12-30,02:50:50,10,Fxxxx7063xxx,Klagenfurt
2023-12-30,02:50:50,10,Wxxxx9644xxx,Klagenfurt
2023-12-30,02:50:50,10,Txxxx6839xxx,Klagenfurt
2023-12-30,02:50:50,10,Uxxxx9861xxx,Klagenfurt
2023-12-30,02:50:50,10,Vxxxx0421xxx,Klagenfurt
2023-12-30,02:50:50,10,Nxxxx0068xxx,Klagenfurt
2023-12-30,02:50:50,10,Nxxxx8680xxx,Klagenfurt
2023-12-30,02:50:50,10,Uxxxx3920xxx,Klagenfurt
2023-12-30,02:50:50,10,Sxxxx0715xxx,Klagenfurt
2023-12-30,02:50:50,10,Yxxxx1520xxx,Klagenfurt
2023-12-30,02:50:50,10,Xxxxx2512xxx,Klagenfurt
2023-12-30,02:50:50,10,Yxxxx2285xxx,Klagenfurt
2023-12-30,02:50:50,10,Nxxxx7078xxx,Klagenfurt
2023-12-30,02:50:50,10,Fxxxx0024xxx,Klagenfurt
2023-12-30,02:50:50,10,Uxxxx6521xxx,Klagenfurt
2023-12-30,02:50:50,10,Vxxxx9839xxx,Klagenfurt
2023-12-30,02:50:50,10,Vxxxx0826xxx,Klagenfurt
2023-12-30,02:50:50,10,Xxxxx3257xxx,Klagenfurt
2023-12-30,02:50:50,10,Nxxxx1675xxx,Klagenfurt
2023-12-30,02:50:50,10,Xxxxx5327xxx,Klagenfurt
2023-12-30,02:50:50,10,Txxxx0293xxx,Klagenfurt
2023-12-30,02:50:50,10,Wxxxx2924xxx,Klagenfurt
2023-12-30,02:50:50,10,Uxxxx0263xxx,Klagenfurt
2023-12-30,02:46:22,10,Wxxxx1312xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Wxxxx6648xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Txxxx6404xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Vxxxx3000xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Pxxxx6118xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Wxxxx2382xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Vxxxx8547xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Uxxxx7151xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Yxxxx7233xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Wxxxx9216xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Fxxxx9939xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Pxxxx8424xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Wxxxx6957xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Yxxxx9763xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Fxxxx9148xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Txxxx8986xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Nxxxx7071xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Pxxxx3709xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Yxxxx9943xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Nxxxx3753xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Xxxxx9376xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Wxxxx0610xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Vxxxx6237xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Sxxxx9248xxx,Kirchberg am Wagram
2023-12-30,02:46:22,10,Wxxxx3815xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Rxxxx7399xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Nxxxx1226xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Sxxxx1955xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Uxxxx3234xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Uxxxx4696xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Rxxxx7718xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Wxxxx6902xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Vxxxx5224xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Exxxx6765xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Wxxxx4174xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Uxxxx1031xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Zxxxx7929xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Uxxxx6202xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Uxxxx4901xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Uxxxx4249xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Uxxxx7019xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Rxxxx5489xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Nxxxx5288xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Exxxx0624xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Wxxxx7490xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Rxxxx2323xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Wxxxx7359xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Uxxxx6878xxx,Kirchberg am Wagram
2023-12-30,02:34:28,50,Wxxxx8717xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Vxxxx0031xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Pxxxx6055xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Rxxxx2313xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Wxxxx8255xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Zxxxx7748xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Rxxxx4078xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Uxxxx1507xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Pxxxx7057xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Rxxxx9471xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Uxxxx7758xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Wxxxx7620xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Rxxxx1093xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Uxxxx5854xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Yxxxx5548xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Zxxxx7540xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Uxxxx3077xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Uxxxx4171xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Sxxxx7070xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Rxxxx3036xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Rxxxx7292xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Nxxxx2766xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Zxxxx2756xxx,Kirchberg am Wagram
2023-12-30,02:26:43,50,Sxxxx6457xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Wxxxx8349xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Vxxxx4115xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Yxxxx4928xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Uxxxx3330xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Exxxx7066xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Uxxxx5379xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Rxxxx2333xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Wxxxx8236xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Nxxxx0493xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Rxxxx2629xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Uxxxx8560xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Sxxxx5249xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Uxxxx2647xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Wxxxx5127xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Vxxxx9535xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Sxxxx2606xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Wxxxx9773xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Uxxxx0134xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Rxxxx5303xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Wxxxx1368xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Nxxxx9440xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Wxxxx0141xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Rxxxx9597xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Sxxxx0528xxx,Kirchberg am Wagram
2023-12-30,02:18:17,50,Wxxxx2784xxx,Kirchberg am Wagram
2023-12-30,02:11:14,20,Sxxxx9132xxx,Klagenfurt
2023-12-30,02:11:14,20,Xxxxx4916xxx,Klagenfurt
2023-12-30,02:11:14,20,Xxxxx1597xxx,Klagenfurt
2023-12-30,02:11:14,20,Exxxx1589xxx,Klagenfurt
2023-12-30,02:06:30,20,Uxxxx2184xxx,Klagenfurt
2023-12-30,02:06:30,20,Uxxxx9880xxx,Klagenfurt
2023-12-30,02:06:30,20,Sxxxx1967xxx,Klagenfurt
2023-12-30,02:06:30,20,Vxxxx9002xxx,Klagenfurt
