Date,Time,Notetype,Maskedserial,Locality
2023-12-30,01:05:13,20,Uxxxx1635xxx,Bruxelles
2023-12-30,01:05:13,20,Exxxx9801xxx,Bruxelles
2023-12-30,01:05:13,20,Exxxx6271xxx,Bruxelles
2023-12-30,01:05:13,20,Zxxxx6521xxx,Bruxelles
2023-12-30,01:05:13,20,Uxxxx7917xxx,Bruxelles
2023-12-30,01:05:13,20,Exxxx8685xxx,Bruxelles
2023-12-30,01:05:13,20,Sxxxx2916xxx,Bruxelles
2023-12-30,01:05:13,50,Uxxxx6871xxx,Bruxelles
2023-12-30,01:05:13,50,Exxxx4748xxx,Bruxelles
2023-12-30,01:05:13,5,Zxxxx8539xxx,Bruxelles
2023-12-30,01:05:13,5,Vxxxx3201xxx,Bruxelles
2023-12-30,01:05:13,5,Mxxxx0757xxx,Bruxelles
2023-12-30,01:05:13,5,Zxxxx4449xxx,Bruxelles
2023-12-30,01:05:13,5,Nxxxx9117xxx,Bruxelles
2023-12-30,01:05:13,5,Zxxxx9245xxx,Bruxelles
2023-12-30,01:05:13,5,Zxxxx0319xxx,Bruxelles
2023-12-30,01:05:13,10,Wxxxx3634xxx,Bruxelles
2023-12-30,01:05:13,10,Exxxx1990xxx,Bruxelles
2023-12-30,00:55:22,10,Exxxx6714xxx,Bruxelles
2023-12-30,00:55:22,10,Vxxxx0115xxx,Bruxelles
2023-12-30,00:55:22,10,Wxxxx0439xxx,Bruxelles
2023-12-30,00:55:22,20,Uxxxx6122xxx,Bruxelles
2023-12-30,00:55:22,20,Uxxxx3793xxx,Bruxelles
2023-12-30,00:55:22,20,Uxxxx6685xxx,Bruxelles
2023-12-30,00:55:22,10,Rxxxx1068xxx,Bruxelles
2023-12-30,00:55:22,10,Yxxxx1297xxx,Bruxelles
2023-12-30,00:55:22,10,Wxxxx1008xxx,Bruxelles
2023-12-30,00:55:22,20,Exxxx1047xxx,Bruxelles
2023-12-30,00:55:22,20,Exxxx7481xxx,Bruxelles
2023-12-30,00:55:22,20,Uxxxx9637xxx,Bruxelles
2023-12-30,00:55:22,20,Uxxxx3962xxx,Bruxelles
2023-12-30,00:55:22,20,Uxxxx3098xxx,Bruxelles
2023-12-30,00:55:22,10,Vxxxx7589xxx,Bruxelles
2023-12-30,00:55:22,10,Vxxxx1211xxx,Bruxelles
2023-12-30,00:55:22,10,Uxxxx6388xxx,Bruxelles
2023-12-30,00:55:22,10,Fxxxx3866xxx,Bruxelles
