Date,Time,Notetype,Maskedserial,Locality
2023-12-02,07:37:16,5,Vxxxx4635xxx,Belize City
2023-12-02,07:37:16,5,Mxxxx5409xxx,Belize City
2023-04-06,00:19:49,10,Wxxxx0914xxx,Harvest Caye
2023-04-06,00:19:49,5,Exxxx7054xxx,Harvest Caye
2023-04-02,19:13:24,50,Sxxxx9628xxx,Belize City
2023-04-02,19:13:24,20,Exxxx3541xxx,Belize City
2023-04-02,19:13:24,10,Txxxx9577xxx,Belize City
2023-04-02,19:13:24,5,Uxxxx9199xxx,Belize City
2023-04-02,19:13:24,5,Uxxxx2186xxx,Belize City
2023-04-02,19:13:24,5,Uxxxx1537xxx,Belize City
2023-04-02,19:13:24,5,Mxxxx9059xxx,Belize City
