Date,Time,Notetype,Maskedserial,Locality
2023-02-23,03:24:03,50,Sxxxx2778xxx,Cochabamba
2023-02-22,02:52:08,10,Vxxxx3270xxx,Cochabamba
2023-02-22,02:50:25,10,Pxxxx6386xxx,Cochabamba
2023-02-22,02:48:38,10,Wxxxx7828xxx,Cochabamba
2023-02-22,02:47:11,10,Exxxx4875xxx,Cochabamba
2023-02-22,02:45:54,10,Uxxxx9059xxx,Cochabamba
2023-02-22,02:44:44,10,Sxxxx6428xxx,Cochabamba
2023-02-22,02:43:30,10,Pxxxx0574xxx,Cochabamba
2023-02-22,02:42:11,10,Sxxxx7558xxx,Cochabamba
2023-02-22,02:41:03,10,Sxxxx1733xxx,Cochabamba
2023-02-22,02:39:57,20,Rxxxx9301xxx,Cochabamba
2023-02-22,02:38:36,20,Exxxx7611xxx,Cochabamba
2023-02-22,02:37:11,20,Uxxxx9289xxx,Cochabamba
2023-02-22,02:35:32,20,Uxxxx9783xxx,Cochabamba
2023-02-22,02:33:54,20,Uxxxx6192xxx,Cochabamba
2023-02-22,02:31:51,20,Rxxxx8866xxx,Cochabamba
2023-02-22,02:28:49,20,Txxxx2855xxx,Cochabamba
