Date,Time,Notetype,Maskedserial,Locality
2023-09-20,20:12:15,10,Xxxxx4403xxx,Talcahuano
2023-05-26,11:10:37,50,Vxxxx9486xxx,Santiago
2023-05-26,11:10:37,50,Uxxxx7367xxx,Santiago
2023-05-26,11:07:44,50,Vxxxx3622xxx,Santiago
2023-05-26,11:07:44,50,Sxxxx9565xxx,Santiago
2023-05-26,11:07:44,50,Pxxxx4821xxx,Santiago
2023-05-26,11:07:44,50,Uxxxx8901xxx,Santiago
2023-05-26,11:07:44,50,Uxxxx2126xxx,Santiago
2023-05-26,11:07:44,50,Uxxxx9268xxx,Santiago
2023-05-26,11:07:44,50,Wxxxx8604xxx,Santiago
2023-05-26,11:07:44,50,Uxxxx6004xxx,Santiago
2023-05-26,11:07:44,50,Vxxxx7679xxx,Santiago
2023-05-26,11:07:44,50,Uxxxx8076xxx,Santiago
2023-05-26,11:07:44,50,Uxxxx5001xxx,Santiago
2023-05-26,11:07:44,50,Uxxxx8362xxx,Santiago
2023-05-26,11:07:44,50,Vxxxx2500xxx,Santiago
2023-05-26,11:07:44,50,Exxxx5702xxx,Santiago
2023-05-26,11:07:44,50,Exxxx3193xxx,Santiago
2023-05-26,11:07:44,50,Pxxxx4521xxx,Santiago
2023-05-26,11:07:44,50,Vxxxx7607xxx,Santiago
2023-05-26,11:07:44,50,Pxxxx7920xxx,Santiago
2023-05-26,11:07:44,50,Vxxxx3486xxx,Santiago
2023-05-26,11:07:44,50,Vxxxx1251xxx,Santiago
2023-05-26,11:07:44,50,Vxxxx1996xxx,Santiago
2023-05-26,11:07:44,50,Rxxxx3906xxx,Santiago
2023-05-26,11:07:44,50,Uxxxx6669xxx,Santiago
2023-05-26,11:07:44,50,Uxxxx5320xxx,Santiago
2023-05-26,11:07:44,50,Vxxxx4246xxx,Santiago
2023-05-26,10:16:06,50,Uxxxx5762xxx,Santiago
2023-05-26,10:16:06,50,Vxxxx9799xxx,Santiago
2023-05-26,10:16:06,50,Uxxxx6369xxx,Santiago
2023-05-26,10:16:06,50,Rxxxx2276xxx,Santiago
2023-05-26,10:16:06,50,Uxxxx8826xxx,Santiago
2023-05-26,10:16:06,50,Uxxxx6369xxx,Santiago
2023-05-26,10:16:06,50,Uxxxx6369xxx,Santiago
2023-05-26,10:16:06,50,Uxxxx5594xxx,Santiago
2023-05-26,10:16:06,50,Vxxxx9671xxx,Santiago
2023-05-26,10:16:06,50,Uxxxx5320xxx,Santiago
2023-05-26,10:16:06,50,Uxxxx6698xxx,Santiago
2023-05-26,10:16:06,50,Rxxxx7509xxx,Santiago
2023-05-26,10:16:06,50,Zxxxx4901xxx,Santiago
2023-05-26,10:16:06,50,Uxxxx4287xxx,Santiago
2023-05-26,10:16:06,50,Uxxxx6207xxx,Santiago
2023-05-26,10:16:06,50,Wxxxx6282xxx,Santiago
2023-05-26,10:16:06,50,Uxxxx3524xxx,Santiago
2023-05-26,10:16:06,50,Vxxxx5283xxx,Santiago
2023-05-26,10:16:06,50,Uxxxx9367xxx,Santiago
2023-05-26,10:16:06,50,Uxxxx6369xxx,Santiago
2023-05-26,10:16:06,50,Vxxxx0965xxx,Santiago
2023-05-26,10:16:06,50,Uxxxx9735xxx,Santiago
2023-05-26,10:16:06,50,Uxxxx6369xxx,Santiago
2023-05-26,10:16:06,50,Uxxxx8984xxx,Santiago
2023-05-26,10:16:06,50,Uxxxx6369xxx,Santiago
2023-05-26,10:05:32,50,Vxxxx1895xxx,Santiago
2023-05-26,10:05:32,50,Uxxxx5788xxx,Santiago
2023-05-26,10:05:32,50,Uxxxx6369xxx,Santiago
2023-05-26,10:05:32,50,Sxxxx8144xxx,Santiago
2023-05-26,10:05:32,50,Sxxxx2255xxx,Santiago
2023-05-26,10:05:32,50,Exxxx3193xxx,Santiago
2023-05-26,10:05:32,50,Wxxxx0972xxx,Santiago
2023-05-26,10:05:32,50,Vxxxx5290xxx,Santiago
2023-05-26,10:05:32,50,Exxxx3193xxx,Santiago
2023-05-26,10:05:32,50,Sxxxx7688xxx,Santiago
2023-05-26,10:05:32,50,Pxxxx2743xxx,Santiago
2023-05-26,10:05:32,50,Mxxxx9130xxx,Santiago
2023-05-26,10:05:32,50,Xxxxx6520xxx,Santiago
2023-05-26,10:05:32,50,Uxxxx0283xxx,Santiago
2023-05-26,10:05:32,50,Vxxxx0580xxx,Santiago
2023-05-26,10:05:32,50,Sxxxx5104xxx,Santiago
2023-05-26,10:05:32,50,Uxxxx6369xxx,Santiago
2023-05-26,10:05:32,50,Rxxxx5519xxx,Santiago
2023-05-26,10:05:32,50,Uxxxx6828xxx,Santiago
2023-05-26,10:05:32,50,Uxxxx0282xxx,Santiago
