Date,Time,Notetype,Maskedserial,Locality
2023-12-30,04:49:33,50,Uxxxx6630xxx,La Plaine
2023-12-30,04:47:51,20,Dxxxx4235xxx,Calibishie
2023-12-30,04:47:51,20,Uxxxx0015xxx,Calibishie
2023-12-30,04:47:51,20,Uxxxx4416xxx,Calibishie
2023-12-30,04:47:51,10,Yxxxx4059xxx,Calibishie
2023-12-30,04:47:51,10,Rxxxx7945xxx,Calibishie
2023-12-30,04:47:51,10,Wxxxx1903xxx,Calibishie
2023-12-30,04:47:51,5,Nxxxx4137xxx,Calibishie
2023-12-30,04:47:51,5,Nxxxx9450xxx,Calibishie
2023-12-30,04:47:51,5,Exxxx9893xxx,Calibishie
2023-12-30,04:47:51,5,Uxxxx9989xxx,Calibishie
2023-12-30,04:40:00,50,Uxxxx0739xxx,Portsmouth
2023-12-30,04:40:00,10,Wxxxx1792xxx,Portsmouth
2023-12-30,04:40:00,10,Wxxxx6458xxx,Portsmouth
2023-12-30,04:40:00,10,Vxxxx9914xxx,Portsmouth
2023-12-30,04:40:00,10,Uxxxx3295xxx,Portsmouth
2023-12-30,04:40:00,10,Sxxxx0679xxx,Portsmouth
2023-12-30,04:40:00,10,Rxxxx3312xxx,Portsmouth
2023-12-30,04:40:00,10,Rxxxx0512xxx,Portsmouth
2023-12-30,04:40:00,10,Rxxxx6145xxx,Portsmouth
2023-12-30,04:40:00,10,Rxxxx7077xxx,Portsmouth
2023-12-30,04:40:00,10,Exxxx5777xxx,Portsmouth
2023-12-30,04:40:00,5,Vxxxx3670xxx,Portsmouth
2023-12-30,04:40:00,5,Uxxxx5679xxx,Portsmouth
2023-12-30,04:40:00,5,Uxxxx2775xxx,Portsmouth
2023-12-30,04:40:00,5,Exxxx6911xxx,Portsmouth
2023-12-29,13:55:13,20,Uxxxx0160xxx,Roseau
2023-12-29,13:54:08,100,Exxxx6562xxx,Roseau
2023-12-29,13:54:08,20,Uxxxx9566xxx,Roseau
2023-12-29,13:54:08,20,Uxxxx8511xxx,Roseau
2023-12-29,13:54:08,20,Uxxxx5717xxx,Roseau
2023-12-29,13:54:08,20,Sxxxx6696xxx,Roseau
2023-12-29,13:54:08,20,Rxxxx1932xxx,Roseau
2023-12-29,13:54:08,10,Wxxxx8665xxx,Roseau
2023-12-29,13:54:08,10,Rxxxx2041xxx,Roseau
2023-12-29,13:54:08,10,Rxxxx5925xxx,Roseau
2023-12-29,13:54:08,10,Fxxxx6818xxx,Roseau
2023-12-29,13:54:08,5,Wxxxx1668xxx,Roseau
2023-12-29,13:54:08,5,Mxxxx3083xxx,Roseau
2023-12-29,13:54:08,5,Mxxxx1285xxx,Roseau
2023-12-29,13:54:08,5,Exxxx2897xxx,Roseau
2023-02-10,22:25:10,10,Vxxxx2073xxx,Roseau
