Date,Time,Notetype,Maskedserial,Locality
2023-12-26,19:27:59,10,Wxxxx7882xxx,Banjul
2023-03-22,15:38:21,50,Sxxxx1782xxx,Banjul
2023-02-20,16:12:36,50,Zxxxx9274xxx,Kololi
2023-02-20,16:12:36,100,Exxxx1796xxx,Kololi
2023-02-17,12:12:20,5,Zxxxx0756xxx,Yundum
2023-02-17,12:12:20,5,Zxxxx2759xxx,Yundum
2023-02-17,12:05:15,5,Zxxxx0421xxx,Yundum
2023-02-17,12:05:15,5,Mxxxx0041xxx,Yundum
2023-02-17,12:05:15,20,Exxxx9448xxx,Yundum
2023-02-17,12:05:15,20,Uxxxx9122xxx,Yundum
2023-02-17,12:05:14,20,Uxxxx1954xxx,Yundum
2023-02-17,12:00:49,100,Xxxxx7814xxx,Kololi
2023-02-17,12:00:49,100,Xxxxx4881xxx,Kololi
2023-02-17,12:00:10,50,Exxxx1587xxx,Kololi
2023-02-17,12:00:10,50,Vxxxx4354xxx,Kololi
2023-02-17,12:00:10,50,Uxxxx7698xxx,Kololi
2023-02-17,12:00:10,50,Zxxxx5081xxx,Kololi
2023-02-17,12:00:10,50,Zxxxx1167xxx,Kololi
2023-02-17,12:00:10,50,Uxxxx8810xxx,Kololi
2023-02-17,12:00:10,50,Zxxxx6190xxx,Kololi
2023-02-17,12:00:10,50,Uxxxx1688xxx,Kololi
2023-02-17,12:00:10,50,Vxxxx9918xxx,Kololi
2023-02-17,12:00:10,50,Uxxxx7164xxx,Kololi
2023-02-17,12:00:10,50,Uxxxx1234xxx,Kololi
2023-02-17,12:00:10,50,Uxxxx7439xxx,Kololi
2023-02-10,16:47:00,20,Exxxx4041xxx,Yundum
2023-02-10,16:47:00,20,Sxxxx3725xxx,Yundum
2023-02-10,16:47:00,10,Vxxxx9021xxx,Yundum
2023-02-10,16:47:00,10,Pxxxx5555xxx,Yundum
