Date,Time,Notetype,Maskedserial,Locality
2023-12-30,05:37:03,20,Rxxxx5253xxx,München
2023-12-30,05:36:29,10,Wxxxx0336xxx,München
2023-12-30,05:36:06,5,Uxxxx8609xxx,München
2023-12-30,05:25:04,5,Mxxxx1848xxx,Nürnberg
2023-12-30,05:25:04,5,Mxxxx9628xxx,Nürnberg
2023-12-30,05:25:04,5,Mxxxx9388xxx,Nürnberg
2023-12-30,05:25:04,5,Mxxxx7995xxx,Nürnberg
2023-12-30,05:25:04,5,Nxxxx0339xxx,Nürnberg
2023-12-30,05:24:05,5,Uxxxx2520xxx,Nürnberg
2023-12-30,05:24:05,5,Vxxxx8104xxx,Nürnberg
2023-12-30,05:24:05,5,Wxxxx5913xxx,Nürnberg
2023-12-30,05:24:05,5,Yxxxx9086xxx,Nürnberg
2023-12-30,05:24:05,5,Uxxxx6972xxx,Nürnberg
2023-12-30,05:22:02,5,Txxxx6773xxx,Nürnberg
2023-12-30,05:22:02,5,Yxxxx2017xxx,Nürnberg
2023-12-30,05:22:02,5,Vxxxx6607xxx,Nürnberg
2023-12-30,05:22:02,5,Nxxxx0414xxx,Nürnberg
2023-12-30,05:22:02,5,Sxxxx0800xxx,Nürnberg
2023-12-30,05:21:12,5,Mxxxx4393xxx,Nürnberg
2023-12-30,05:21:12,5,Mxxxx7279xxx,Nürnberg
2023-12-30,05:21:12,5,Mxxxx0766xxx,Nürnberg
2023-12-30,05:21:12,5,Vxxxx2872xxx,Nürnberg
2023-12-30,05:21:12,5,Mxxxx5070xxx,Nürnberg
2023-12-30,05:19:52,5,Zxxxx8309xxx,Nürnberg
2023-12-30,05:19:52,5,Mxxxx2786xxx,Nürnberg
2023-12-30,05:19:52,5,Wxxxx4762xxx,Nürnberg
2023-12-30,05:19:52,5,Nxxxx7989xxx,Nürnberg
2023-12-30,05:19:52,5,Mxxxx6543xxx,Nürnberg
2023-12-30,05:19:02,5,Nxxxx6884xxx,Nürnberg
2023-12-30,05:19:02,5,Yxxxx0683xxx,Nürnberg
2023-12-30,05:19:02,5,Txxxx2974xxx,Nürnberg
2023-12-30,05:19:02,5,Nxxxx1694xxx,Nürnberg
2023-12-30,05:19:02,5,Nxxxx1817xxx,Nürnberg
2023-12-30,05:13:14,200,Exxxx7007xxx,Frankfurt am Main
2023-12-30,04:47:33,10,Wxxxx0348xxx,Osterholz-Scharmbeck
2023-12-30,04:43:22,5,Mxxxx4640xxx,Osterholz-Scharmbeck
2023-12-30,04:43:22,5,Mxxxx4640xxx,Osterholz-Scharmbeck
2023-12-30,04:43:22,5,Mxxxx4640xxx,Osterholz-Scharmbeck
2023-12-30,04:43:22,5,Mxxxx4640xxx,Osterholz-Scharmbeck
