Date,Time,Notetype,Maskedserial,Locality
2023-12-30,02:22:21,20,Rxxxx0036xxx,Θεσσαλονίκη
2023-12-29,19:58:40,10,Yxxxx4504xxx,Athens
2023-12-29,19:58:40,20,Uxxxx5131xxx,Athens
2023-12-29,19:58:40,50,Yxxxx3336xxx,Athens
2023-12-29,19:58:40,50,Wxxxx0720xxx,Athens
2023-12-29,19:22:18,20,Uxxxx1921xxx,Thessaloniki
2023-12-29,19:21:56,20,Uxxxx8158xxx,Thessaloniki
2023-12-29,17:44:57,50,Vxxxx0848xxx,
2023-12-29,17:44:57,50,Pxxxx8836xxx,
2023-12-29,17:44:57,50,Exxxx8616xxx,
2023-12-29,17:44:57,50,Uxxxx4316xxx,
2023-12-29,17:44:57,50,Vxxxx3475xxx,
2023-12-29,17:44:57,50,Rxxxx6355xxx,
2023-12-29,17:44:57,50,Vxxxx7722xxx,
2023-12-29,17:44:57,50,Yxxxx1238xxx,
2023-12-29,17:44:57,50,Rxxxx5290xxx,
2023-12-29,17:44:57,50,Rxxxx5290xxx,
2023-12-29,17:44:57,50,Sxxxx0048xxx,
2023-12-29,17:44:57,50,Yxxxx7816xxx,
2023-12-29,17:44:57,50,Uxxxx2632xxx,
2023-12-29,17:44:57,50,Yxxxx2153xxx,
2023-12-29,17:44:57,50,Exxxx6848xxx,
2023-12-29,17:44:57,50,Vxxxx7386xxx,
2023-12-29,17:39:49,20,Rxxxx0383xxx,
2023-12-29,17:39:49,20,Uxxxx0457xxx,
2023-12-29,17:39:18,10,Fxxxx1395xxx,
2023-12-29,17:39:18,10,Rxxxx8017xxx,
2023-12-29,17:38:40,5,Nxxxx3712xxx,
2023-12-29,17:38:40,5,Mxxxx8008xxx,
2023-12-29,17:38:04,50,Yxxxx3004xxx,
2023-12-29,17:38:04,50,Wxxxx8874xxx,
2023-12-29,17:38:04,50,Vxxxx7861xxx,
2023-12-29,17:38:04,50,Exxxx9102xxx,
2023-12-29,17:38:04,50,Yxxxx2373xxx,
2023-12-29,17:38:04,50,Mxxxx3110xxx,
2023-12-29,17:38:04,50,Exxxx5462xxx,
2023-12-29,17:38:04,50,Uxxxx1236xxx,
2023-12-29,17:38:04,50,Rxxxx7055xxx,
2023-12-29,17:38:04,50,Exxxx7713xxx,
2023-12-29,17:38:04,50,Wxxxx4799xxx,
2023-12-29,17:38:04,50,Uxxxx4423xxx,
2023-12-29,17:38:04,50,Exxxx3758xxx,
2023-12-29,17:38:04,50,Rxxxx8182xxx,
2023-12-29,17:38:04,50,Exxxx7413xxx,
2023-12-29,17:38:04,50,Uxxxx4647xxx,
2023-12-29,17:34:36,50,Sxxxx6499xxx,
2023-12-29,17:34:36,50,Yxxxx6077xxx,
2023-12-29,17:34:36,50,Exxxx5581xxx,
2023-12-29,17:34:36,50,Pxxxx3413xxx,
2023-12-29,17:34:36,50,Exxxx0031xxx,
2023-12-29,17:34:36,50,Uxxxx4512xxx,
2023-12-29,17:34:36,50,Rxxxx9757xxx,
2023-12-29,17:34:36,50,Rxxxx4294xxx,
2023-12-29,17:34:36,50,Vxxxx9955xxx,
2023-12-29,17:34:36,50,Rxxxx2514xxx,
2023-12-29,17:34:36,50,Pxxxx5058xxx,
2023-12-29,17:34:36,50,Sxxxx2909xxx,
2023-12-29,17:34:36,50,Yxxxx8361xxx,
2023-12-29,17:34:36,50,Wxxxx2365xxx,
2023-12-29,17:34:36,50,Rxxxx9361xxx,
2023-12-29,17:34:36,50,Zxxxx8681xxx,
2023-12-29,17:34:36,50,Sxxxx4908xxx,
2023-12-29,17:34:36,50,Pxxxx1226xxx,
2023-12-29,17:34:36,50,Vxxxx7573xxx,
2023-12-29,17:34:36,50,Exxxx6068xxx,
2023-12-29,17:34:36,50,Sxxxx3659xxx,
2023-12-29,17:34:36,50,Xxxxx2199xxx,
2023-12-29,17:34:36,50,Zxxxx6644xxx,
2023-12-29,17:34:36,50,Vxxxx4122xxx,
2023-12-29,14:49:46,20,Fxxxx3753xxx,Thessaloniki
2023-12-29,14:49:21,20,Uxxxx4912xxx,Thessaloniki
2023-12-29,14:49:02,5,Mxxxx6744xxx,Thessaloniki
2023-12-29,14:18:52,20,Exxxx1621xxx,Αθήνα
2023-12-29,14:18:52,20,Fxxxx8081xxx,Αθήνα
2023-12-29,14:18:52,50,Yxxxx2463xxx,Αθήνα
2023-12-29,14:18:52,50,Rxxxx3758xxx,Αθήνα
2023-12-29,14:18:52,50,Exxxx2117xxx,Αθήνα
2023-12-29,14:18:52,50,Pxxxx6358xxx,Αθήνα
2023-12-29,13:02:05,5,Nxxxx4906xxx,Piraeus
2023-12-29,13:02:05,5,Nxxxx6777xxx,Piraeus
2023-12-29,13:02:05,50,Uxxxx1444xxx,Piraeus
2023-12-29,13:02:05,5,Nxxxx2724xxx,Piraeus
2023-12-29,13:02:05,5,Nxxxx4412xxx,Piraeus
2023-12-29,13:02:05,10,Wxxxx7757xxx,Piraeus
2023-12-29,13:02:05,10,Yxxxx9806xxx,Piraeus
2023-12-29,13:02:05,5,Nxxxx5456xxx,Piraeus
2023-12-29,13:02:05,20,Uxxxx2329xxx,Piraeus
2023-12-29,13:02:05,50,Wxxxx8361xxx,Piraeus
2023-12-29,12:29:59,10,Pxxxx4918xxx,Piraeus
2023-12-29,12:29:59,10,Yxxxx9997xxx,Piraeus
2023-12-29,12:29:59,5,Nxxxx3302xxx,Piraeus
2023-12-29,12:29:59,5,Sxxxx1482xxx,Piraeus
2023-12-29,12:29:59,5,Yxxxx8268xxx,Piraeus
2023-12-29,12:29:59,5,Yxxxx5839xxx,Piraeus
2023-12-29,12:29:59,50,Exxxx4782xxx,Piraeus
2023-12-29,12:29:59,50,Vxxxx0756xxx,Piraeus
2023-12-29,12:29:59,50,Wxxxx3950xxx,Piraeus
2023-12-29,12:29:59,10,Wxxxx4111xxx,Piraeus
2023-12-29,12:29:59,10,Wxxxx4629xxx,Piraeus
2023-12-29,12:29:59,10,Wxxxx6078xxx,Piraeus
2023-12-29,12:29:59,10,Txxxx9004xxx,Piraeus
2023-12-29,12:29:59,10,Wxxxx8039xxx,Piraeus
2023-12-29,12:25:36,5,Nxxxx4333xxx,Thessaloniki
2023-12-29,12:25:10,5,Nxxxx1622xxx,Thessaloniki
2023-12-29,12:24:26,5,Zxxxx6928xxx,Thessaloniki
2023-12-29,12:23:50,10,Nxxxx3519xxx,Thessaloniki
2023-12-29,12:17:31,50,Uxxxx5608xxx,Thessaloniki
