Date,Time,Notetype,Maskedserial,Locality
2023-09-21,20:43:13,50,Xxxxx7192xxx,Guatemala
2023-09-21,20:43:13,50,Vxxxx6239xxx,Guatemala
2023-09-21,20:43:13,50,Sxxxx3424xxx,Guatemala
2023-09-21,20:43:13,50,Vxxxx0861xxx,Guatemala
2023-09-21,20:43:13,50,Vxxxx5633xxx,Guatemala
2023-09-21,20:43:13,50,Sxxxx9635xxx,Guatemala
2023-09-21,20:43:13,50,Sxxxx5372xxx,Guatemala
2023-09-21,20:43:13,50,Zxxxx0307xxx,Guatemala
2023-09-21,20:43:13,50,Sxxxx8074xxx,Guatemala
2023-09-21,20:43:13,50,Pxxxx3517xxx,Guatemala
2023-09-21,19:39:17,100,Exxxx3824xxx,Guatemala
2023-09-21,19:39:17,100,Exxxx3824xxx,Guatemala
2023-09-21,19:39:17,100,Exxxx3824xxx,Guatemala
2023-09-21,19:39:17,100,Exxxx3824xxx,Guatemala
2023-09-21,19:39:17,100,Exxxx3824xxx,Guatemala
2023-09-11,19:15:39,10,Uxxxx4687xxx,Guatemala
2023-09-11,19:15:39,20,Rxxxx7572xxx,Guatemala
2023-09-11,19:15:39,20,Sxxxx3342xxx,Guatemala
2023-09-11,19:15:39,50,Uxxxx3419xxx,Guatemala
2023-09-11,19:15:39,50,Uxxxx1727xxx,Guatemala
2023-09-11,19:15:39,50,Vxxxx5419xxx,Guatemala
2023-09-11,19:15:39,50,Vxxxx4138xxx,Guatemala
2023-09-11,19:15:39,50,Vxxxx3441xxx,Guatemala
2023-09-11,19:15:39,50,Vxxxx3289xxx,Guatemala
2023-09-11,19:15:39,50,Vxxxx4617xxx,Guatemala
2023-09-11,19:15:39,50,Uxxxx2108xxx,Guatemala
2023-09-11,19:15:39,50,Vxxxx6647xxx,Guatemala
2023-09-11,19:15:39,100,Uxxxx0260xxx,Guatemala
2023-09-11,19:15:39,100,Exxxx6254xxx,Guatemala
2023-09-11,19:15:39,100,Exxxx1011xxx,Guatemala
2023-09-11,19:15:39,100,Exxxx7759xxx,Guatemala
2023-09-11,19:03:27,100,Exxxx3615xxx,Guatemala
2023-04-03,12:27:50,10,Fxxxx3198xxx,Puerto Quetzal
2023-04-03,12:27:50,10,Exxxx0350xxx,Puerto Quetzal
2023-04-03,12:27:50,5,Mxxxx7394xxx,Puerto Quetzal
2023-04-03,12:27:50,5,Txxxx2951xxx,Puerto Quetzal
2023-04-03,12:27:49,5,Nxxxx4287xxx,Puerto Quetzal
