Date,Time,Notetype,Maskedserial,Locality
2023-11-02,17:10:47,50,Wxxxx8006xxx,Kópavogur
2023-11-02,17:10:47,50,Wxxxx9802xxx,Kópavogur
2023-11-02,17:10:47,20,Rxxxx5196xxx,Kópavogur
2023-11-02,17:10:47,10,Nxxxx0518xxx,Kópavogur
2023-11-02,17:10:47,10,Wxxxx3411xxx,Kópavogur
2023-11-02,17:10:47,10,Xxxxx7993xxx,Kópavogur
2023-11-02,17:10:47,5,Mxxxx3962xxx,Kópavogur
2023-11-02,17:10:47,5,Mxxxx1241xxx,Kópavogur
2023-11-02,17:10:47,5,Nxxxx7349xxx,Kópavogur
2023-11-02,17:10:47,5,Wxxxx0943xxx,Kópavogur
2023-11-02,17:10:47,5,Mxxxx7396xxx,Kópavogur
2023-11-02,17:10:47,5,Mxxxx5959xxx,Kópavogur
2023-11-02,17:10:47,5,Mxxxx4754xxx,Kópavogur
2023-11-02,17:10:47,5,Mxxxx0106xxx,Kópavogur
2023-11-02,17:10:47,5,Yxxxx2825xxx,Kópavogur
2023-11-02,17:10:47,5,Zxxxx8965xxx,Kópavogur
2023-11-02,17:10:47,5,Zxxxx9794xxx,Kópavogur
2023-11-02,17:10:47,5,Nxxxx2163xxx,Kópavogur
2023-11-02,17:10:47,5,Mxxxx7879xxx,Kópavogur
2023-11-02,17:10:47,5,Zxxxx6482xxx,Kópavogur
2023-11-02,17:10:47,5,Nxxxx8815xxx,Kópavogur
2023-10-10,21:07:19,5,Sxxxx8406xxx,Keflavik
2023-10-10,21:07:19,5,Nxxxx5308xxx,Keflavik
2023-10-10,21:07:19,50,Vxxxx1688xxx,Keflavik
2023-10-10,21:07:19,50,Xxxxx0694xxx,Keflavik
2023-10-10,21:07:19,10,Uxxxx5896xxx,Keflavik
2023-10-01,21:25:20,50,Uxxxx1136xxx,Reykjavik
2023-10-01,21:25:20,50,Wxxxx5028xxx,Reykjavik
2023-10-01,21:25:20,50,Exxxx9541xxx,Reykjavik
2023-10-01,21:25:20,50,Exxxx2976xxx,Reykjavik
2023-10-01,21:25:20,50,Vxxxx4831xxx,Reykjavik
2023-10-01,21:25:20,50,Vxxxx6217xxx,Reykjavik
2023-10-01,21:25:20,50,Uxxxx9975xxx,Reykjavik
2023-10-01,21:25:20,20,Rxxxx5962xxx,Reykjavik
2023-10-01,21:25:20,5,Mxxxx3520xxx,Reykjavik
2023-10-01,21:25:20,5,Nxxxx3131xxx,Reykjavik
2023-09-18,13:35:36,50,Sxxxx3041xxx,Kevlavik - Rekjavik airport
2023-09-18,13:35:36,50,Wxxxx1618xxx,Kevlavik - Rekjavik airport
2023-09-18,13:35:36,50,Sxxxx5998xxx,Kevlavik - Rekjavik airport
2023-09-18,13:35:36,50,Sxxxx2835xxx,Kevlavik - Rekjavik airport
2023-09-16,20:46:35,50,Wxxxx1982xxx,Reykjavik
2023-09-16,20:46:35,50,Sxxxx9185xxx,Reykjavik
2023-09-16,20:46:35,20,Fxxxx2807xxx,Reykjavik
2023-09-16,20:46:35,20,Rxxxx7487xxx,Reykjavik
2023-09-16,20:46:35,20,Rxxxx6591xxx,Reykjavik
2023-09-16,20:46:35,20,Uxxxx4261xxx,Reykjavik
2023-09-16,20:46:35,10,Wxxxx7183xxx,Reykjavik
2023-09-16,20:46:35,10,Wxxxx7024xxx,Reykjavik
2023-09-16,20:46:35,10,Pxxxx2649xxx,Reykjavik
2023-09-16,20:46:35,10,Wxxxx7747xxx,Reykjavik
2023-09-16,20:46:35,10,Wxxxx9487xxx,Reykjavik
2023-09-16,20:46:35,10,Nxxxx1996xxx,Reykjavik
2023-09-16,20:46:35,10,Xxxxx5936xxx,Reykjavik
2023-09-16,20:46:35,10,Txxxx1617xxx,Reykjavik
2023-09-16,20:46:35,10,Wxxxx9372xxx,Reykjavik
2023-09-16,20:46:35,5,Mxxxx1179xxx,Reykjavik
2023-09-16,20:46:35,5,Vxxxx5380xxx,Reykjavik
2023-09-12,08:21:07,20,Xxxxx1446xxx,Rekjavik
2023-09-05,21:51:43,50,Uxxxx5799xxx,Hella
2023-09-05,21:51:43,20,Exxxx9068xxx,Hella
2023-09-05,21:51:43,10,Wxxxx8441xxx,Hella
2023-09-05,21:51:43,10,Exxxx4570xxx,Hella
2023-09-05,21:51:43,100,Exxxx4005xxx,Hella
2023-08-01,00:32:11,50,Rxxxx0282xxx,Gaggenau
2023-08-01,00:32:11,10,Exxxx9607xxx,Gaggenau
2023-07-15,23:19:07,5,Nxxxx1845xxx,Keflavík
2023-07-15,11:12:26,20,Sxxxx1753xxx,Keflavík
2023-07-15,11:08:51,5,Yxxxx2385xxx,Keflavík
2023-07-11,16:01:25,100,Pxxxx1655xxx,Mosfellsbær
2023-07-11,16:01:25,100,Sxxxx2729xxx,Mosfellsbær
2023-07-11,16:01:25,100,Sxxxx2729xxx,Mosfellsbær
2023-07-11,16:01:25,100,Sxxxx4463xxx,Mosfellsbær
2023-07-11,16:01:25,100,Sxxxx1245xxx,Mosfellsbær
2023-07-11,16:01:25,100,Sxxxx1418xxx,Mosfellsbær
2023-07-11,16:01:25,100,Sxxxx1418xxx,Mosfellsbær
2023-07-11,16:01:25,100,Sxxxx1418xxx,Mosfellsbær
2023-07-11,16:01:25,100,Sxxxx1418xxx,Mosfellsbær
2023-07-11,16:01:25,50,Sxxxx5980xxx,Mosfellsbær
2023-07-11,16:01:25,50,Xxxxx2614xxx,Mosfellsbær
2023-07-11,16:01:25,50,Sxxxx9023xxx,Mosfellsbær
2023-07-11,16:01:25,50,Zxxxx6385xxx,Mosfellsbær
2023-07-11,16:01:25,50,Xxxxx9177xxx,Mosfellsbær
2023-07-11,16:01:25,50,Xxxxx4788xxx,Mosfellsbær
2023-07-11,16:01:25,50,Pxxxx1436xxx,Mosfellsbær
2023-07-11,15:35:19,100,Sxxxx1417xxx,Mosfellsbær
2023-07-11,15:35:19,50,Zxxxx9337xxx,Mosfellsbær
2023-07-11,15:35:19,50,Sxxxx8444xxx,Mosfellsbær
2023-07-09,11:38:54,20,Uxxxx4200xxx,Keflavik
2023-07-09,11:38:54,20,Sxxxx6555xxx,Keflavik
2023-07-09,11:38:54,10,Rxxxx5868xxx,Keflavik
2023-06-28,14:50:02,5,Txxxx6054xxx,Reykjavik
2023-06-28,14:50:02,5,Yxxxx7232xxx,Reykjavik
2023-06-22,00:31:20,20,Rxxxx4708xxx,Vik
2023-06-21,10:21:26,5,Vxxxx6044xxx,Vik
2023-06-06,02:06:05,10,Yxxxx1498xxx,Skaftafell
2023-06-06,02:05:25,5,Zxxxx8394xxx,Skaftafell
2023-06-06,02:04:36,5,Nxxxx1761xxx,Skaftafell
2023-06-05,23:24:01,50,Rxxxx3530xxx,Staður
2023-06-05,23:24:01,20,Rxxxx4545xxx,Staður
2023-06-05,23:24:01,20,Rxxxx8736xxx,Staður
2023-06-05,23:24:01,20,Sxxxx6305xxx,Staður
2023-06-05,23:24:01,20,Rxxxx9191xxx,Staður
2023-06-05,23:24:01,10,Wxxxx6286xxx,Staður
2023-06-05,23:24:01,5,Sxxxx6026xxx,Staður
2023-06-05,23:24:01,5,Zxxxx3330xxx,Staður
