Date,Time,Notetype,Maskedserial,Locality
2023-09-29,11:29:28,20,Mxxxx0605xxx,Denpasar
2023-09-29,11:29:28,10,Vxxxx8718xxx,Denpasar
2023-09-08,14:45:18,50,Uxxxx7562xxx,Ubud
2023-09-08,14:45:18,20,Fxxxx2289xxx,Ubud
2023-09-08,14:45:18,10,Nxxxx4013xxx,Ubud
2023-09-08,14:45:18,10,Sxxxx0761xxx,Ubud
2023-09-08,14:41:33,20,Uxxxx7035xxx,Labuan Bajo
2023-09-08,14:40:02,20,Sxxxx5165xxx,Kuta
2023-09-05,23:08:24,50,Mxxxx0617xxx,Jakarta
2023-09-05,23:07:21,50,Zxxxx5100xxx,Jakarta
2023-09-05,23:06:19,50,Xxxxx9711xxx,Jakarta
2023-07-17,09:18:10,5,Sxxxx7331xxx,Jakarta
2023-03-15,15:26:26,20,Exxxx8629xxx,
2023-03-15,15:26:26,20,Uxxxx1346xxx,
2023-02-27,18:04:01,50,Uxxxx2610xxx,Bali
2023-02-13,15:42:52,10,Xxxxx3362xxx,Bali
2023-02-13,15:42:23,10,Exxxx9821xxx,Bali
2023-02-13,15:41:17,20,Mxxxx7402xxx,Bali
2023-02-13,15:40:42,20,Rxxxx1597xxx,Bali
2023-02-13,15:36:58,10,Wxxxx9262xxx,Bali
2023-02-13,15:36:23,10,Wxxxx9295xxx,Bali
2023-02-13,15:35:45,10,Rxxxx9608xxx,Bali
2023-02-13,15:34:42,20,Mxxxx6526xxx,Bali
2023-02-13,15:34:18,5,Sxxxx0829xxx,Bali
2023-02-09,17:48:53,10,Wxxxx9848xxx,Bali
2023-02-09,17:34:11,10,Nxxxx7597xxx,Bali
2023-02-09,17:31:39,50,Rxxxx1096xxx,Bali
2023-02-09,12:51:43,10,Wxxxx9261xxx,Bali
2023-02-08,18:37:05,20,Uxxxx4046xxx,Bali
2023-02-08,18:33:47,50,Sxxxx3488xxx,Bali
2023-02-08,18:30:15,10,Vxxxx0235xxx,Bali
2023-02-08,18:29:15,10,Wxxxx1983xxx,Bali
2023-02-08,18:24:14,20,Vxxxx1188xxx,Bali
2023-02-08,18:23:08,20,Pxxxx5052xxx,Bali
2023-02-08,18:19:42,10,Wxxxx2860xxx,Bali
2023-02-08,18:18:59,10,Pxxxx2913xxx,Bali
2023-02-08,18:17:38,50,Rxxxx3818xxx,Bali
2023-02-08,18:15:45,50,Wxxxx4568xxx,Bali
2023-02-08,14:01:10,20,Mxxxx9721xxx,Bali
2023-02-08,14:00:39,10,Wxxxx4903xxx,Bali
2023-02-08,14:00:16,10,Pxxxx0613xxx,Bali
2023-02-01,21:55:04,10,Uxxxx4465xxx,Bali
2023-02-01,21:54:20,10,Wxxxx8227xxx,Bali
2023-02-01,21:53:40,10,Pxxxx0308xxx,Bali
2023-02-01,21:52:00,10,Nxxxx1079xxx,Bali
2023-02-01,21:51:19,50,Rxxxx1135xxx,Bali
2023-02-01,21:49:18,10,Wxxxx7315xxx,Bali
2023-02-01,21:48:40,5,Nxxxx9431xxx,Bali
2023-01-31,13:46:07,10,Wxxxx3966xxx,Bali
2023-01-31,13:45:07,20,Uxxxx1415xxx,Bali
2023-01-31,13:44:28,50,Rxxxx4756xxx,Bali
2023-01-31,13:43:58,20,Mxxxx3298xxx,Bali
2023-01-29,22:31:48,10,Yxxxx1941xxx,Bali
2023-01-29,22:29:22,50,Vxxxx2288xxx,Bali
2023-01-28,22:11:25,20,Vxxxx4703xxx,Bali
