Date,Time,Notetype,Maskedserial,Locality
2023-08-27,12:46:37,200,Uxxxx8987xxx,Mashhad
2023-08-27,12:46:37,200,Uxxxx8987xxx,Mashhad
2023-08-20,18:39:49,200,Sxxxx2093xxx,Mashhad
2023-08-20,18:39:49,100,Rxxxx4149xxx,Mashhad
2023-08-20,18:39:49,100,Rxxxx0759xxx,Mashhad
2023-08-18,23:19:32,500,Nxxxx1235xxx,Mashhad
2023-08-18,23:19:32,500,Nxxxx1235xxx,Mashhad
2023-08-18,23:19:32,500,Nxxxx0074xxx,Mashhad
2023-08-18,23:19:32,50,Pxxxx9772xxx,Mashhad
2023-08-18,23:19:32,50,Pxxxx7032xxx,Mashhad
2023-08-18,23:19:32,50,Uxxxx2953xxx,Mashhad
2023-08-18,23:19:32,50,Wxxxx5601xxx,Mashhad
2023-08-18,23:19:32,50,Wxxxx0286xxx,Mashhad
2023-08-18,23:19:32,50,Pxxxx5420xxx,Mashhad
2023-08-18,23:19:32,50,Uxxxx3498xxx,Mashhad
2023-08-18,23:12:24,50,Rxxxx5380xxx,Mashhad
2023-08-18,23:11:48,50,Vxxxx5879xxx,Mashhad
2023-08-12,12:56:30,5,Wxxxx3583xxx,Mashhad
2023-08-12,12:55:18,5,Wxxxx0162xxx,Mashhad
