Date,Time,Notetype,Maskedserial,Locality
2023-10-14,03:30:27,500,Nxxxx5590xxx,Shoham
2023-09-30,08:27:10,100,Sxxxx7749xxx,Tel aviv
2023-08-09,09:03:41,50,Pxxxx6628xxx,Tel Aviv
2023-07-21,21:04:45,10,Fxxxx2242xxx,נמל תעופה בן גוריון
2023-07-21,21:04:45,10,Wxxxx1912xxx,נמל תעופה בן גוריון
2023-07-21,21:04:45,5,Mxxxx3319xxx,נמל תעופה בן גוריון
2023-07-21,21:04:45,5,Mxxxx7995xxx,נמל תעופה בן גוריון
2023-05-20,22:47:58,50,Xxxxx9171xxx,ירושלים
2023-05-20,22:47:58,5,Uxxxx7332xxx,ירושלים
2023-05-20,22:34:18,50,Zxxxx8825xxx,ירושלים
2023-05-20,22:31:23,50,Xxxxx4027xxx,ירושלים
2023-05-20,22:25:42,50,Xxxxx6118xxx,ירושלים
2023-05-20,22:25:42,5,Pxxxx4847xxx,ירושלים
2023-05-20,22:25:42,500,Zxxxx1640xxx,ירושלים
2023-05-19,22:21:06,50,Zxxxx0189xxx,ירושלים
2023-05-19,22:21:06,50,Xxxxx9235xxx,ירושלים
2023-05-19,22:21:06,10,Xxxxx6248xxx,ירושלים
2023-05-19,22:21:06,50,Sxxxx6374xxx,ירושלים
2023-05-19,22:21:06,20,Mxxxx0179xxx,ירושלים
2023-05-18,22:30:09,50,Zxxxx0539xxx,ירושלים
2023-05-18,22:30:09,20,Uxxxx8675xxx,ירושלים
2023-05-18,22:26:51,10,Uxxxx1564xxx,ירושלים
2023-05-18,22:26:51,20,Uxxxx5487xxx,ירושלים
2023-05-05,17:52:36,5,Nxxxx6006xxx,Haifa
2023-05-05,17:52:36,5,Yxxxx9385xxx,Haifa
2023-05-05,17:52:36,5,Zxxxx8276xxx,Haifa
2023-05-05,17:52:36,5,Yxxxx8840xxx,Haifa
2023-04-03,22:15:30,50,Exxxx0277xxx,Avshalom
2023-04-03,22:15:30,50,Uxxxx8541xxx,Avshalom
2023-04-03,22:15:30,5,Yxxxx7321xxx,Avshalom
2023-04-03,22:15:30,10,Fxxxx0570xxx,Avshalom
2023-04-03,22:15:30,10,Fxxxx3551xxx,Avshalom
2023-04-03,22:09:08,50,Rxxxx6052xxx,Tel Aviv
2023-04-03,22:07:58,50,Vxxxx8407xxx,Tel Aviv
2023-04-03,22:07:58,50,Vxxxx8407xxx,Tel Aviv
2023-04-03,22:07:58,50,Vxxxx8407xxx,Tel Aviv
2023-04-03,22:07:58,50,Vxxxx8407xxx,Tel Aviv
2023-04-03,22:07:58,50,Vxxxx8407xxx,Tel Aviv
2023-04-03,22:07:58,50,Vxxxx8407xxx,Tel Aviv
2023-04-03,22:07:58,50,Vxxxx8407xxx,Tel Aviv
2023-04-03,22:07:58,50,Vxxxx8407xxx,Tel Aviv
2023-04-03,22:07:58,50,Vxxxx8407xxx,Tel Aviv
2023-03-02,15:04:45,50,Wxxxx6787xxx,Herzliya
2023-02-17,14:37:18,10,Uxxxx4158xxx,
2023-02-17,14:37:18,20,Uxxxx5094xxx,
2023-02-17,14:34:11,50,Sxxxx2474xxx,
2023-02-17,14:34:11,50,Uxxxx3927xxx,
2023-02-17,14:34:11,50,Sxxxx9243xxx,
2023-02-17,14:34:11,50,Sxxxx0556xxx,
2023-02-17,14:34:11,50,Sxxxx2605xxx,
2023-02-17,14:34:11,50,Sxxxx7085xxx,
2023-02-17,14:34:11,50,Rxxxx1425xxx,
2023-02-17,14:34:11,50,Uxxxx7873xxx,
2023-02-17,14:34:11,50,Xxxxx4491xxx,
2023-02-17,14:34:11,50,Zxxxx3081xxx,
2023-02-17,14:34:11,50,Uxxxx5680xxx,
2023-02-17,14:34:11,50,Uxxxx0026xxx,
2023-02-17,14:34:11,50,Uxxxx5676xxx,
2023-02-17,14:34:11,50,Uxxxx7685xxx,
2023-02-17,14:34:11,50,Uxxxx0026xxx,
2023-02-17,14:34:11,50,Sxxxx1250xxx,
2023-02-17,14:34:11,100,Exxxx0009xxx,
2023-02-17,14:34:11,100,Sxxxx8065xxx,
2023-02-17,14:34:11,100,Exxxx3916xxx,
2023-02-17,14:34:11,100,Uxxxx3704xxx,
2023-02-17,14:34:11,100,Exxxx9260xxx,
2023-02-17,14:34:11,100,Exxxx9883xxx,
2023-02-17,14:34:11,100,Uxxxx0800xxx,
2023-02-17,14:34:11,100,Uxxxx7811xxx,
2023-02-17,14:34:11,200,Exxxx7604xxx,
2023-02-10,09:18:50,50,Uxxxx0490xxx,Jérusalem
2023-02-10,09:17:59,50,Uxxxx1953xxx,Jérusalem
2023-02-10,09:14:15,50,Uxxxx8677xxx,Jérusalem
2023-02-06,12:06:21,100,Uxxxx7676xxx,Tel Aviv
2023-02-06,12:06:21,100,Rxxxx2559xxx,Tel Aviv
2023-02-06,12:06:21,100,Exxxx6991xxx,Tel Aviv
2023-02-06,12:06:21,50,Sxxxx3383xxx,Tel Aviv
2023-02-06,12:06:21,50,Uxxxx0191xxx,Tel Aviv
2023-02-06,12:02:05,50,Vxxxx4030xxx,Tel Aviv
