Date,Time,Notetype,Maskedserial,Locality
2023-12-30,05:10:36,20,Exxxx5526xxx,Pellestrina
2023-12-30,05:10:36,20,Sxxxx6184xxx,Pellestrina
2023-12-30,03:59:54,50,Rxxxx5053xxx,Collecchio
2023-12-30,01:50:17,10,Exxxx3997xxx,Bari
2023-12-30,01:20:48,50,Sxxxx2022xxx,Campagna Lupia
2023-12-30,01:18:26,50,Sxxxx8694xxx,Campagna Lupia
2023-12-30,01:18:26,50,Sxxxx0585xxx,Campagna Lupia
2023-12-30,01:18:26,50,Pxxxx1717xxx,Campagna Lupia
2023-12-30,01:16:16,50,Xxxxx5462xxx,Campagna Lupia
2023-12-30,01:16:16,50,Sxxxx1055xxx,Campagna Lupia
2023-12-30,00:54:03,20,Uxxxx1854xxx,
2023-12-30,00:54:02,20,Sxxxx6085xxx,
2023-12-30,00:37:26,5,Nxxxx4479xxx,Torino
2023-12-30,00:37:26,20,Uxxxx4933xxx,Torino
2023-12-30,00:05:50,5,Nxxxx5924xxx,Montegrotto terme
2023-12-30,00:05:50,20,Sxxxx2159xxx,Montegrotto terme
2023-12-30,00:05:50,20,Fxxxx2465xxx,Montegrotto terme
2023-12-30,00:04:58,20,Sxxxx4007xxx,Bergamo
2023-12-30,00:04:56,20,Uxxxx5528xxx,Bergamo
2023-12-30,00:03:49,20,Exxxx3339xxx,Fossalta Di Piave
2023-12-29,23:33:04,10,Wxxxx7764xxx,Fucecchio
2023-12-29,23:26:01,5,Nxxxx6055xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx2912xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx5411xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx1262xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx1003xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx2120xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx6667xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx0435xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx3339xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx1286xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx2927xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx2955xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx1028xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx2464xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx2929xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx2253xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx3561xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx3078xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx5964xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx1973xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx6817xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx1075xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx5466xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx1425xxx,Argenta
2023-12-29,23:26:01,5,Nxxxx3124xxx,Argenta
2023-12-29,23:18:05,20,Fxxxx8485xxx,
2023-12-29,22:59:35,20,Rxxxx3676xxx,Carpi
2023-12-29,22:59:35,20,Wxxxx1021xxx,Carpi
2023-12-29,22:59:35,20,Exxxx3403xxx,Carpi
2023-12-29,22:59:35,20,Sxxxx7319xxx,Carpi
2023-12-29,22:48:19,50,Sxxxx6417xxx,Fano
