Date,Time,Notetype,Maskedserial,Locality
2023-08-22,17:13:13,10,Rxxxx9431xxx,Watamu
2023-08-22,17:13:13,10,Wxxxx3395xxx,Watamu
2023-08-22,17:13:13,50,Sxxxx0419xxx,Watamu
2023-08-22,17:13:13,20,Sxxxx1278xxx,Watamu
2023-08-22,17:13:13,50,Sxxxx7881xxx,Watamu
2023-08-22,17:13:13,50,Vxxxx3899xxx,Watamu
2023-08-22,17:13:13,5,Mxxxx2667xxx,Watamu
2023-08-22,17:13:13,50,Sxxxx5084xxx,Watamu
2023-08-22,17:13:13,50,Wxxxx3230xxx,Watamu
2023-08-22,17:13:13,50,Wxxxx3146xxx,Watamu
2023-08-22,17:13:13,10,Rxxxx3687xxx,Watamu
2023-08-22,17:09:24,20,Sxxxx3402xxx,Watamu
2023-08-22,17:09:24,20,Sxxxx3418xxx,Watamu
2023-08-22,17:09:24,20,Sxxxx8633xxx,Watamu
2023-08-22,17:09:24,10,Nxxxx6343xxx,Watamu
2023-01-10,15:27:58,20,Uxxxx3687xxx,Nairobi
2023-01-10,15:27:58,20,Wxxxx6796xxx,Nairobi
2023-01-10,15:27:58,20,Zxxxx7832xxx,Nairobi
