Date,Time,Notetype,Maskedserial,Locality
2023-12-29,22:17:49,5,Mxxxx3839xxx,Rīga
2023-12-29,21:20:37,10,Vxxxx1351xxx,Rīga
2023-12-29,18:21:39,5,Nxxxx0439xxx,Rīga
2023-12-29,18:21:39,10,Yxxxx7340xxx,Rīga
2023-12-29,18:21:39,10,Rxxxx6420xxx,Rīga
2023-12-29,18:21:39,20,Exxxx8430xxx,Rīga
2023-12-29,16:34:58,5,Mxxxx7820xxx,Riga
2023-12-29,14:30:13,50,Uxxxx8118xxx,Riga
2023-12-29,12:59:09,5,Nxxxx9276xxx,Riga
2023-12-29,12:59:09,10,Wxxxx2079xxx,Riga
2023-12-29,12:59:09,10,Rxxxx7012xxx,Riga
2023-12-29,12:45:51,5,Vxxxx3776xxx,Rīga
2023-12-29,12:45:51,10,Wxxxx0942xxx,Rīga
2023-12-29,12:45:51,10,Wxxxx8016xxx,Rīga
2023-12-29,12:45:51,10,Wxxxx6870xxx,Rīga
2023-12-29,12:45:51,10,Wxxxx2476xxx,Rīga
2023-12-29,12:45:51,20,Sxxxx1196xxx,Rīga
2023-12-29,12:45:51,50,Zxxxx5570xxx,Rīga
2023-12-29,12:45:51,50,Uxxxx4960xxx,Rīga
2023-12-29,12:45:51,50,Rxxxx1733xxx,Rīga
2023-12-29,12:45:51,50,Rxxxx4451xxx,Rīga
2023-12-29,12:40:40,10,Fxxxx8821xxx,Riga
2023-12-29,12:40:40,10,Exxxx0747xxx,Riga
2023-12-29,12:40:40,10,Yxxxx9546xxx,Riga
2023-12-29,12:40:40,10,Rxxxx3000xxx,Riga
2023-12-29,12:40:40,10,Yxxxx9435xxx,Riga
2023-12-29,10:49:09,50,Uxxxx4584xxx,Liepāja
2023-12-29,10:49:09,50,Pxxxx6973xxx,Liepāja
2023-12-29,10:49:09,50,Uxxxx1236xxx,Liepāja
2023-12-29,10:49:09,50,Uxxxx0653xxx,Liepāja
2023-12-29,10:49:09,50,Uxxxx0653xxx,Liepāja
2023-12-29,10:45:50,50,Wxxxx0768xxx,Liepāja
2023-12-29,10:45:50,50,Uxxxx0653xxx,Liepāja
2023-12-29,10:45:50,50,Wxxxx9695xxx,Liepāja
2023-12-29,10:45:50,50,Uxxxx0653xxx,Liepāja
2023-12-29,10:45:50,50,Rxxxx3529xxx,Liepāja
2023-12-29,10:45:50,50,Rxxxx2683xxx,Liepāja
2023-12-29,10:41:47,50,Vxxxx6603xxx,Liepāja
2023-12-29,10:41:47,50,Vxxxx6594xxx,Liepāja
2023-12-29,10:41:47,50,Rxxxx9032xxx,Liepāja
2023-12-29,10:41:47,50,Vxxxx3584xxx,Liepāja
2023-12-29,10:41:47,50,Sxxxx9901xxx,Liepāja
2023-12-29,10:41:47,50,Mxxxx1588xxx,Liepāja
2023-12-29,10:36:47,20,Mxxxx0048xxx,Liepāja
2023-12-29,10:36:47,10,Txxxx7087xxx,Liepāja
2023-12-29,10:36:47,5,Vxxxx2092xxx,Liepāja
2023-12-29,10:26:28,20,Uxxxx7868xxx,Carnikava
2023-12-29,10:25:30,10,Uxxxx6075xxx,Carnikava
2023-12-29,10:10:14,5,Mxxxx2812xxx,Rīga
2023-12-29,10:10:14,5,Mxxxx2812xxx,Rīga
2023-12-29,10:10:14,5,Mxxxx2812xxx,Rīga
2023-12-29,10:10:14,5,Mxxxx2812xxx,Rīga
2023-12-29,10:10:14,5,Mxxxx2812xxx,Rīga
2023-12-29,10:10:14,5,Mxxxx2812xxx,Rīga
2023-12-29,10:10:14,5,Mxxxx2812xxx,Rīga
2023-12-29,10:10:14,5,Mxxxx2812xxx,Rīga
2023-12-29,02:59:59,20,Sxxxx0560xxx,Rīga
2023-12-29,02:59:59,20,Rxxxx1323xxx,Rīga
2023-12-29,02:59:59,20,Uxxxx2877xxx,Rīga
2023-12-29,02:59:59,50,Uxxxx5588xxx,Rīga
2023-12-29,02:59:59,50,Exxxx5104xxx,Rīga
2023-12-28,20:02:19,5,Nxxxx1071xxx,Riga
2023-12-28,20:01:28,5,Sxxxx4544xxx,Riga
2023-12-28,20:00:38,5,Vxxxx4985xxx,Riga
2023-12-28,19:59:34,5,Vxxxx4687xxx,Riga
2023-12-28,16:58:20,5,Mxxxx7989xxx,Rīga
2023-12-28,16:22:21,20,Uxxxx3013xxx,Rīga
2023-12-28,16:22:21,20,Mxxxx5029xxx,Rīga
2023-12-28,16:20:46,5,Mxxxx8147xxx,Rīga
2023-12-28,14:11:42,50,Wxxxx8471xxx,Ventspils
2023-12-28,14:11:42,50,Uxxxx0887xxx,Ventspils
2023-12-28,14:11:42,50,Exxxx5087xxx,Ventspils
2023-12-28,14:11:42,50,Rxxxx8964xxx,Ventspils
2023-12-28,14:11:42,50,Rxxxx5305xxx,Ventspils
2023-12-28,14:11:42,50,Uxxxx0891xxx,Ventspils
2023-12-28,14:11:42,50,Pxxxx8777xxx,Ventspils
2023-12-28,14:11:42,50,Sxxxx9671xxx,Ventspils
2023-12-28,14:11:42,50,Rxxxx6004xxx,Ventspils
2023-12-28,14:11:42,50,Rxxxx9149xxx,Ventspils
2023-12-28,14:11:42,50,Rxxxx0125xxx,Ventspils
2023-12-28,14:05:25,50,Rxxxx6112xxx,Ventspils
2023-12-28,14:05:25,50,Sxxxx6219xxx,Ventspils
2023-12-28,14:05:25,50,Exxxx4578xxx,Ventspils
2023-12-28,14:05:25,50,Uxxxx0631xxx,Ventspils
2023-12-28,14:05:25,50,Rxxxx1306xxx,Ventspils
2023-12-28,14:05:25,50,Uxxxx0631xxx,Ventspils
2023-12-28,14:05:25,50,Sxxxx4162xxx,Ventspils
2023-12-28,14:05:25,50,Uxxxx0631xxx,Ventspils
2023-12-28,14:05:25,50,Uxxxx0631xxx,Ventspils
2023-12-28,14:05:25,50,Vxxxx0298xxx,Ventspils
2023-12-28,14:05:25,50,Uxxxx0631xxx,Ventspils
2023-12-28,14:05:25,50,Uxxxx0631xxx,Ventspils
2023-12-28,14:05:25,50,Uxxxx8879xxx,Ventspils
2023-12-28,14:05:25,50,Vxxxx9286xxx,Ventspils
2023-12-28,14:05:25,50,Uxxxx0631xxx,Ventspils
2023-12-28,14:05:25,50,Exxxx8924xxx,Ventspils
2023-12-28,14:05:25,50,Uxxxx0631xxx,Ventspils
2023-12-28,14:05:25,50,Uxxxx0631xxx,Ventspils
2023-12-28,14:05:25,50,Uxxxx0631xxx,Ventspils
2023-12-28,14:05:25,50,Exxxx7522xxx,Ventspils
2023-12-28,14:05:25,50,Uxxxx7635xxx,Ventspils
2023-12-28,14:05:25,50,Uxxxx7750xxx,Ventspils
2023-12-28,14:05:25,50,Pxxxx9669xxx,Ventspils
2023-12-28,14:05:25,50,Sxxxx9664xxx,Ventspils
2023-12-28,14:05:25,50,Rxxxx3902xxx,Ventspils
2023-12-28,13:58:58,50,Mxxxx5792xxx,Riga
2023-12-28,13:58:58,50,Uxxxx1221xxx,Riga
2023-12-28,13:58:58,10,Vxxxx6896xxx,Riga
2023-12-27,23:52:39,5,Mxxxx3657xxx,Riga
2023-12-27,23:52:39,20,Sxxxx1658xxx,Riga
2023-12-27,21:46:01,10,Yxxxx4436xxx,Rīga
2023-12-27,21:46:01,20,Rxxxx9786xxx,Rīga
2023-12-27,21:46:01,20,Sxxxx4527xxx,Rīga
2023-12-27,21:46:01,50,Uxxxx0286xxx,Rīga
2023-12-27,21:41:08,20,Exxxx1513xxx,Riga
2023-12-27,21:35:41,5,Vxxxx7269xxx,Talsi
2023-12-27,21:35:41,10,Rxxxx4497xxx,Talsi
2023-12-27,21:35:41,20,Exxxx1441xxx,Talsi
2023-12-27,21:34:09,50,Rxxxx4115xxx,Riga
2023-12-27,21:34:09,50,Mxxxx4764xxx,Riga
2023-12-27,21:28:42,50,Pxxxx9464xxx,Riga
2023-12-27,21:11:51,50,Pxxxx7886xxx,Riga
2023-12-27,18:19:53,50,Uxxxx6128xxx,Riga
2023-12-27,18:19:53,50,Wxxxx9316xxx,Riga
2023-12-27,18:19:53,50,Pxxxx4328xxx,Riga
2023-12-27,18:19:53,50,Wxxxx8574xxx,Riga
2023-12-27,18:19:53,50,Uxxxx2017xxx,Riga
2023-12-27,18:19:53,50,Uxxxx9268xxx,Riga
2023-12-27,18:19:53,50,Pxxxx2984xxx,Riga
2023-12-27,18:19:53,20,Uxxxx5241xxx,Riga
2023-12-27,18:19:53,20,Uxxxx1192xxx,Riga
2023-12-27,18:19:53,20,Sxxxx1115xxx,Riga
2023-12-27,18:19:53,20,Exxxx9579xxx,Riga
2023-12-27,18:19:53,20,Sxxxx0445xxx,Riga
2023-12-27,18:19:53,20,Uxxxx8329xxx,Riga
2023-12-27,18:19:53,20,Uxxxx4315xxx,Riga
2023-12-27,18:19:53,20,Uxxxx8918xxx,Riga
2023-12-27,18:19:53,20,Sxxxx0687xxx,Riga
2023-12-27,18:19:53,20,Exxxx0320xxx,Riga
2023-12-27,18:19:53,10,Wxxxx0724xxx,Riga
2023-12-27,18:19:53,10,Wxxxx3477xxx,Riga
2023-12-27,18:11:50,5,Yxxxx3138xxx,Riga
2023-12-27,17:41:16,10,Yxxxx8450xxx,Rīga
2023-12-27,17:41:16,10,Wxxxx0604xxx,Rīga
2023-12-27,17:41:16,10,Wxxxx3226xxx,Rīga
2023-12-27,17:41:16,10,Vxxxx3865xxx,Rīga
2023-12-27,17:21:53,10,Vxxxx6892xxx,Rīga
2023-12-27,17:21:53,10,Pxxxx9353xxx,Rīga
2023-12-27,17:21:53,10,Wxxxx5719xxx,Rīga
2023-12-27,17:10:33,5,Yxxxx0531xxx,Rīga
2023-12-27,17:10:33,10,Wxxxx5614xxx,Rīga
2023-12-27,17:10:33,10,Wxxxx1163xxx,Rīga
2023-12-27,17:10:33,20,Sxxxx6991xxx,Rīga
2023-12-27,13:30:09,50,Uxxxx3449xxx,Ventspils
2023-12-27,13:30:09,50,Uxxxx1503xxx,Ventspils
2023-12-27,08:29:34,10,Nxxxx2716xxx,Smiltene
2023-12-27,08:29:34,10,Wxxxx3833xxx,Smiltene
2023-12-27,08:29:34,10,Exxxx5737xxx,Smiltene
2023-12-27,08:29:34,10,Wxxxx6416xxx,Smiltene
2023-12-27,08:26:38,5,Mxxxx8055xxx,Smiltene
2023-12-27,08:26:38,5,Vxxxx8808xxx,Smiltene
2023-12-27,08:26:38,5,Yxxxx3882xxx,Smiltene
2023-12-27,08:26:38,5,Yxxxx2729xxx,Smiltene
2023-12-27,08:26:38,5,Nxxxx8124xxx,Smiltene
2023-12-27,08:26:38,5,Uxxxx1332xxx,Smiltene
2023-12-26,23:29:15,5,Nxxxx1405xxx,Rīga
2023-12-26,23:29:15,10,Wxxxx0273xxx,Rīga
2023-12-26,23:29:15,10,Rxxxx9614xxx,Rīga
2023-12-26,23:29:15,20,Uxxxx4652xxx,Rīga
2023-12-26,23:29:15,20,Exxxx8213xxx,Rīga
2023-12-26,23:29:15,20,Exxxx9645xxx,Rīga
2023-12-26,23:29:15,20,Exxxx8069xxx,Rīga
2023-12-26,23:29:15,50,Exxxx6232xxx,Rīga
2023-12-26,23:29:15,50,Pxxxx2937xxx,Rīga
2023-12-26,18:25:10,20,Exxxx6403xxx,Riga
2023-12-26,18:25:10,20,Nxxxx4980xxx,Riga
2023-12-26,18:23:20,20,Sxxxx9832xxx,Riga
2023-12-26,18:23:20,20,Exxxx4967xxx,Riga
2023-12-26,18:23:20,10,Wxxxx6476xxx,Riga
2023-12-26,18:23:20,5,Sxxxx5079xxx,Riga
2023-12-26,18:06:55,5,Vxxxx0839xxx,Riga
2023-12-26,18:05:02,10,Exxxx3000xxx,Talsi
2023-12-26,18:05:02,20,Mxxxx1998xxx,Talsi
2023-12-26,18:05:02,50,Uxxxx2697xxx,Talsi
2023-12-26,18:02:16,10,Rxxxx9078xxx,Rīga
2023-12-26,18:02:16,20,Uxxxx9468xxx,Rīga
2023-12-26,18:02:16,5,Mxxxx0202xxx,Rīga
2023-12-26,18:02:16,10,Rxxxx3957xxx,Rīga
2023-12-26,18:02:16,10,Yxxxx2172xxx,Rīga
2023-12-26,17:57:13,20,Exxxx3675xxx,Rīga
2023-12-26,17:57:13,5,Mxxxx7090xxx,Rīga
2023-12-26,16:46:49,20,Exxxx8002xxx,Riga
2023-12-26,15:13:02,5,Vxxxx1993xxx,Skrunda
2023-12-26,14:37:11,50,Wxxxx6950xxx,Riga
2023-12-26,12:59:27,50,Uxxxx5906xxx,Liepāja
2023-12-26,12:59:27,50,Pxxxx8794xxx,Liepāja
2023-12-26,12:59:27,50,Uxxxx7405xxx,Liepāja
2023-12-26,12:59:27,50,Zxxxx4727xxx,Liepāja
2023-12-26,12:57:21,50,Uxxxx9338xxx,Liepāja
2023-12-26,12:57:21,50,Uxxxx9481xxx,Liepāja
2023-12-26,12:57:21,50,Uxxxx9220xxx,Liepāja
