Date,Time,Notetype,Maskedserial,Locality
2023-12-21,10:11:45,5,Uxxxx7449xxx,Bendern
2023-12-21,10:11:45,10,Wxxxx5751xxx,Bendern
2023-12-21,10:11:44,10,Wxxxx5751xxx,Bendern
2023-12-21,10:11:44,10,Wxxxx5751xxx,Bendern
2023-12-21,10:11:44,10,Wxxxx5751xxx,Bendern
2023-12-04,12:12:07,50,Rxxxx1761xxx,Schaan
2023-11-27,09:20:55,10,Vxxxx0733xxx,Bendern
2023-11-27,09:20:55,10,Sxxxx3928xxx,Bendern
2023-11-27,09:20:55,10,Wxxxx0534xxx,Bendern
2023-11-27,09:20:55,20,Uxxxx4676xxx,Bendern
2023-11-27,09:20:55,20,Uxxxx8476xxx,Bendern
2023-11-27,09:20:55,50,Vxxxx6727xxx,Bendern
2023-11-13,15:07:11,100,Exxxx8214xxx,Bendern
2023-11-13,15:07:11,50,Uxxxx7835xxx,Bendern
2023-11-13,15:07:11,20,Exxxx4784xxx,Bendern
2023-11-13,15:07:11,5,Nxxxx1070xxx,Bendern
2023-11-13,15:07:11,5,Txxxx8448xxx,Bendern
2023-10-30,10:14:40,20,Fxxxx7824xxx,Bendern
2023-10-24,16:03:07,20,Uxxxx6860xxx,Bendern
2023-10-24,16:03:07,20,Uxxxx8462xxx,Bendern
2023-10-24,16:03:07,100,Exxxx2294xxx,Bendern
2023-10-24,16:01:33,100,Exxxx1886xxx,Nendeln
2023-10-24,16:01:33,100,Exxxx9215xxx,Nendeln
2023-10-13,12:56:12,50,Rxxxx5233xxx,Bendern
2023-10-13,12:56:12,20,Exxxx8481xxx,Bendern
2023-10-13,12:56:12,20,Uxxxx4163xxx,Bendern
2023-09-24,08:11:37,10,Wxxxx3734xxx,Vaduz
2023-09-23,11:15:33,5,Vxxxx2682xxx,Vaduz
2023-09-23,11:01:39,5,Nxxxx8760xxx,Vaduz
2023-09-19,17:49:12,5,Mxxxx4613xxx,Mauren
2023-09-19,17:48:56,5,Mxxxx4613xxx,Mauren
2023-09-19,17:48:39,5,Mxxxx4613xxx,Mauren
2023-09-19,17:48:27,5,Mxxxx4613xxx,Mauren
2023-09-19,17:48:13,5,Mxxxx4613xxx,Mauren
2023-09-19,17:47:57,5,Mxxxx4613xxx,Mauren
2023-09-19,17:47:40,5,Mxxxx4613xxx,Mauren
2023-09-19,17:47:29,5,Mxxxx4613xxx,Mauren
2023-09-19,17:47:16,5,Mxxxx4613xxx,Mauren
2023-09-19,17:47:04,5,Mxxxx4613xxx,Mauren
2023-09-19,17:46:51,5,Mxxxx4613xxx,Mauren
2023-09-19,17:46:38,5,Mxxxx4613xxx,Mauren
2023-09-19,17:46:26,5,Mxxxx4613xxx,Mauren
2023-09-19,17:46:12,5,Mxxxx4613xxx,Mauren
2023-09-19,17:44:43,5,Mxxxx4613xxx,Mauren
2023-09-19,17:44:30,5,Mxxxx4613xxx,Mauren
2023-09-19,17:44:14,5,Mxxxx4613xxx,Mauren
2023-09-19,17:44:01,5,Mxxxx4613xxx,Mauren
2023-09-19,17:43:46,5,Mxxxx4613xxx,Mauren
2023-09-19,17:43:32,5,Mxxxx4613xxx,Mauren
2023-09-19,17:43:20,5,Mxxxx4613xxx,Mauren
2023-09-19,17:43:06,5,Mxxxx4613xxx,Mauren
2023-09-19,17:42:52,5,Mxxxx4613xxx,Mauren
2023-09-19,17:42:40,5,Mxxxx4613xxx,Mauren
2023-09-19,17:42:20,5,Mxxxx4613xxx,Mauren
2023-09-19,17:42:07,5,Mxxxx4613xxx,Mauren
2023-09-19,17:41:53,5,Mxxxx4613xxx,Mauren
2023-09-19,17:41:39,5,Mxxxx4613xxx,Mauren
2023-09-19,17:41:21,5,Mxxxx4613xxx,Mauren
2023-09-19,17:41:05,5,Mxxxx4613xxx,Mauren
2023-09-19,15:55:49,5,Yxxxx2683xxx,Triesen
2023-09-19,15:55:33,5,Zxxxx1968xxx,Triesen
2023-09-19,15:55:16,5,Mxxxx0501xxx,Triesen
2023-09-19,15:54:58,5,Vxxxx1132xxx,Triesen
2023-09-19,15:54:35,5,Yxxxx6520xxx,Triesen
2023-09-19,15:54:16,5,Vxxxx6221xxx,Triesen
2023-09-19,15:53:57,5,Zxxxx9359xxx,Triesen
2023-09-19,15:53:39,5,Wxxxx0719xxx,Triesen
2023-09-19,15:53:21,5,Wxxxx0713xxx,Triesen
2023-09-19,15:53:03,5,Wxxxx2365xxx,Triesen
2023-09-19,15:52:45,5,Uxxxx5655xxx,Triesen
2023-09-19,15:52:24,5,Uxxxx1652xxx,Triesen
2023-09-19,15:52:03,5,Vxxxx3853xxx,Triesen
2023-09-19,15:51:42,5,Wxxxx3651xxx,Triesen
2023-09-19,15:43:30,5,Mxxxx0837xxx,Balzers
2023-09-19,15:43:12,5,Mxxxx0837xxx,Balzers
2023-09-19,15:42:58,5,Mxxxx5837xxx,Balzers
2023-09-19,15:42:45,5,Mxxxx5837xxx,Balzers
2023-09-19,15:42:25,5,Mxxxx5837xxx,Balzers
2023-09-19,15:42:11,5,Mxxxx5837xxx,Balzers
2023-09-19,15:41:56,5,Mxxxx5837xxx,Balzers
2023-09-19,15:41:41,5,Mxxxx5837xxx,Balzers
2023-09-19,15:41:27,5,Mxxxx5837xxx,Balzers
2023-09-19,15:41:11,5,Mxxxx5837xxx,Balzers
2023-09-19,15:40:56,5,Mxxxx5837xxx,Balzers
2023-09-19,15:38:58,5,Uxxxx7400xxx,Balzers
2023-09-19,15:38:42,5,Uxxxx7400xxx,Balzers
2023-09-19,15:38:28,5,Uxxxx7400xxx,Balzers
2023-09-19,15:38:13,5,Uxxxx7400xxx,Balzers
2023-09-19,15:37:59,5,Uxxxx7400xxx,Balzers
2023-09-19,15:37:45,5,Uxxxx7400xxx,Balzers
2023-09-19,15:37:31,5,Uxxxx7400xxx,Balzers
2023-09-19,15:37:17,5,Uxxxx7400xxx,Balzers
2023-09-19,15:37:04,5,Uxxxx7400xxx,Balzers
2023-09-19,15:36:48,5,Uxxxx7400xxx,Balzers
2023-09-19,15:36:32,5,Uxxxx7400xxx,Balzers
2023-09-19,15:36:18,5,Uxxxx7400xxx,Balzers
2023-09-19,15:36:02,5,Uxxxx7400xxx,Balzers
2023-09-19,15:35:47,5,Uxxxx7400xxx,Balzers
2023-09-19,15:35:32,5,Uxxxx7400xxx,Balzers
2023-09-19,15:35:18,5,Uxxxx7400xxx,Balzers
2023-09-19,15:35:05,5,Uxxxx7400xxx,Balzers
2023-09-19,15:34:48,5,Uxxxx7400xxx,Balzers
2023-09-19,15:34:33,5,Uxxxx7400xxx,Balzers
2023-09-19,15:34:17,5,Uxxxx7400xxx,Balzers
2023-09-19,15:34:02,5,Uxxxx7400xxx,Balzers
2023-09-19,15:33:44,5,Uxxxx7400xxx,Balzers
2023-09-19,15:33:29,5,Uxxxx7400xxx,Balzers
2023-09-19,15:33:14,5,Uxxxx7400xxx,Balzers
2023-09-19,15:32:58,5,Uxxxx7400xxx,Balzers
2023-09-19,15:32:42,5,Uxxxx7400xxx,Balzers
2023-09-19,15:32:27,5,Uxxxx7400xxx,Balzers
2023-09-19,15:32:11,5,Uxxxx7400xxx,Balzers
2023-09-19,15:31:56,5,Uxxxx7400xxx,Balzers
2023-09-19,15:31:37,5,Uxxxx7400xxx,Balzers
2023-09-19,15:31:21,5,Uxxxx7400xxx,Balzers
2023-09-19,15:31:04,5,Uxxxx7400xxx,Balzers
2023-09-19,15:30:46,5,Uxxxx7400xxx,Balzers
2023-09-19,15:30:29,5,Uxxxx7400xxx,Balzers
2023-09-19,15:30:10,5,Uxxxx7400xxx,Balzers
2023-09-13,14:20:52,50,Exxxx9522xxx,Bendern
2023-08-31,10:44:58,50,Sxxxx7092xxx,Bendern
2023-08-07,09:20:47,100,Exxxx2738xxx,Triesen
2023-08-07,09:20:47,100,Exxxx8794xxx,Triesen
2023-08-07,09:12:15,10,Wxxxx7613xxx,Bendern
2023-08-07,09:12:15,10,Vxxxx0572xxx,Bendern
2023-08-07,09:12:15,5,Vxxxx6639xxx,Bendern
2023-07-31,09:19:31,50,Uxxxx4403xxx,Bendern
2023-07-28,13:55:37,5,Zxxxx3177xxx,Vaduz
2023-07-28,13:36:20,5,Nxxxx8058xxx,Vaduz
2023-07-24,09:57:28,100,Exxxx9366xxx,Bendern
2023-07-24,09:57:28,100,Exxxx1556xxx,Bendern
2023-07-24,08:10:31,10,Nxxxx0088xxx,Vaduz
2023-07-24,08:10:31,10,Pxxxx5280xxx,Vaduz
2023-07-24,08:10:31,10,Fxxxx4903xxx,Vaduz
2023-07-17,13:08:50,20,Wxxxx5610xxx,Bendern
2023-07-17,13:08:50,20,Mxxxx5933xxx,Bendern
2023-07-07,14:55:45,200,Exxxx8557xxx,Vaduz
2023-07-07,14:55:45,200,Exxxx8557xxx,Vaduz
2023-07-07,14:55:45,200,Exxxx8557xxx,Vaduz
2023-07-07,14:55:45,200,Exxxx8557xxx,Vaduz
2023-07-07,14:55:45,200,Exxxx8557xxx,Vaduz
2023-07-07,14:55:45,200,Exxxx8557xxx,Vaduz
2023-07-07,14:55:45,200,Exxxx8557xxx,Vaduz
2023-07-07,14:55:45,200,Exxxx8557xxx,Vaduz
2023-07-07,14:55:45,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,14:49:32,200,Exxxx8557xxx,Vaduz
2023-07-07,11:42:06,10,Fxxxx9918xxx,Bendern
2023-07-07,11:42:06,5,Nxxxx2851xxx,Bendern
2023-07-07,11:42:06,5,Vxxxx0911xxx,Bendern
2023-07-07,11:42:06,5,Txxxx6860xxx,Bendern
2023-07-05,08:55:55,5,Uxxxx9087xxx,Bendern
2023-07-05,08:55:55,50,Sxxxx8657xxx,Bendern
2023-07-03,08:50:52,100,Exxxx5357xxx,Schaanwald
2023-07-03,08:50:51,100,Exxxx0345xxx,Schaanwald
2023-06-30,10:49:41,200,Exxxx8557xxx,Vaduz
2023-06-30,10:49:41,200,Exxxx8557xxx,Vaduz
2023-06-30,10:49:41,200,Exxxx8557xxx,Vaduz
2023-06-30,10:49:41,200,Exxxx8557xxx,Vaduz
2023-06-30,10:49:41,200,Exxxx8557xxx,Vaduz
2023-06-30,10:49:41,200,Exxxx8557xxx,Vaduz
2023-06-30,10:49:41,200,Exxxx8557xxx,Vaduz
2023-06-30,10:49:41,200,Exxxx8557xxx,Vaduz
2023-06-30,10:49:41,200,Exxxx8557xxx,Vaduz
2023-06-30,10:49:41,200,Exxxx8557xxx,Vaduz
2023-06-30,10:49:41,200,Exxxx8557xxx,Vaduz
2023-06-30,10:49:41,200,Exxxx8557xxx,Vaduz
2023-06-30,10:49:41,200,Exxxx8557xxx,Vaduz
2023-06-30,10:49:41,200,Exxxx8557xxx,Vaduz
2023-06-30,10:49:41,200,Exxxx8557xxx,Vaduz
2023-06-27,14:43:46,200,Exxxx8557xxx,Vaduz
2023-06-27,14:43:46,200,Exxxx8557xxx,Vaduz
2023-06-27,14:43:46,200,Exxxx8557xxx,Vaduz
2023-06-27,14:43:46,200,Exxxx8557xxx,Vaduz
2023-06-27,14:43:46,200,Exxxx8556xxx,Vaduz
2023-06-27,14:43:46,200,Exxxx8556xxx,Vaduz
2023-06-27,14:43:46,200,Exxxx8556xxx,Vaduz
2023-06-27,14:43:46,200,Exxxx8556xxx,Vaduz
2023-06-27,14:43:46,200,Exxxx8556xxx,Vaduz
2023-06-27,14:43:46,200,Exxxx8556xxx,Vaduz
2023-06-27,14:35:58,50,Sxxxx7457xxx,Bendern
2023-06-27,10:30:00,200,Exxxx8556xxx,Vaduz
2023-06-27,10:30:00,200,Exxxx8556xxx,Vaduz
2023-06-27,10:30:00,200,Exxxx8556xxx,Vaduz
2023-06-27,10:30:00,200,Exxxx8556xxx,Vaduz
2023-06-27,10:30:00,200,Exxxx8556xxx,Vaduz
2023-06-27,10:30:00,200,Exxxx8556xxx,Vaduz
2023-06-27,10:30:00,200,Exxxx8556xxx,Vaduz
2023-06-27,10:30:00,200,Exxxx8556xxx,Vaduz
2023-06-27,10:30:00,200,Exxxx8556xxx,Vaduz
2023-06-27,10:30:00,200,Exxxx8556xxx,Vaduz
2023-06-27,10:26:54,100,Uxxxx0663xxx,Bendern
2023-06-27,10:26:54,100,Sxxxx9088xxx,Bendern
2023-06-09,18:27:06,100,Rxxxx3860xxx,Eschen
2023-06-09,18:27:05,100,Exxxx6367xxx,Eschen
2023-06-09,18:27:05,100,Exxxx7426xxx,Eschen
2023-06-06,16:28:43,200,Exxxx8556xxx,Vaduz
2023-06-06,16:28:43,200,Exxxx8556xxx,Vaduz
2023-06-06,16:28:43,200,Exxxx8556xxx,Vaduz
2023-06-06,16:28:43,200,Exxxx8556xxx,Vaduz
2023-06-06,16:28:43,200,Exxxx8556xxx,Vaduz
2023-06-06,16:28:43,200,Exxxx8557xxx,Vaduz
2023-06-06,16:28:43,200,Exxxx8557xxx,Vaduz
2023-06-06,16:28:43,200,Exxxx8557xxx,Vaduz
2023-06-06,16:28:43,200,Exxxx8557xxx,Vaduz
2023-06-06,16:28:43,200,Exxxx8557xxx,Vaduz
2023-06-05,09:36:09,200,Exxxx8557xxx,Vaduz
2023-06-05,09:36:09,200,Exxxx8557xxx,Vaduz
2023-06-05,09:36:09,200,Exxxx8557xxx,Vaduz
2023-06-05,09:36:09,200,Exxxx8557xxx,Vaduz
2023-06-05,09:36:09,200,Exxxx8557xxx,Vaduz
2023-06-05,09:36:09,200,Exxxx8557xxx,Vaduz
2023-06-05,09:36:09,200,Exxxx8557xxx,Vaduz
2023-06-05,09:36:09,200,Exxxx8557xxx,Vaduz
2023-06-05,09:36:09,200,Exxxx8557xxx,Vaduz
2023-06-05,09:36:09,200,Exxxx8557xxx,Vaduz
2023-06-05,08:42:58,20,Exxxx3185xxx,Vaduz
2023-05-26,12:53:26,10,Exxxx4407xxx,Nendeln
2023-05-26,12:51:34,50,Sxxxx6773xxx,Nendeln
2023-05-26,12:51:34,50,Sxxxx1077xxx,Nendeln
2023-05-18,19:05:06,5,Wxxxx5512xxx,Schaan
2023-05-18,19:04:34,10,Nxxxx7812xxx,Schaan
2023-05-18,15:50:00,20,Rxxxx1656xxx,Schaan
2023-05-18,15:50:00,20,Rxxxx2274xxx,Schaan
2023-05-18,15:50:00,20,Rxxxx3510xxx,Schaan
2023-05-18,15:50:00,20,Rxxxx8132xxx,Schaan
2023-05-18,15:50:00,20,Rxxxx1918xxx,Schaan
2023-05-18,15:50:00,100,Uxxxx8667xxx,Schaan
2023-05-10,10:33:02,5,Wxxxx6009xxx,Bendern
2023-04-27,16:54:57,20,Exxxx9284xxx,Bendern
2023-04-27,16:54:57,10,Sxxxx9177xxx,Bendern
2023-04-27,16:54:57,5,Wxxxx1009xxx,Bendern
2023-04-18,13:18:51,500,Nxxxx3779xxx,Triesen
2023-04-11,14:30:37,10,Xxxxx0201xxx,Bendern
2023-03-31,11:49:26,100,Rxxxx1791xxx,Eschen
2023-03-31,11:49:26,100,Exxxx5362xxx,Eschen
2023-03-24,14:38:34,50,Uxxxx1303xxx,Bendern
2023-03-20,21:15:02,20,Uxxxx3206xxx,Nendeln
2023-03-20,21:15:02,10,Xxxxx7300xxx,Nendeln
2023-03-20,21:15:02,10,Fxxxx5654xxx,Nendeln
2023-03-20,21:15:02,10,Rxxxx8972xxx,Nendeln
2023-03-20,10:02:32,5,Vxxxx8600xxx,Bendern
2023-03-14,14:29:17,20,Sxxxx0320xxx,Bendern
2023-03-14,14:29:17,100,Rxxxx3754xxx,Bendern
2023-02-03,07:38:30,200,Sxxxx5931xxx,Triesen
2023-02-01,10:44:04,20,Sxxxx6954xxx,Bendern
2023-02-01,10:44:04,50,Sxxxx2161xxx,Bendern
2023-02-01,10:44:04,100,Rxxxx7060xxx,Bendern
2023-01-31,08:01:19,100,Uxxxx9658xxx,Nendeln
2023-01-31,08:01:19,10,Yxxxx5241xxx,Nendeln
2023-01-17,15:25:53,50,Exxxx0629xxx,Bendern
2023-01-17,15:25:53,200,Exxxx3815xxx,Bendern
2023-01-17,07:49:24,100,Nxxxx0041xxx,Triesen
2023-01-17,07:49:24,10,Xxxxx9275xxx,Triesen
