Date,Time,Notetype,Maskedserial,Locality
2023-12-06,20:00:03,50,Sxxxx0098xxx,Kuala Lumpur
2023-12-06,20:00:03,100,Rxxxx7554xxx,Kuala Lumpur
2023-12-06,20:00:03,100,Wxxxx1020xxx,Kuala Lumpur
2023-04-10,14:02:50,50,Vxxxx8414xxx,Kuala Lumpur
2023-04-10,14:02:50,50,Vxxxx3226xxx,Kuala Lumpur
2023-02-18,11:39:38,5,Nxxxx2054xxx,Kuala Lumpur International Airport
2023-02-15,05:46:45,5,Yxxxx1278xxx,Kuala Lumpur
2023-02-15,05:46:45,5,Yxxxx1175xxx,Kuala Lumpur
2023-02-14,04:18:59,5,Vxxxx5078xxx,Kuala Lumpur International Airport
2023-02-14,03:08:40,20,Uxxxx5365xxx,Kuala Lumpur
2023-01-29,16:39:22,50,Sxxxx6031xxx,Kuala Lumpur
2023-01-29,16:39:22,50,Sxxxx2424xxx,Kuala Lumpur
2023-01-29,16:33:58,50,Sxxxx8619xxx,Kuala Lumpur
2023-01-29,16:33:58,50,Rxxxx4533xxx,Kuala Lumpur
2023-01-29,09:35:24,50,Vxxxx8007xxx,Kuala Lumpur
2023-01-29,09:35:24,50,Xxxxx5722xxx,Kuala Lumpur
2023-01-29,09:35:24,50,Pxxxx1159xxx,Kuala Lumpur
2023-01-29,09:35:24,50,Uxxxx1250xxx,Kuala Lumpur
2023-01-29,09:35:23,50,Uxxxx4913xxx,Kuala Lumpur
