Date,Time,Notetype,Maskedserial,Locality
2023-12-13,17:53:33,100,Vxxxx4857xxx,Bamako
2023-11-14,09:10:00,50,Uxxxx3757xxx,Bamako
2023-07-05,14:39:04,100,Uxxxx8413xxx,Bamako
2023-07-05,14:38:38,100,Exxxx7458xxx,Bamako
2023-07-05,14:38:05,100,Sxxxx2260xxx,Bamako
2023-07-05,14:37:37,100,Rxxxx9959xxx,Bamako
2023-07-05,14:37:11,100,Uxxxx3314xxx,Bamako
2023-06-12,02:11:53,50,Pxxxx3346xxx,Bamako
2023-06-12,02:11:21,50,Sxxxx3017xxx,Bamako
2023-06-12,02:10:48,50,Vxxxx8277xxx,Bamako
2023-06-12,02:10:11,50,Uxxxx3512xxx,Bamako
2023-06-12,02:09:37,50,Uxxxx8936xxx,Bamako
2023-06-12,02:08:58,50,Vxxxx6763xxx,Bamako
2023-06-12,02:08:19,50,Uxxxx4171xxx,Bamako
2023-06-12,02:07:47,50,Vxxxx3728xxx,Bamako
2023-06-12,02:07:11,50,Vxxxx1858xxx,Bamako
2023-06-12,02:06:39,50,Uxxxx4197xxx,Bamako
2023-06-12,02:05:34,50,Vxxxx9091xxx,Bamako
2023-06-12,02:05:04,50,Vxxxx5009xxx,Bamako
2023-06-12,02:04:04,50,Vxxxx8566xxx,Bamako
2023-06-12,02:03:36,50,Vxxxx1995xxx,Bamako
2023-06-12,02:03:09,50,Vxxxx5092xxx,Bamako
2023-06-12,02:01:36,50,Uxxxx0538xxx,Bamako
2023-06-12,01:59:51,50,Wxxxx1089xxx,Bamako
2023-06-12,01:58:56,50,Vxxxx9485xxx,Bamako
2023-06-12,01:58:25,50,Vxxxx7968xxx,Bamako
2023-06-12,01:57:48,50,Vxxxx6921xxx,Bamako
2023-06-12,01:54:52,50,Uxxxx9733xxx,Bamako
2023-06-12,01:54:18,50,Sxxxx6549xxx,Bamako
2023-06-12,01:53:44,50,Vxxxx9296xxx,Bamako
2023-06-12,01:53:14,50,Vxxxx9318xxx,Bamako
2023-06-12,01:52:45,50,Exxxx6379xxx,Bamako
2023-06-12,01:52:03,50,Vxxxx7782xxx,Bamako
2023-06-12,01:51:30,50,Uxxxx5188xxx,Bamako
2023-06-12,01:50:52,50,Xxxxx6995xxx,Bamako
2023-06-12,01:50:20,50,Vxxxx5796xxx,Bamako
2023-06-12,01:49:02,50,Rxxxx0207xxx,Bamako
2023-06-12,01:48:15,50,Uxxxx4439xxx,Bamako
2023-06-12,01:47:45,50,Vxxxx2571xxx,Bamako
2023-06-12,01:47:09,50,Vxxxx8368xxx,Bamako
2023-06-12,01:46:24,50,Uxxxx3530xxx,Bamako
2023-06-12,01:45:26,50,Vxxxx2291xxx,Bamako
2023-06-12,01:44:50,50,Pxxxx6978xxx,Bamako
2023-06-12,01:43:52,50,Vxxxx7451xxx,Bamako
2023-06-12,01:43:15,50,Vxxxx8380xxx,Bamako
2023-06-12,01:42:43,50,Vxxxx2247xxx,Bamako
2023-06-12,01:42:11,50,Vxxxx3816xxx,Bamako
2023-06-06,18:47:39,50,Vxxxx0618xxx,Bamako
2023-06-06,18:47:13,50,Rxxxx2748xxx,Bamako
2023-06-06,18:46:50,50,Pxxxx4397xxx,Bamako
2023-06-06,18:46:24,50,Uxxxx2569xxx,Bamako
2023-06-06,18:45:59,50,Uxxxx4424xxx,Bamako
2023-06-06,18:44:20,50,Vxxxx7982xxx,Bamako
2023-06-06,18:43:52,50,Uxxxx8065xxx,Bamako
2023-06-06,18:43:27,50,Vxxxx3712xxx,Bamako
2023-06-06,18:40:56,50,Wxxxx9753xxx,Bamako
2023-06-06,18:39:49,50,Sxxxx5806xxx,Bamako
2023-06-06,18:39:22,50,Uxxxx2242xxx,Bamako
2023-06-06,18:38:49,50,Vxxxx1993xxx,Bamako
2023-06-06,18:38:25,50,Vxxxx6055xxx,Bamako
2023-06-06,18:37:55,50,Vxxxx1477xxx,Bamako
2023-06-06,18:37:31,50,Vxxxx4546xxx,Bamako
2023-06-06,18:37:00,50,Uxxxx7052xxx,Bamako
2023-06-06,18:36:06,50,Vxxxx5210xxx,Bamako
2023-06-06,18:35:24,50,Vxxxx7908xxx,Bamako
2023-06-06,18:35:00,50,Vxxxx6104xxx,Bamako
2023-06-06,18:34:34,50,Wxxxx9535xxx,Bamako
2023-05-17,19:43:31,20,Mxxxx0198xxx,Bamako
2023-05-17,19:39:12,20,Vxxxx5532xxx,Bamako
2023-05-17,19:38:46,20,Sxxxx6993xxx,Bamako
2023-05-17,19:38:23,20,Vxxxx9319xxx,Bamako
2023-05-17,19:37:08,20,Sxxxx5793xxx,Bamako
2023-05-17,19:36:38,20,Wxxxx1418xxx,Bamako
2023-05-17,19:35:01,20,Vxxxx8294xxx,Bamako
2023-05-17,19:30:57,20,Mxxxx3521xxx,Bamako
2023-05-17,19:30:25,20,Exxxx9513xxx,Bamako
2023-05-17,19:29:58,20,Zxxxx3490xxx,Bamako
2023-05-17,19:29:20,20,Zxxxx3490xxx,Bamako
2023-05-17,19:28:47,20,Mxxxx6553xxx,Bamako
2023-05-17,19:28:20,20,Sxxxx3168xxx,Bamako
2023-05-17,19:27:43,20,Zxxxx2354xxx,Bamako
2023-05-17,19:27:18,20,Uxxxx5356xxx,Bamako
2023-05-17,19:25:35,50,Vxxxx7902xxx,Bamako
2023-05-17,19:25:09,50,Uxxxx2879xxx,Bamako
2023-05-17,19:24:43,50,Uxxxx1488xxx,Bamako
2023-05-17,00:50:31,50,Vxxxx2934xxx,Bamako
2023-05-17,00:50:02,50,Xxxxx9081xxx,Bamako
2023-05-17,00:49:28,50,Vxxxx6622xxx,Bamako
