Date,Time,Notetype,Maskedserial,Locality
2023-11-10,09:21:33,10,Fxxxx4521xxx,Port Harcourt
2023-09-09,13:00:19,20,Uxxxx7409xxx,Port Harcourt
2023-09-09,13:00:19,20,Zxxxx0265xxx,Port Harcourt
2023-09-01,08:45:41,100,Exxxx5552xxx,Port Harcourt
2023-09-01,08:45:41,50,Pxxxx9015xxx,Port Harcourt
2023-09-01,08:45:41,20,Uxxxx0288xxx,Port Harcourt
2023-09-01,08:45:41,20,Nxxxx6797xxx,Port Harcourt
2023-09-01,08:45:41,20,Uxxxx4458xxx,Port Harcourt
2023-09-01,08:45:41,20,Mxxxx1978xxx,Port Harcourt
2023-09-01,08:45:41,10,Wxxxx4973xxx,Port Harcourt
2023-09-01,08:40:30,50,Exxxx8585xxx,Port Harcourt
2023-09-01,08:40:30,50,Uxxxx6047xxx,Port Harcourt
