Date,Time,Notetype,Maskedserial,Locality
2023-06-02,03:43:54,10,Txxxx1484xxx,평양직할시
2023-06-02,03:42:42,50,Xxxxx9548xxx,평양직할시
2023-06-02,03:42:42,50,Sxxxx9437xxx,평양직할시
2023-06-02,03:42:42,50,Sxxxx5622xxx,평양직할시
2023-06-02,03:42:42,10,Yxxxx7289xxx,평양직할시
2023-05-31,23:29:53,10,Uxxxx4315xxx,평양직할시
2023-05-31,23:29:53,50,Sxxxx2326xxx,평양직할시
2023-05-31,23:29:53,50,Sxxxx0457xxx,평양직할시
2023-05-31,23:07:00,50,Xxxxx9664xxx,평양직할시
2023-05-30,23:58:22,500,Uxxxx9457xxx,평양직할시
2023-05-30,23:58:22,500,Uxxxx9457xxx,평양직할시
2023-05-30,23:58:22,500,Uxxxx9457xxx,평양직할시
2023-05-30,23:58:22,500,Uxxxx9457xxx,평양직할시
2023-05-30,23:58:22,500,Uxxxx9457xxx,평양직할시
2023-05-30,23:58:22,500,Uxxxx9457xxx,평양직할시
2023-05-30,23:58:22,500,Uxxxx9457xxx,평양직할시
2023-05-30,23:55:03,20,Exxxx7188xxx,평양직할시
2023-05-30,23:55:03,10,Wxxxx9444xxx,평양직할시
2023-05-30,23:55:03,200,Lxxxx7004xxx,평양직할시
2023-05-30,23:51:17,5,Vxxxx0000xxx,평양직할시
2023-05-30,23:51:17,5,Vxxxx2012xxx,평양직할시
2023-05-30,23:51:17,5,Vxxxx2012xxx,평양직할시
2023-05-30,23:51:17,500,Uxxxx8218xxx,평양직할시
2023-05-30,23:51:17,10,Yxxxx1866xxx,평양직할시
2023-05-30,23:51:17,10,Yxxxx5495xxx,평양직할시
2023-05-30,23:45:45,5,Sxxxx0008xxx,평양직할시
2023-05-30,23:45:45,100,Vxxxx5043xxx,평양직할시
2023-05-30,21:02:28,50,Xxxxx7863xxx,평양직할시
2023-05-30,05:55:45,50,Sxxxx6972xxx,평양직할시
2023-05-30,05:55:45,20,Sxxxx2832xxx,평양직할시
2023-05-30,05:55:45,20,Sxxxx2832xxx,평양직할시
2023-05-30,05:55:45,100,Sxxxx5336xxx,평양직할시
2023-05-29,22:59:37,10,Uxxxx7833xxx,평양직할시
2023-05-29,22:59:37,5,Uxxxx3207xxx,평양직할시
2023-05-28,23:38:28,100,Vxxxx0639xxx,평양직할시
2023-05-28,23:38:28,100,Vxxxx5639xxx,평양직할시
2023-05-28,23:38:28,100,Vxxxx5639xxx,평양직할시
2023-05-28,23:38:28,100,Vxxxx5639xxx,평양직할시
2023-05-28,23:38:28,100,Vxxxx5639xxx,평양직할시
2023-05-28,23:35:07,100,Xxxxx6968xxx,평양직할시
2023-05-28,23:35:07,50,Pxxxx1933xxx,평양직할시
2023-05-28,23:35:07,50,Sxxxx8506xxx,평양직할시
2023-05-28,23:35:07,50,Uxxxx1791xxx,평양직할시
2023-05-28,23:35:07,50,Vxxxx5998xxx,평양직할시
2023-05-28,23:35:07,50,Xxxxx4450xxx,평양직할시
2023-05-28,23:35:07,50,Vxxxx0059xxx,평양직할시
2023-05-28,23:35:07,50,Vxxxx1478xxx,평양직할시
2023-05-28,23:35:07,50,Sxxxx3023xxx,평양직할시
2023-05-28,23:35:07,50,Vxxxx1561xxx,평양직할시
2023-05-28,23:35:07,50,Zxxxx6101xxx,평양직할시
2023-05-28,23:35:07,50,Vxxxx7100xxx,평양직할시
2023-05-28,23:35:07,50,Zxxxx3259xxx,평양직할시
2023-05-28,23:35:07,50,Xxxxx0379xxx,평양직할시
2023-05-28,23:35:07,50,Xxxxx0247xxx,평양직할시
2023-05-28,23:35:07,50,Vxxxx1672xxx,평양직할시
2023-05-28,23:35:07,50,Vxxxx3289xxx,평양직할시
