Date,Time,Notetype,Maskedserial,Locality
2023-11-12,16:19:36,50,Uxxxx8236xxx,Tetovo
2023-11-12,16:19:36,50,Sxxxx6117xxx,Tetovo
2023-11-12,16:19:36,50,Wxxxx4930xxx,Tetovo
2023-11-12,16:19:36,50,Sxxxx8264xxx,Tetovo
2023-11-12,16:19:36,50,Sxxxx5482xxx,Tetovo
2023-11-12,16:19:36,50,Uxxxx6578xxx,Tetovo
2023-11-12,16:19:36,50,Sxxxx6317xxx,Tetovo
2023-11-12,16:19:36,50,Uxxxx1939xxx,Tetovo
2023-11-12,16:19:36,50,Rxxxx2647xxx,Tetovo
2023-11-12,16:19:36,50,Rxxxx8871xxx,Tetovo
2023-11-12,16:19:36,50,Sxxxx3830xxx,Tetovo
2023-11-12,16:19:36,50,Uxxxx3312xxx,Tetovo
2023-11-12,16:15:03,50,Sxxxx0984xxx,Tetovo
2023-11-12,16:12:31,50,Uxxxx4669xxx,Tetovo
2023-11-12,16:12:31,50,Sxxxx0984xxx,Tetovo
2023-11-12,16:12:31,50,Pxxxx6312xxx,Tetovo
2023-11-12,16:12:31,50,Sxxxx4773xxx,Tetovo
2023-11-12,16:12:31,50,Exxxx2337xxx,Tetovo
2023-11-12,16:12:31,50,Sxxxx3799xxx,Tetovo
2023-11-12,16:12:31,50,Uxxxx9007xxx,Tetovo
2023-11-12,16:12:31,50,Sxxxx4653xxx,Tetovo
2023-11-12,16:12:31,50,Vxxxx6438xxx,Tetovo
2023-11-12,16:12:31,50,Sxxxx4181xxx,Tetovo
2023-11-12,16:12:31,50,Xxxxx1803xxx,Tetovo
2023-11-12,16:12:31,50,Sxxxx1992xxx,Tetovo
2023-11-12,16:12:31,50,Xxxxx0503xxx,Tetovo
2023-11-12,16:12:31,50,Uxxxx5436xxx,Tetovo
2023-11-12,16:12:31,50,Pxxxx6894xxx,Tetovo
2023-11-12,16:12:31,50,Sxxxx7427xxx,Tetovo
2023-11-12,16:12:31,50,Uxxxx4420xxx,Tetovo
2023-11-12,16:12:31,50,Uxxxx9803xxx,Tetovo
2023-11-12,16:12:31,50,Uxxxx6854xxx,Tetovo
2023-11-12,16:12:31,50,Uxxxx7057xxx,Tetovo
2023-11-12,16:12:31,50,Uxxxx5389xxx,Tetovo
2023-10-30,20:21:09,10,Nxxxx9803xxx,Veles
2023-10-30,20:21:09,10,Uxxxx7801xxx,Veles
2023-10-30,20:21:09,10,Vxxxx8233xxx,Veles
2023-10-30,20:21:09,10,Sxxxx9420xxx,Veles
2023-10-30,20:21:09,10,Sxxxx7872xxx,Veles
2023-10-30,20:21:09,10,Fxxxx1811xxx,Veles
2023-10-30,20:21:09,10,Wxxxx0855xxx,Veles
2023-10-30,20:21:09,10,Pxxxx8957xxx,Veles
2023-10-30,20:21:09,10,Sxxxx1308xxx,Veles
2023-10-30,20:21:09,10,Txxxx3062xxx,Veles
2023-10-30,20:17:44,5,Nxxxx5046xxx,Veles
2023-10-30,20:17:44,5,Uxxxx7490xxx,Veles
2023-10-30,20:17:44,5,Txxxx9351xxx,Veles
2023-10-30,20:17:44,5,Mxxxx6243xxx,Veles
2023-10-30,20:17:44,5,Vxxxx2509xxx,Veles
2023-10-30,20:17:44,5,Uxxxx3890xxx,Veles
2023-10-30,20:17:44,5,Nxxxx0227xxx,Veles
2023-10-30,20:17:44,5,Vxxxx0171xxx,Veles
2023-10-30,20:17:43,5,Nxxxx9655xxx,Veles
2023-10-30,20:17:43,5,Nxxxx5448xxx,Veles
2023-10-30,20:17:43,5,Mxxxx9177xxx,Veles
2023-10-30,20:17:43,5,Vxxxx2173xxx,Veles
2023-10-30,20:17:43,5,Nxxxx5877xxx,Veles
2023-10-30,20:17:43,5,Uxxxx7809xxx,Veles
2023-10-30,20:17:43,5,Mxxxx9998xxx,Veles
2023-10-30,20:17:43,5,Yxxxx3809xxx,Veles
2023-10-30,20:17:43,5,Nxxxx6370xxx,Veles
2023-10-30,20:17:43,5,Zxxxx5668xxx,Veles
2023-10-30,20:17:43,5,Vxxxx4805xxx,Veles
2023-10-30,20:17:43,5,Vxxxx5688xxx,Veles
