Date,Time,Notetype,Maskedserial,Locality
2023-02-27,14:51:08,20,Exxxx0530xxx,Muscat
2023-02-27,14:51:08,20,Uxxxx0953xxx,Muscat
2023-02-27,14:51:08,20,Exxxx6702xxx,Muscat
2023-02-27,14:51:08,20,Vxxxx0945xxx,Muscat
2023-02-27,14:51:08,20,Rxxxx4916xxx,Muscat
2023-02-27,14:42:58,50,Sxxxx9959xxx,Muscat
2023-02-27,14:42:58,50,Sxxxx3729xxx,Muscat
2023-02-27,14:42:58,50,Sxxxx8729xxx,Muscat
2023-02-27,14:42:58,50,Uxxxx8839xxx,Muscat
2023-02-27,14:42:58,50,Sxxxx2628xxx,Muscat
2023-02-27,14:42:58,50,Uxxxx2743xxx,Muscat
2023-02-27,14:42:58,50,Rxxxx6059xxx,Muscat
2023-02-27,14:39:08,20,Uxxxx7448xxx,Muscat
2023-02-27,14:39:08,20,Rxxxx8926xxx,Muscat
2023-02-27,14:39:08,20,Rxxxx9687xxx,Muscat
2023-02-27,14:39:08,20,Sxxxx6864xxx,Muscat
2023-02-27,14:39:07,20,Uxxxx8201xxx,Muscat
2023-02-26,01:35:22,10,Pxxxx2196xxx,Muscat
2023-02-26,01:34:35,10,Exxxx4417xxx,Muscat
2023-02-26,01:33:44,10,Exxxx4787xxx,Muscat
2023-02-26,01:32:39,10,Rxxxx1119xxx,Muscat
2023-02-26,01:31:38,10,Rxxxx6290xxx,Muscat
2023-02-24,16:05:34,20,Exxxx7290xxx,Sur
2023-02-24,16:05:02,20,Fxxxx8875xxx,Sur
2023-02-24,16:04:02,20,Uxxxx1846xxx,Sur
2023-02-21,15:58:02,20,Fxxxx9538xxx,Nizwa
2023-02-21,15:56:39,20,Rxxxx3951xxx,Nizwa
2023-02-19,15:55:38,5,Nxxxx1294xxx,Muscat
