Date,Time,Notetype,Maskedserial,Locality
2023-12-06,06:19:43,5,Mxxxx7973xxx,Panama-City
2023-12-06,06:10:07,5,Txxxx9232xxx,Colon
2023-10-11,22:31:42,5,Vxxxx6170xxx,Tocumen International Airport
2023-10-11,13:18:01,20,Fxxxx4404xxx,Tocumen International Airport
2023-10-11,13:18:01,20,Exxxx5263xxx,Tocumen International Airport
2023-10-11,13:18:01,10,Wxxxx8196xxx,Tocumen International Airport
2023-10-11,13:18:01,10,Wxxxx6473xxx,Tocumen International Airport
2023-10-11,13:18:01,10,Wxxxx9268xxx,Tocumen International Airport
2023-10-11,13:18:01,10,Uxxxx2808xxx,Tocumen International Airport
2023-10-11,13:18:01,10,Txxxx6415xxx,Tocumen International Airport
2023-10-11,13:18:01,5,Mxxxx6598xxx,Tocumen International Airport
2023-10-09,23:05:18,100,Exxxx8405xxx,Panama City
2023-10-09,23:05:18,50,Uxxxx6254xxx,Panama City
2023-10-09,23:05:18,50,Mxxxx4346xxx,Panama City
2023-10-09,23:05:18,20,Nxxxx1361xxx,Panama City
2023-10-09,23:05:18,10,Exxxx4953xxx,Panama City
2023-10-09,23:05:18,5,Wxxxx5889xxx,Panama City
2023-04-24,20:58:47,10,Wxxxx6270xxx,Cidade do Panama
2023-04-24,20:58:47,50,Vxxxx2680xxx,Cidade do Panama
2023-04-24,20:58:47,50,Pxxxx5404xxx,Cidade do Panama
2023-04-07,10:25:54,5,Mxxxx1998xxx,Panama City
2023-04-07,10:25:54,5,Yxxxx9315xxx,Panama City
2023-04-07,10:25:54,5,Uxxxx6351xxx,Panama City
2023-04-07,10:25:54,5,Sxxxx9183xxx,Panama City
2023-04-07,10:25:54,5,Uxxxx8739xxx,Panama City
2023-04-07,10:25:54,5,Vxxxx5337xxx,Panama City
