Date,Time,Notetype,Maskedserial,Locality
2023-01-23,02:04:33,100,Exxxx2441xxx,Ciudad Del Este
2023-01-23,02:04:02,100,Exxxx2441xxx,Ciudad Del Este
2023-01-23,02:02:06,100,Exxxx2441xxx,Ciudad Del Este
2023-01-23,01:59:23,100,Xxxxx8668xxx,Ciudad Del Este
2023-01-23,01:58:35,100,Exxxx5997xxx,Ciudad Del Este
2023-01-23,01:57:52,100,Rxxxx4457xxx,Ciudad Del Este
2023-01-23,01:55:59,100,Rxxxx4457xxx,Ciudad Del Este
2023-01-23,01:55:16,100,Exxxx2653xxx,Ciudad Del Este
2023-01-23,01:54:42,5,Zxxxx5078xxx,Ciudad Del Este
2023-01-23,01:54:11,10,Sxxxx8070xxx,Ciudad Del Este
2023-01-23,01:53:40,20,Exxxx4787xxx,Ciudad Del Este
2023-01-23,01:52:55,50,Xxxxx1462xxx,Ciudad Del Este
2023-01-23,01:52:09,50,Vxxxx6566xxx,Ciudad Del Este
2023-01-23,01:51:15,50,Uxxxx3709xxx,Ciudad Del Este
