Date,Time,Notetype,Maskedserial,Locality
2023-06-12,05:02:54,50,Xxxxx9050xxx,Lima
2023-06-12,05:01:07,50,Zxxxx5357xxx,Lima
2023-06-12,05:01:07,50,Vxxxx6407xxx,Lima
2023-06-12,05:01:07,50,Vxxxx9347xxx,Lima
2023-06-12,05:01:07,50,Sxxxx2524xxx,Lima
2023-06-12,05:01:07,50,Sxxxx2623xxx,Lima
2023-06-12,05:01:07,50,Sxxxx3627xxx,Lima
2023-06-12,05:01:07,50,Xxxxx9050xxx,Lima
2023-06-12,04:51:55,50,Xxxxx6466xxx,Lima
2023-01-04,23:16:01,50,Vxxxx0166xxx,Lima
2023-01-04,23:14:30,100,Wxxxx1443xxx,Lima
