Date,Time,Notetype,Maskedserial,Locality
2023-12-27,20:34:28,20,Uxxxx1759xxx,Sochaczew
2023-12-27,20:34:28,20,Rxxxx5348xxx,Sochaczew
2023-12-27,20:34:28,20,Wxxxx7980xxx,Sochaczew
2023-12-27,20:34:28,20,Rxxxx7928xxx,Sochaczew
2023-12-27,20:34:28,50,Vxxxx2757xxx,Sochaczew
2023-12-27,20:34:28,50,Vxxxx8628xxx,Sochaczew
2023-12-27,20:34:28,50,Vxxxx6776xxx,Sochaczew
2023-12-27,20:34:28,50,Uxxxx9937xxx,Sochaczew
2023-12-27,20:34:28,50,Rxxxx7444xxx,Sochaczew
2023-12-27,20:34:28,100,Sxxxx7999xxx,Sochaczew
2023-12-27,20:34:28,100,Wxxxx7061xxx,Sochaczew
2023-12-27,20:34:28,100,Exxxx9939xxx,Sochaczew
2023-12-27,20:34:28,100,Sxxxx7999xxx,Sochaczew
2023-12-27,20:34:28,100,Exxxx0907xxx,Sochaczew
2023-12-27,20:34:28,100,Wxxxx2768xxx,Sochaczew
2023-12-26,20:19:46,100,Xxxxx2369xxx,Krynica
2023-12-26,20:19:46,100,Sxxxx6285xxx,Krynica
2023-12-26,00:15:02,50,Uxxxx8160xxx,Varsovie
2023-12-26,00:13:51,50,Vxxxx1263xxx,Varsovie
2023-12-25,22:40:47,50,Vxxxx6780xxx,Wrocław
2023-12-25,11:32:59,100,Vxxxx0019xxx,Szczawnica
2023-12-25,10:48:19,100,Exxxx1473xxx,Cieszyn
2023-12-24,22:20:56,50,Mxxxx8826xxx,Łódź
2023-12-23,22:31:04,50,Rxxxx9638xxx,Cieszyn
2023-12-23,22:30:32,50,Wxxxx2892xxx,Cieszyn
2023-12-23,21:17:01,50,Vxxxx2317xxx,Cieszyn
2023-12-23,21:16:26,50,Uxxxx1320xxx,Cieszyn
2023-12-23,21:15:48,50,Wxxxx9815xxx,Cieszyn
2023-12-23,21:15:10,50,Sxxxx9397xxx,Cieszyn
2023-12-23,21:14:34,50,Uxxxx5608xxx,Cieszyn
2023-12-23,21:13:37,50,Sxxxx3108xxx,Cieszyn
2023-12-23,21:13:01,50,Rxxxx6933xxx,Cieszyn
2023-12-23,21:12:30,50,Uxxxx2341xxx,Cieszyn
2023-12-23,21:11:59,50,Yxxxx8758xxx,Cieszyn
2023-12-23,21:11:21,50,Rxxxx7137xxx,Cieszyn
2023-12-21,14:34:36,10,Uxxxx1181xxx,Zgorczelec
2023-12-21,12:29:05,50,Sxxxx5677xxx,Kępno
2023-12-21,12:29:05,50,Sxxxx4153xxx,Kępno
2023-12-21,12:29:05,50,Sxxxx7280xxx,Kępno
2023-12-21,12:29:05,50,Rxxxx9384xxx,Kępno
2023-12-21,12:29:05,50,Sxxxx7002xxx,Kępno
2023-12-21,12:29:05,100,Rxxxx9369xxx,Kępno
2023-12-21,12:29:05,100,Exxxx5598xxx,Kępno
2023-12-21,12:29:05,100,Exxxx5598xxx,Kępno
2023-12-21,12:29:05,100,Uxxxx7779xxx,Kępno
2023-12-21,12:29:05,100,Rxxxx3743xxx,Kępno
2023-12-21,12:29:05,100,Uxxxx0510xxx,Kępno
2023-12-21,12:29:05,100,Uxxxx1928xxx,Kępno
2023-12-21,12:29:05,100,Uxxxx2140xxx,Kępno
2023-12-21,12:24:19,100,Exxxx8119xxx,Kępno
2023-12-21,12:24:19,100,Uxxxx7197xxx,Kępno
2023-12-21,12:24:19,100,Rxxxx5369xxx,Kępno
2023-12-21,12:24:19,100,Rxxxx5669xxx,Kępno
2023-12-21,12:24:19,100,Rxxxx6360xxx,Kępno
2023-12-21,12:24:19,100,Rxxxx1088xxx,Kępno
2023-12-21,12:24:19,100,Rxxxx9954xxx,Kępno
2023-12-21,12:24:19,100,Rxxxx5103xxx,Kępno
2023-12-21,12:24:19,100,Uxxxx1759xxx,Kępno
2023-12-21,12:24:19,100,Rxxxx5918xxx,Kępno
2023-12-21,12:24:19,100,Exxxx2283xxx,Kępno
2023-12-21,12:24:19,100,Uxxxx4808xxx,Kępno
2023-12-21,12:24:19,100,Exxxx9730xxx,Kępno
2023-12-21,12:24:19,100,Rxxxx2043xxx,Kępno
2023-12-21,12:24:19,100,Rxxxx2848xxx,Kępno
2023-12-21,12:24:19,100,Rxxxx8255xxx,Kępno
2023-12-21,12:24:19,100,Rxxxx8255xxx,Kępno
2023-12-21,12:24:19,100,Rxxxx8255xxx,Kępno
2023-12-21,12:24:19,100,Exxxx7898xxx,Kępno
2023-12-21,12:24:19,100,Rxxxx9904xxx,Kępno
2023-12-21,12:24:19,100,Rxxxx2535xxx,Kępno
2023-12-21,12:24:19,100,Rxxxx6085xxx,Kępno
2023-12-21,12:24:19,100,Uxxxx8905xxx,Kępno
2023-12-21,12:24:19,100,Rxxxx0324xxx,Kępno
2023-12-21,12:24:19,100,Rxxxx2291xxx,Kępno
2023-12-21,12:16:25,200,Uxxxx3459xxx,Kępno
2023-12-21,12:16:25,200,Sxxxx3646xxx,Kępno
2023-12-21,12:16:25,200,Exxxx8259xxx,Kępno
2023-12-20,19:43:16,50,Rxxxx9785xxx,Radawie
2023-12-20,19:43:16,50,Pxxxx6097xxx,Radawie
2023-12-16,18:34:50,5,Mxxxx1399xxx,Warszawa
2023-12-16,16:44:45,5,Yxxxx3504xxx,Warszawa
2023-12-16,16:44:18,20,Exxxx8936xxx,Warszawa
2023-12-16,12:16:59,20,Rxxxx5596xxx,Radawie
2023-12-16,12:16:59,20,Uxxxx6967xxx,Radawie
2023-12-16,12:16:59,5,Uxxxx1465xxx,Radawie
2023-12-15,18:59:09,20,Uxxxx7258xxx,Kraków
2023-12-15,18:58:24,20,Xxxxx5900xxx,Kraków
2023-12-15,18:57:48,10,Wxxxx8831xxx,Kraków
2023-12-14,12:50:55,5,Uxxxx2134xxx,Wrocław
2023-12-14,12:50:55,20,Vxxxx3382xxx,Wrocław
2023-12-14,12:50:55,10,Wxxxx5308xxx,Wrocław
2023-12-14,12:50:55,20,Wxxxx1019xxx,Wrocław
2023-12-12,17:50:22,50,Wxxxx6494xxx,Kraków
2023-12-11,18:33:43,5,Nxxxx2258xxx,Zgorzelec
2023-12-10,22:09:18,20,Uxxxx6923xxx,Ostrów Wielkopolski
2023-12-10,22:09:18,20,Sxxxx4201xxx,Ostrów Wielkopolski
2023-12-10,22:09:18,5,Mxxxx4855xxx,Ostrów Wielkopolski
2023-12-10,07:53:32,5,Vxxxx4922xxx,Wrocław
2023-12-10,07:52:59,10,Pxxxx6409xxx,Wrocław
2023-12-10,07:52:59,10,Wxxxx4170xxx,Wrocław
2023-12-10,07:52:59,10,Wxxxx7003xxx,Wrocław
2023-12-10,07:52:59,10,Fxxxx1163xxx,Wrocław
2023-12-09,17:57:39,5,Mxxxx1654xxx,Kraków
2023-12-09,17:57:39,5,Txxxx6612xxx,Kraków
2023-12-09,17:57:39,5,Vxxxx5489xxx,Kraków
2023-12-09,17:57:39,5,Mxxxx1693xxx,Kraków
2023-12-09,17:57:39,5,Exxxx4787xxx,Kraków
2023-12-09,17:57:39,5,Nxxxx6636xxx,Kraków
2023-12-09,17:57:39,5,Sxxxx7597xxx,Kraków
