Date,Time,Notetype,Maskedserial,Locality
2023-11-28,15:18:03,20,Xxxxx6432xxx,Doha
2023-11-28,15:16:23,20,Sxxxx6840xxx,Doha
2023-11-28,15:15:12,20,Sxxxx3377xxx,Doha
2023-11-28,15:14:07,20,Uxxxx4015xxx,Doha
2023-11-27,15:17:02,20,Xxxxx3164xxx,Doha
2023-11-27,15:15:30,20,Sxxxx4905xxx,Doha
2023-11-27,15:14:40,20,Rxxxx7522xxx,Doha
2023-11-27,15:12:34,20,Sxxxx0751xxx,Doha
2023-11-27,05:31:33,50,Vxxxx3734xxx,Doha International Airport
2023-11-27,05:31:33,50,Vxxxx5577xxx,Doha International Airport
2023-05-31,17:24:19,20,Uxxxx2424xxx,Doha
