Date,Time,Notetype,Maskedserial,Locality
2023-12-25,16:39:32,500,Nxxxx0604xxx,St Petersburg
2023-12-24,08:43:09,500,Nxxxx0546xxx,St Petersburg
2023-12-24,08:43:09,500,Nxxxx0546xxx,St Petersburg
2023-12-22,16:22:52,100,Xxxxx2478xxx,Челябинск
2023-12-21,23:32:59,500,Nxxxx1274xxx,St Petersburg
2023-12-21,09:20:12,500,Xxxxx4729xxx,St Petersburg
2023-12-19,23:33:47,500,Nxxxx7517xxx,St Petersburg
2023-12-14,23:42:03,500,Nxxxx0880xxx,St Petersburg
2023-12-14,18:47:01,10,Yxxxx6076xxx,Moscow
2023-12-14,18:46:20,10,Wxxxx1917xxx,Moscow
2023-12-14,18:45:04,10,Exxxx8773xxx,Moscow
2023-12-14,00:06:51,500,Nxxxx1851xxx,St Petersburg
2023-12-13,20:33:57,50,Xxxxx4230xxx,Saint-Petersburg
2023-12-13,20:33:57,50,Xxxxx9215xxx,Saint-Petersburg
2023-12-13,20:33:57,50,Zxxxx2334xxx,Saint-Petersburg
2023-12-13,20:33:57,50,Xxxxx1841xxx,Saint-Petersburg
2023-12-13,20:33:57,50,Xxxxx2614xxx,Saint-Petersburg
2023-12-13,20:33:57,50,Sxxxx4778xxx,Saint-Petersburg
2023-12-13,20:33:57,50,Xxxxx0881xxx,Saint-Petersburg
2023-12-13,20:33:57,50,Sxxxx5641xxx,Saint-Petersburg
2023-12-13,20:33:57,50,Pxxxx9739xxx,Saint-Petersburg
2023-12-13,20:33:57,50,Mxxxx7575xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Mxxxx2692xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Pxxxx9657xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Pxxxx6693xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Uxxxx4594xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Exxxx0655xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Zxxxx5137xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Exxxx1530xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Rxxxx8017xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Pxxxx7728xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Exxxx0642xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Uxxxx7605xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Pxxxx7160xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Uxxxx4256xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Uxxxx5829xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Wxxxx9479xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Rxxxx4693xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Sxxxx2939xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Rxxxx0683xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Rxxxx9386xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Wxxxx3705xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Rxxxx6045xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Pxxxx5164xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Pxxxx3565xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Rxxxx2362xxx,Saint-Petersburg
2023-12-13,20:28:53,50,Rxxxx2369xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Nxxxx1515xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Nxxxx3418xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Xxxxx5134xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Nxxxx8350xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Nxxxx1662xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Xxxxx8452xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Xxxxx8452xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Xxxxx8452xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Nxxxx6536xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Nxxxx7142xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Xxxxx8452xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Xxxxx3836xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Xxxxx9674xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Sxxxx9529xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Nxxxx1088xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Sxxxx4410xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Nxxxx7173xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Nxxxx7145xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Nxxxx9216xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Nxxxx1089xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Nxxxx6701xxx,Saint-Petersburg
2023-12-13,20:15:59,100,Xxxxx9239xxx,Saint-Petersburg
2023-12-13,20:05:26,5,Mxxxx6688xxx,Saint-Petersburg
2023-12-13,20:05:26,5,Zxxxx3082xxx,Saint-Petersburg
2023-12-13,20:05:26,5,Yxxxx6691xxx,Saint-Petersburg
2023-12-13,20:05:26,5,Yxxxx7891xxx,Saint-Petersburg
2023-12-13,20:05:26,5,Yxxxx7491xxx,Saint-Petersburg
2023-12-13,20:02:50,10,Xxxxx6572xxx,Saint-Petersburg
2023-12-13,20:02:23,10,Fxxxx1049xxx,Saint-Petersburg
2023-12-13,20:01:57,10,Fxxxx8300xxx,Saint-Petersburg
2023-12-13,20:01:25,20,Rxxxx8687xxx,Saint-Petersburg
2023-12-13,20:00:14,20,Sxxxx2922xxx,Saint-Petersburg
2023-12-13,19:59:22,20,Sxxxx9518xxx,Saint-Petersburg
2023-12-13,19:58:38,50,Xxxxx1032xxx,Saint-Petersburg
2023-12-12,23:53:13,500,Xxxxx2724xxx,St Petersburg
2023-12-02,17:49:31,20,Exxxx4122xxx,Челябинск
2023-11-30,21:02:16,50,Uxxxx9851xxx,Saint-Petersburg
2023-11-30,16:03:49,10,Wxxxx0630xxx,Moskova
2023-11-26,23:38:30,500,Nxxxx1274xxx,St Petersburg
2023-11-26,22:13:28,500,Nxxxx5811xxx,St Petersburg
2023-11-19,12:16:31,5,Zxxxx0277xxx,Saint-Pétersbourg
2023-11-18,13:52:31,5,Nxxxx6720xxx,Saint-Pétersbourg
2023-11-17,13:31:57,5,Nxxxx6395xxx,Saint-Pétersbourg
2023-11-16,15:49:30,20,Uxxxx7948xxx,Saint-Pétersbourg
2023-11-16,15:49:30,20,Mxxxx9168xxx,Saint-Pétersbourg
2023-11-15,14:52:20,10,Exxxx3014xxx,Saint-Pétersbourg
2023-11-15,08:37:50,200,Uxxxx2267xxx,St Petersburg
2023-11-15,08:37:50,200,Uxxxx2267xxx,St Petersburg
2023-11-15,08:37:50,200,Uxxxx2267xxx,St Petersburg
2023-11-15,08:37:50,200,Uxxxx2267xxx,St Petersburg
2023-11-15,08:37:50,200,Uxxxx2267xxx,St Petersburg
2023-11-14,15:26:44,200,Uxxxx9993xxx,St Petersburg
2023-11-14,15:25:56,200,Uxxxx5364xxx,St Petersburg
2023-11-14,15:25:56,200,Uxxxx5364xxx,St Petersburg
2023-11-14,15:25:56,200,Uxxxx5364xxx,St Petersburg
2023-11-14,15:25:56,200,Uxxxx5364xxx,St Petersburg
2023-11-14,15:25:56,200,Uxxxx5364xxx,St Petersburg
2023-11-14,10:25:55,5,Mxxxx8350xxx,Saint-Pétersbourg
2023-11-07,00:25:50,20,Exxxx1622xxx,St Petersburg
2023-11-07,00:25:50,20,Nxxxx4523xxx,St Petersburg
2023-11-07,00:25:50,20,Uxxxx8056xxx,St Petersburg
2023-11-06,22:56:42,100,Sxxxx3314xxx,St Petersburg
2023-11-01,23:49:31,500,Nxxxx0894xxx,St Petersburg
2023-11-01,22:28:05,500,Nxxxx0159xxx,St Petersburg
2023-10-28,00:17:28,500,Nxxxx7391xxx,St Petersburg
2023-10-28,00:17:28,500,Xxxxx2829xxx,St Petersburg
2023-10-28,00:17:28,500,Nxxxx9993xxx,St Petersburg
2023-10-28,00:17:28,500,Xxxxx3469xxx,St Petersburg
2023-10-28,00:17:28,500,Nxxxx8805xxx,St Petersburg
2023-10-28,00:17:28,500,Zxxxx0599xxx,St Petersburg
2023-10-28,00:17:28,500,Xxxxx9840xxx,St Petersburg
2023-10-28,00:17:28,500,Xxxxx3798xxx,St Petersburg
