Date,Time,Notetype,Maskedserial,Locality
2023-11-16,05:51:09,20,Rxxxx2932xxx,Katunayake
2023-11-16,05:51:08,10,Vxxxx0583xxx,Katunayake
2023-11-13,13:09:33,20,Rxxxx5194xxx,Aluthgama
2023-11-12,15:40:22,20,Exxxx2103xxx,Colombo
2023-11-12,15:40:22,20,Rxxxx5775xxx,Colombo
2023-11-12,15:40:22,20,Fxxxx0694xxx,Colombo
2023-11-12,15:40:22,20,Rxxxx8301xxx,Colombo
2023-11-12,11:32:16,10,Xxxxx3969xxx,Colombo
2023-11-12,11:32:16,20,Rxxxx5342xxx,Colombo
2023-11-11,05:15:32,20,Uxxxx2820xxx,Ahungalla
2023-11-11,05:15:32,10,Wxxxx4630xxx,Ahungalla
2023-11-09,15:50:47,20,Rxxxx6657xxx,Galle
2023-11-09,15:50:47,50,Exxxx1045xxx,Galle
2023-11-09,15:47:04,20,Sxxxx9550xxx,Aluthgama
2023-11-07,17:06:16,50,Exxxx1311xxx,Ahungalla
2023-11-07,17:04:52,20,Exxxx4976xxx,Ahungalla
2023-11-06,10:55:04,50,Rxxxx0225xxx,Kandy
2023-11-06,10:51:07,10,Uxxxx7601xxx,Rambukkana
2023-11-05,14:45:27,10,Rxxxx3576xxx,Sigiriya
2023-11-05,14:38:23,10,Wxxxx1953xxx,Kandy
2023-11-05,02:02:22,10,Rxxxx4634xxx,Nuwara Eliya
2023-11-03,12:50:41,20,Fxxxx9281xxx,Kandy
2023-11-02,12:36:56,20,Uxxxx4169xxx,Kandy
2023-11-02,12:28:17,20,Fxxxx5533xxx,Katunayake
2023-05-15,19:26:26,20,Uxxxx1609xxx,Colombo
2023-05-15,19:26:26,50,Sxxxx1551xxx,Colombo
2023-01-26,09:29:52,100,Exxxx9591xxx,Colombo
2023-01-26,09:29:52,100,Uxxxx1264xxx,Colombo
2023-01-26,09:29:52,100,Rxxxx4635xxx,Colombo
