Date,Time,Notetype,Maskedserial,Locality
2023-12-30,00:09:59,5,Uxxxx5927xxx,Zurich
2023-12-30,00:08:59,5,Uxxxx5927xxx,Zurich
2023-12-30,00:07:59,5,Uxxxx5927xxx,Zurich
2023-12-30,00:06:59,5,Uxxxx5927xxx,Zurich
2023-12-30,00:05:58,5,Uxxxx5927xxx,Zurich
2023-12-30,00:04:59,5,Uxxxx5927xxx,Zurich
2023-12-30,00:03:59,5,Uxxxx5927xxx,Zurich
2023-12-30,00:02:59,5,Uxxxx5927xxx,Zurich
2023-12-30,00:01:59,5,Uxxxx5927xxx,Zurich
2023-12-30,00:00:13,5,Uxxxx5927xxx,Zurich
2023-12-29,23:59:18,5,Uxxxx5927xxx,Zurich
2023-12-29,23:58:20,5,Uxxxx5927xxx,Zurich
2023-12-29,23:57:14,5,Uxxxx5927xxx,Zurich
2023-12-29,23:56:13,5,Uxxxx5927xxx,Zurich
2023-12-29,23:55:17,5,Uxxxx5927xxx,Zurich
2023-12-29,23:54:18,5,Uxxxx5927xxx,Zurich
2023-12-29,23:53:16,20,Rxxxx2337xxx,Uster
2023-12-29,23:52:15,20,Rxxxx2337xxx,Uster
2023-12-29,23:51:16,20,Rxxxx2337xxx,Uster
2023-12-29,23:50:15,20,Rxxxx2337xxx,Uster
2023-12-29,23:49:17,20,Rxxxx2337xxx,Uster
2023-12-29,23:48:18,20,Rxxxx2337xxx,Uster
2023-12-29,23:47:17,20,Rxxxx2337xxx,Uster
2023-12-29,23:46:24,20,Rxxxx2337xxx,Uster
2023-12-29,23:45:14,20,Rxxxx2337xxx,Uster
2023-12-29,23:44:18,20,Rxxxx2337xxx,Uster
2023-12-29,23:43:15,20,Rxxxx2337xxx,Uster
2023-12-29,23:42:21,20,Rxxxx2337xxx,Uster
2023-12-29,23:41:14,20,Rxxxx2337xxx,Uster
2023-12-29,23:40:15,20,Rxxxx2337xxx,Uster
2023-12-29,23:39:13,20,Rxxxx2337xxx,Uster
2023-12-29,23:38:19,20,Rxxxx2337xxx,Uster
2023-12-29,23:37:17,20,Rxxxx2337xxx,Uster
