Date,Time,Notetype,Maskedserial,Locality
2023-12-03,12:15:01,5,Vxxxx7753xxx,Taoyuan International Airport
2023-12-03,12:15:01,5,Yxxxx9043xxx,Taoyuan International Airport
2023-12-03,12:15:01,5,Vxxxx3505xxx,Taoyuan International Airport
2023-12-03,12:15:01,5,Wxxxx1368xxx,Taoyuan International Airport
2023-11-21,13:13:17,20,Exxxx1629xxx,Hualien
2023-11-21,13:13:17,20,Exxxx6616xxx,Hualien
2023-11-21,13:13:17,20,Rxxxx7303xxx,Hualien
2023-11-21,13:10:40,50,Uxxxx3901xxx,Hengchun
2023-11-21,13:10:40,20,Txxxx0382xxx,Hengchun
2023-11-21,13:10:40,50,Uxxxx1074xxx,Hengchun
2023-11-21,13:07:53,20,Rxxxx2031xxx,Yuchi
2023-11-21,13:07:53,20,Rxxxx5233xxx,Yuchi
2023-11-21,13:07:53,50,Uxxxx0615xxx,Yuchi
2023-11-21,13:07:53,50,Rxxxx9246xxx,Yuchi
2023-11-13,14:08:49,200,Exxxx7965xxx,Sun Moon lake
2023-11-06,09:40:30,5,Vxxxx1656xxx,Taoyuan City
2023-11-06,09:39:27,10,Wxxxx7781xxx,Taoyuan City
2023-11-06,09:39:27,10,Wxxxx7781xxx,Taoyuan City
2023-11-06,09:39:27,10,Fxxxx3165xxx,Taoyuan City
2023-11-06,09:36:10,50,Sxxxx0554xxx,Taoyuan City
2023-11-06,09:33:26,50,Rxxxx4289xxx,Taoyuan City
2023-10-27,17:26:16,5,Nxxxx9039xxx,Taipei
2023-10-27,17:26:16,5,Nxxxx9039xxx,Taipei
2023-10-27,17:26:16,5,Nxxxx9039xxx,Taipei
2023-10-27,17:26:16,5,Nxxxx9039xxx,Taipei
2023-10-27,17:26:16,5,Nxxxx9039xxx,Taipei
2023-10-27,17:26:16,5,Nxxxx9039xxx,Taipei
2023-10-27,17:26:16,5,Nxxxx9039xxx,Taipei
2023-10-27,17:26:16,5,Nxxxx9039xxx,Taipei
2023-10-27,17:26:16,5,Nxxxx9039xxx,Taipei
2023-10-27,17:26:16,5,Nxxxx9039xxx,Taipei
2023-10-27,17:26:16,10,Rxxxx7087xxx,Taipei
2023-07-19,08:24:01,50,Uxxxx9559xxx,New Taipei City
2023-07-19,08:24:01,50,Uxxxx3341xxx,New Taipei City
2023-07-19,08:24:01,50,Rxxxx7703xxx,New Taipei City
2023-07-19,08:24:01,50,Uxxxx0070xxx,New Taipei City
2023-07-19,08:24:01,50,Uxxxx2967xxx,New Taipei City
2023-07-19,08:24:01,50,Sxxxx7924xxx,New Taipei City
2023-07-19,08:24:01,50,Vxxxx9581xxx,New Taipei City
2023-07-19,08:24:01,50,Uxxxx3413xxx,New Taipei City
2023-07-19,08:24:01,50,Vxxxx4134xxx,New Taipei City
2023-07-19,08:24:01,50,Uxxxx7204xxx,New Taipei City
2023-07-19,08:24:01,50,Vxxxx7451xxx,New Taipei City
2023-07-19,08:24:01,50,Uxxxx7673xxx,New Taipei City
2023-07-19,08:24:01,50,Uxxxx8770xxx,New Taipei City
2023-07-19,08:24:01,50,Rxxxx8504xxx,New Taipei City
2023-07-19,08:24:01,50,Sxxxx0008xxx,New Taipei City
2023-07-19,08:24:01,50,Rxxxx2701xxx,New Taipei City
2023-07-19,08:24:01,50,Sxxxx0340xxx,New Taipei City
2023-07-19,08:24:01,50,Uxxxx8094xxx,New Taipei City
2023-07-19,08:24:01,50,Yxxxx8246xxx,New Taipei City
2023-07-19,08:24:01,50,Uxxxx0484xxx,New Taipei City
2023-07-19,08:24:01,50,Uxxxx6726xxx,New Taipei City
2023-07-19,08:13:46,50,Pxxxx6995xxx,New Taipei City
2023-07-19,08:13:46,50,Sxxxx1814xxx,New Taipei City
2023-07-19,08:11:34,50,Sxxxx1324xxx,New Taipei City
2023-07-19,08:11:34,50,Sxxxx9454xxx,New Taipei City
2023-07-19,08:11:34,50,Uxxxx9248xxx,New Taipei City
2023-07-19,08:11:34,50,Uxxxx7440xxx,New Taipei City
2023-07-19,08:11:34,50,Uxxxx7005xxx,New Taipei City
2023-07-19,08:11:34,50,Uxxxx2760xxx,New Taipei City
2023-07-19,08:11:34,50,Rxxxx4304xxx,New Taipei City
2023-07-19,08:11:34,50,Uxxxx7005xxx,New Taipei City
2023-07-19,08:11:34,50,Uxxxx6865xxx,New Taipei City
2023-07-19,08:11:34,50,Vxxxx6564xxx,New Taipei City
2023-07-19,08:11:34,20,Uxxxx8608xxx,New Taipei City
2023-07-19,08:11:34,10,Uxxxx3027xxx,New Taipei City
2023-07-19,08:11:34,10,Yxxxx1448xxx,New Taipei City
2023-07-19,08:11:34,10,Wxxxx5198xxx,New Taipei City
2023-07-19,08:11:34,10,Pxxxx0889xxx,New Taipei City
2023-06-18,16:41:25,5,Sxxxx8095xxx,Taipei City
2023-06-18,16:41:25,10,Vxxxx0178xxx,Taipei City
2023-06-18,16:41:25,10,Nxxxx5359xxx,Taipei City
2023-06-18,16:41:25,10,Nxxxx6847xxx,Taipei City
2023-06-18,16:41:25,100,Nxxxx5025xxx,Taipei City
2023-05-11,10:02:38,20,Uxxxx6727xxx,Taipei
2023-05-11,09:58:02,10,Exxxx1116xxx,Taipei
2023-04-06,09:10:31,100,Sxxxx6151xxx,Taipei
2023-04-06,09:09:32,100,Xxxxx9535xxx,Taipei
2023-04-06,09:02:55,100,Vxxxx8943xxx,Taipei
2023-03-05,18:29:46,10,Wxxxx3212xxx,Taoyuan International Airport
2023-03-05,18:29:46,10,Wxxxx3212xxx,Taoyuan International Airport
2023-03-05,18:29:46,10,Wxxxx3212xxx,Taoyuan International Airport
2023-03-05,18:29:46,10,Wxxxx3212xxx,Taoyuan International Airport
2023-03-05,18:29:46,10,Wxxxx3212xxx,Taoyuan International Airport
2023-03-05,18:29:46,10,Wxxxx3212xxx,Taoyuan International Airport
2023-03-05,18:29:46,10,Wxxxx3212xxx,Taoyuan International Airport
2023-03-05,18:29:46,10,Wxxxx3212xxx,Taoyuan International Airport
2023-03-05,18:29:46,10,Wxxxx3212xxx,Taoyuan International Airport
2023-03-05,18:29:46,10,Wxxxx3212xxx,Taoyuan International Airport
2023-03-05,18:29:46,10,Wxxxx3212xxx,Taoyuan International Airport
2023-03-05,18:29:46,10,Wxxxx3212xxx,Taoyuan International Airport
2023-03-05,18:29:46,10,Wxxxx3212xxx,Taoyuan International Airport
2023-03-05,18:29:46,10,Wxxxx3212xxx,Taoyuan International Airport
2023-03-05,18:29:46,10,Wxxxx3212xxx,Taoyuan International Airport
2023-03-05,18:29:46,10,Wxxxx3212xxx,Taoyuan International Airport
2023-03-05,18:29:46,10,Wxxxx3212xxx,Taoyuan International Airport
2023-03-05,18:29:46,10,Wxxxx3212xxx,Taoyuan International Airport
2023-03-05,18:29:46,10,Wxxxx3212xxx,Taoyuan International Airport
2023-03-05,18:29:46,10,Wxxxx3212xxx,Taoyuan International Airport
2023-03-05,18:26:44,100,Uxxxx1953xxx,Taoyuan International Airport
2023-03-05,18:26:44,100,Uxxxx1953xxx,Taoyuan International Airport
2023-03-05,18:26:44,100,Uxxxx1953xxx,Taoyuan International Airport
2023-03-05,18:26:44,100,Uxxxx1953xxx,Taoyuan International Airport
2023-03-05,18:26:44,100,Uxxxx1953xxx,Taoyuan International Airport
2023-03-05,18:26:44,100,Uxxxx1953xxx,Taoyuan International Airport
2023-03-05,18:26:44,100,Uxxxx1953xxx,Taoyuan International Airport
2023-03-05,18:26:44,100,Uxxxx1953xxx,Taoyuan International Airport
2023-03-05,18:26:44,100,Uxxxx1953xxx,Taoyuan International Airport
2023-03-05,18:26:44,100,Uxxxx1953xxx,Taoyuan International Airport
2023-03-05,18:26:44,100,Uxxxx1953xxx,Taoyuan International Airport
2023-03-05,18:26:44,100,Uxxxx1953xxx,Taoyuan International Airport
2023-03-05,18:26:44,100,Uxxxx1953xxx,Taoyuan International Airport
2023-03-05,18:26:44,100,Uxxxx1953xxx,Taoyuan International Airport
2023-03-05,18:26:44,100,Uxxxx1953xxx,Taoyuan International Airport
2023-03-05,18:26:44,100,Uxxxx1953xxx,Taoyuan International Airport
2023-03-05,18:26:44,100,Uxxxx1953xxx,Taoyuan International Airport
2023-03-05,18:26:44,100,Uxxxx1953xxx,Taoyuan International Airport
