Date,Time,Notetype,Maskedserial,Locality
2023-12-29,01:14:31,10,Rxxxx9089xxx,Kiev
2023-12-29,01:13:31,5,Mxxxx9626xxx,Kiev
2023-12-29,00:45:17,200,Xxxxx0885xxx,Kiev
2023-12-22,03:41:15,20,Exxxx1132xxx,Kiev
2023-12-22,03:40:21,20,Wxxxx8366xxx,Kiev
2023-12-22,03:39:17,20,Sxxxx1237xxx,Kiev
2023-12-22,03:37:41,10,Rxxxx6796xxx,Kiev
2023-12-22,03:36:47,10,Xxxxx9604xxx,Kiev
2023-12-22,03:35:55,10,Vxxxx2389xxx,Kiev
2023-12-22,03:34:03,50,Exxxx8794xxx,Kiev
2023-12-22,03:31:46,5,Txxxx2131xxx,Kiev
2023-12-22,03:30:54,5,Mxxxx4029xxx,Kiev
2023-12-22,03:27:36,5,Nxxxx0554xxx,Kiev
2023-12-22,03:26:36,5,Nxxxx8468xxx,Kiev
2023-12-22,03:25:33,5,Uxxxx1350xxx,Kiev
2023-12-22,03:24:34,5,Mxxxx5851xxx,Kiev
2023-12-22,03:23:04,5,Mxxxx8359xxx,Kiev
2023-12-22,03:21:38,5,Nxxxx0599xxx,Kiev
2023-12-17,01:43:10,20,Uxxxx4991xxx,Kiev
2023-12-17,01:41:16,20,Uxxxx0334xxx,Kiev
2023-12-17,01:39:48,5,Zxxxx6937xxx,Kiev
2023-12-15,02:01:52,5,Mxxxx6726xxx,Kiev
2023-11-30,17:26:43,50,Wxxxx1482xxx,Kiev
2023-11-30,17:26:43,50,Sxxxx5309xxx,Kiev
2023-11-30,17:26:43,50,Uxxxx8021xxx,Kiev
2023-11-30,17:26:43,50,Vxxxx9401xxx,Kiev
2023-11-30,17:21:52,20,Sxxxx5672xxx,Kiev
2023-11-30,17:21:52,20,Uxxxx1489xxx,Kiev
2023-11-30,17:21:52,20,Uxxxx2993xxx,Kiev
2023-11-30,17:21:52,20,Sxxxx4389xxx,Kiev
2023-11-30,17:21:52,20,Uxxxx8633xxx,Kiev
2023-11-30,17:21:52,20,Exxxx5507xxx,Kiev
2023-11-30,17:21:52,20,Xxxxx1182xxx,Kiev
2023-11-30,17:21:52,20,Uxxxx5104xxx,Kiev
2023-11-30,17:21:52,20,Uxxxx5128xxx,Kiev
2023-11-30,17:21:52,20,Uxxxx7224xxx,Kiev
2023-11-30,17:16:20,10,Vxxxx7984xxx,Kiev
2023-11-30,16:55:28,10,Rxxxx6715xxx,Kiev
2023-11-30,16:55:28,10,Wxxxx9904xxx,Kiev
2023-11-30,16:55:28,10,Wxxxx6688xxx,Kiev
2023-11-30,16:55:28,10,Vxxxx3990xxx,Kiev
2023-11-30,16:55:28,10,Uxxxx6333xxx,Kiev
2023-11-30,16:55:28,10,Xxxxx1338xxx,Kiev
2023-11-30,16:55:28,10,Exxxx0042xxx,Kiev
2023-11-30,16:55:28,10,Xxxxx7760xxx,Kiev
2023-11-30,16:55:28,10,Wxxxx6763xxx,Kiev
2023-11-30,16:55:28,10,Exxxx9381xxx,Kiev
2023-11-30,16:55:28,10,Uxxxx9204xxx,Kiev
2023-11-30,16:55:28,10,Uxxxx1296xxx,Kiev
2023-11-30,16:55:28,10,Yxxxx6842xxx,Kiev
2023-11-30,16:55:28,10,Nxxxx0624xxx,Kiev
2023-11-30,16:44:41,5,Nxxxx1492xxx,Kiev
2023-11-30,16:44:41,5,Vxxxx4194xxx,Kiev
2023-11-30,16:44:41,5,Vxxxx2069xxx,Kiev
2023-11-30,16:44:41,5,Zxxxx3370xxx,Kiev
2023-11-30,16:44:41,5,Wxxxx3674xxx,Kiev
2023-11-30,16:44:41,5,Vxxxx1694xxx,Kiev
2023-11-30,16:44:41,5,Wxxxx4797xxx,Kiev
2023-11-30,16:44:41,5,Xxxxx1449xxx,Kiev
2023-11-30,16:44:41,5,Zxxxx0307xxx,Kiev
2023-11-30,16:38:15,10,Xxxxx7212xxx,Kiev
2023-11-30,16:38:15,10,Xxxxx4938xxx,Kiev
2023-11-30,16:38:15,10,Xxxxx2181xxx,Kiev
2023-11-30,16:38:15,10,Wxxxx5288xxx,Kiev
2023-09-08,13:37:19,50,Rxxxx7029xxx,Odessa
2023-09-08,13:37:19,50,Uxxxx6531xxx,Odessa
2023-09-08,13:37:19,50,Exxxx9718xxx,Odessa
2023-09-08,13:37:19,50,Exxxx9270xxx,Odessa
2023-09-08,13:37:19,50,Uxxxx8203xxx,Odessa
2023-09-08,13:37:19,50,Uxxxx5622xxx,Odessa
2023-09-08,13:37:19,50,Exxxx5868xxx,Odessa
2023-09-08,13:37:19,50,Uxxxx5395xxx,Odessa
2023-09-08,13:37:19,50,Exxxx1496xxx,Odessa
2023-09-08,13:37:19,50,Uxxxx7571xxx,Odessa
2023-09-08,13:37:19,50,Wxxxx4694xxx,Odessa
