Date,Time,Notetype,Maskedserial,Locality
2023-12-29,13:22:44,20,Uxxxx5996xxx,Dubai
2023-12-29,13:21:40,20,Uxxxx0235xxx,Dubai
2023-12-29,13:20:40,20,Exxxx8883xxx,Dubai
2023-12-29,13:19:40,20,Uxxxx1031xxx,Dubai
2023-12-29,13:18:40,5,Uxxxx4647xxx,Dubai
2023-12-22,11:49:48,100,Rxxxx5072xxx,Dubai
2023-12-22,11:49:48,100,Exxxx1073xxx,Dubai
2023-12-22,11:49:48,20,Rxxxx6174xxx,Dubai
2023-12-22,11:49:48,20,Rxxxx2675xxx,Dubai
2023-12-22,11:49:48,5,Vxxxx8051xxx,Dubai
2023-11-24,17:19:47,20,Sxxxx9917xxx,Dubai
2023-11-22,20:20:20,20,Uxxxx8243xxx,Dubai International Airport
2023-11-22,20:20:20,20,Fxxxx2362xxx,Dubai International Airport
2023-11-22,20:20:20,20,Fxxxx9563xxx,Dubai International Airport
2023-11-22,20:20:20,20,Sxxxx5998xxx,Dubai International Airport
2023-11-22,20:13:26,50,Sxxxx5791xxx,Dubai International Airport
2023-10-11,02:33:53,20,Uxxxx4701xxx,Dubai
2023-10-11,02:33:08,20,Sxxxx8335xxx,Dubai
2023-10-11,02:31:01,20,Uxxxx0773xxx,Dubai
2023-10-11,02:30:02,20,Uxxxx0155xxx,Dubai
2023-10-11,02:29:16,20,Uxxxx5953xxx,Dubai
2023-10-11,02:27:43,20,Uxxxx6689xxx,Dubai
2023-10-10,19:45:13,20,Exxxx9713xxx,Dubai
2023-09-30,11:17:11,10,Vxxxx5110xxx,Dubai
2023-09-30,11:17:11,20,Uxxxx7171xxx,Dubai
2023-09-20,15:01:02,5,Sxxxx6389xxx,Dubai
2023-08-12,11:06:43,50,Uxxxx6095xxx,Abu Dhabi
2023-08-12,11:05:44,50,Rxxxx4721xxx,Abu Dhabi
2023-08-12,11:03:13,20,Sxxxx4945xxx,Abu Dhabi
2023-08-12,11:01:17,5,Exxxx9462xxx,Abu Dhabi
2023-08-12,11:00:15,5,Vxxxx0264xxx,Abu Dhabi
2023-08-07,02:19:55,5,Nxxxx5972xxx,Dubai Airport
2023-06-08,14:56:10,50,Vxxxx0228xxx,Dubai
2023-06-08,14:55:19,5,Zxxxx9627xxx,Dubai
2023-06-07,22:03:15,10,Vxxxx6860xxx,Abu Dhabi
2023-06-07,22:03:15,5,Vxxxx1016xxx,Abu Dhabi
2023-05-25,17:00:16,5,Txxxx7330xxx,Dubai
2023-05-24,21:32:52,50,Rxxxx8429xxx,Abu Dhabi
2023-05-03,14:34:59,50,Wxxxx3514xxx,Abu Dhabi
2023-04-07,14:07:46,20,Uxxxx8559xxx,Dubai
2023-04-07,14:07:07,20,Exxxx2482xxx,Dubai
2023-04-07,14:06:13,20,Exxxx8714xxx,Dubai
2023-04-06,17:37:58,50,Sxxxx9610xxx,Dubai
2023-04-06,17:37:20,50,Sxxxx8942xxx,Dubai
2023-04-06,06:42:42,20,Fxxxx9112xxx,Dubai
2023-04-05,16:18:47,50,Sxxxx8251xxx,Dubai
2023-04-05,16:18:47,50,Sxxxx9635xxx,Dubai
2023-04-05,13:40:05,5,Mxxxx0902xxx,Dubai
2023-04-05,06:51:17,10,Rxxxx8870xxx,Abu Dhabi
2023-04-04,06:03:06,50,Sxxxx5186xxx,Abu Dhabi
2023-04-04,06:01:36,20,Exxxx6897xxx,Abu Dhabi
2023-04-01,18:38:38,50,Sxxxx7690xxx,Abu Dhabi
2023-04-01,18:38:38,50,Sxxxx1850xxx,Abu Dhabi
2023-04-01,10:28:00,20,Exxxx6194xxx,Abu Dhabi
2023-04-01,07:36:56,50,Sxxxx1391xxx,Abu Dhabi
2023-03-16,11:10:37,10,Fxxxx7528xxx,Dubai
2023-03-16,11:10:37,10,Fxxxx7528xxx,Dubai
2023-03-02,13:33:45,50,Vxxxx9599xxx,Abu Dhabi
2023-02-08,11:53:27,50,Wxxxx4912xxx,Dubai
2023-02-08,11:52:57,50,Wxxxx6871xxx,Dubai
2023-02-08,11:52:16,20,Uxxxx1841xxx,Dubai
2023-02-08,11:51:42,20,Rxxxx1352xxx,Dubai
2023-02-08,11:50:52,100,Wxxxx8571xxx,Dubai
2023-01-31,12:24:34,10,Xxxxx5952xxx,Dubai
2023-01-31,12:24:34,10,Wxxxx5091xxx,Dubai
2023-01-31,12:24:34,5,Zxxxx5542xxx,Dubai
2023-01-23,17:53:26,5,Txxxx5725xxx,Dubai
2023-01-23,17:53:26,5,Nxxxx4350xxx,Dubai
2023-01-23,17:53:26,5,Vxxxx2119xxx,Dubai
2023-01-23,17:53:26,5,Vxxxx8768xxx,Dubai
2023-01-23,17:53:26,5,Nxxxx9345xxx,Dubai
2023-01-23,17:53:26,5,Vxxxx2542xxx,Dubai
2023-01-23,17:51:30,10,Wxxxx9533xxx,Dubai
2023-01-23,17:51:30,10,Uxxxx6509xxx,Dubai
