Date,Time,Notetype,Maskedserial,Locality
2024-11-12,14:33:06,20,Uxxxx6310xxx,Algiers Aiport
2024-11-11,15:05:07,5,Mxxxx7745xxx,Algiers Aiport
2024-11-03,16:56:47,50,Exxxx1694xxx,Constantine
2024-11-02,11:19:44,10,Wxxxx8439xxx,Algiers Aiport
2024-10-19,11:30:31,10,Xxxxx8506xxx,Constantine Airport
2024-10-03,08:12:56,100,Xxxxx4218xxx,Constantine
2024-05-25,14:52:23,10,Rxxxx0383xxx,Alger Airport
2024-05-25,14:51:48,5,Uxxxx8270xxx,Alger Airport
2024-05-22,02:43:01,20,Uxxxx4692xxx,
2024-05-22,02:33:15,20,Rxxxx6822xxx,
2024-05-22,02:20:33,50,Pxxxx9991xxx,Algers
2024-05-09,01:06:31,100,Rxxxx3692xxx,Alger
2024-03-13,13:18:22,50,Zxxxx7109xxx,Algiers Aiport
2024-03-13,13:18:22,50,Zxxxx0397xxx,Algiers Aiport
2024-03-13,13:18:22,50,Uxxxx8820xxx,Algiers Aiport
2024-03-13,13:14:42,50,Vxxxx3937xxx,Algiers Aiport
2024-03-13,13:12:02,50,Uxxxx2324xxx,Algiers Aiport
2024-03-13,13:10:39,50,Uxxxx9779xxx,Algiers Aiport
2024-03-13,13:09:03,50,Rxxxx6127xxx,Algiers Aiport
2024-03-13,13:07:11,50,Exxxx2406xxx,Algiers Aiport
2024-03-13,13:05:58,50,Vxxxx0628xxx,Algiers Aiport
2024-03-13,13:04:49,50,Rxxxx8958xxx,Algiers Aiport
2024-03-13,13:04:49,50,Uxxxx9099xxx,Algiers Aiport
2024-03-13,13:02:38,50,Exxxx3304xxx,Algiers Aiport
2024-03-13,13:02:38,50,Exxxx3304xxx,Algiers Aiport
2024-03-13,13:01:12,100,Xxxxx3666xxx,Algiers Aiport
2024-03-13,12:59:26,20,Uxxxx6381xxx,Algiers Aiport
2024-03-13,12:57:35,20,Uxxxx5951xxx,Algiers Aiport
2024-03-13,12:56:48,20,Uxxxx8192xxx,Algiers Aiport
2024-03-12,17:37:46,10,Yxxxx2575xxx,Algiers Aiport
2024-03-12,17:36:33,10,Uxxxx0840xxx,Algiers Aiport
2024-03-12,17:35:15,20,Uxxxx2915xxx,Algiers Aiport
2024-03-12,17:27:23,10,Wxxxx9776xxx,Algiers Aiport
2024-03-12,17:25:32,10,Rxxxx4574xxx,Algiers Aiport
2024-03-12,17:25:32,10,Yxxxx6091xxx,Algiers Aiport
2024-03-12,17:22:31,20,Uxxxx0325xxx,Algiers Aiport
2024-03-12,17:20:36,5,Uxxxx6687xxx,Algiers Aiport
2024-03-12,17:20:36,5,Zxxxx6614xxx,Algiers Aiport
2024-03-12,17:19:23,10,Wxxxx6077xxx,Algiers Aiport
2024-03-12,17:17:37,10,Wxxxx2023xxx,Algiers Aiport
2024-03-12,17:17:37,5,Zxxxx6726xxx,Algiers Aiport
2024-03-09,19:55:36,20,Uxxxx3417xxx,Algiers Aiport
