Date,Time,Notetype,Maskedserial,Locality
2024-12-21,23:40:31,50,Sxxxx7881xxx,Orašje
2024-12-21,23:40:18,20,Rxxxx2660xxx,Orašje
2024-12-21,23:40:06,20,Exxxx9628xxx,Orašje
2024-12-21,23:39:57,20,Exxxx3564xxx,Orašje
2024-12-21,23:39:44,10,Nxxxx4071xxx,Orašje
2024-12-21,23:39:33,5,Nxxxx4281xxx,Orašje
2024-12-21,23:39:24,5,Nxxxx4219xxx,Orašje
2024-12-06,20:14:07,100,Rxxxx8124xxx,Banjaluka
2024-12-05,08:47:59,100,Exxxx1425xxx,Sarajevo
2024-12-05,08:47:59,20,Fxxxx4043xxx,Sarajevo
2024-12-05,08:47:59,20,Uxxxx5547xxx,Sarajevo
2024-12-05,08:47:59,5,Zxxxx0909xxx,Sarajevo
2024-11-30,12:57:17,5,Nxxxx4312xxx,Sarajevo
2024-11-30,12:57:17,5,Mxxxx6641xxx,Sarajevo
2024-11-30,12:57:17,5,Nxxxx4970xxx,Sarajevo
2024-11-24,12:12:56,10,Wxxxx6241xxx,Banjaluka
2024-11-24,11:25:24,10,Wxxxx8121xxx,Sarajevo
2024-11-24,11:25:24,10,Uxxxx5498xxx,Sarajevo
2024-11-24,11:25:24,10,Nxxxx4431xxx,Sarajevo
2024-11-24,11:23:56,100,Rxxxx8488xxx,Sarajevo
2024-11-24,11:23:56,100,Exxxx3769xxx,Sarajevo
2024-11-22,09:46:48,20,Xxxxx6797xxx,Sarajevo
2024-11-22,09:46:48,20,Exxxx6128xxx,Sarajevo
2024-11-22,09:45:54,10,Pxxxx7936xxx,Sarajevo
2024-11-13,08:42:14,20,Exxxx7441xxx,Visoko
2024-11-13,08:39:52,5,Mxxxx8307xxx,Visoko
2024-10-20,20:13:02,10,Nxxxx7127xxx,Gračanica
2024-10-20,07:55:59,10,Vxxxx8252xxx,Medugorje
2024-10-20,07:55:59,5,Nxxxx6944xxx,Medugorje
2024-10-20,07:55:59,10,Nxxxx5015xxx,Medugorje
2024-10-20,07:55:59,5,Uxxxx3002xxx,Medugorje
2024-10-20,07:55:59,10,Rxxxx3296xxx,Medugorje
2024-10-20,07:55:59,10,Wxxxx8073xxx,Medugorje
2024-10-20,07:55:59,5,Wxxxx2763xxx,Medugorje
2024-10-20,07:55:59,20,Exxxx5989xxx,Medugorje
2024-10-20,07:55:59,10,Vxxxx2811xxx,Medugorje
2024-10-20,07:55:59,20,Wxxxx5253xxx,Medugorje
2024-10-20,07:55:59,20,Rxxxx9133xxx,Medugorje
2024-10-20,07:55:59,10,Exxxx6272xxx,Medugorje
2024-10-20,07:55:59,10,Xxxxx6637xxx,Medugorje
2024-10-20,07:55:59,5,Vxxxx3124xxx,Medugorje
2024-10-20,07:55:59,5,Exxxx7183xxx,Medugorje
2024-10-20,07:27:11,10,Nxxxx1067xxx,Sarajevo
2024-10-20,07:27:11,10,Nxxxx0251xxx,Sarajevo
2024-10-20,07:27:11,5,Sxxxx8918xxx,Sarajevo
2024-10-19,15:46:20,50,Rxxxx3401xxx,Sarajevo
2024-10-19,15:46:20,20,Exxxx1849xxx,Sarajevo
2024-10-19,15:46:20,10,Fxxxx9276xxx,Sarajevo
2024-10-19,13:34:00,50,Vxxxx9163xxx,Sarajevo
2024-10-19,13:34:00,10,Vxxxx6800xxx,Sarajevo
2024-09-29,21:10:05,20,Uxxxx5504xxx,Ivanica
2024-09-29,21:09:14,10,Wxxxx7087xxx,Ivanica
2024-09-19,22:12:06,10,Yxxxx1591xxx,Mostar
2024-09-19,22:11:06,5,Zxxxx4091xxx,Mostar
2024-09-12,22:01:38,10,Yxxxx0419xxx,Neum
2024-09-12,22:00:51,5,Vxxxx3503xxx,Neum
2024-09-02,18:04:20,100,Exxxx9223xxx,Sarajevo
2024-08-30,16:27:25,20,Sxxxx2034xxx,Sarajevo
2024-08-30,16:26:38,10,Xxxxx3195xxx,Sarajevo
2024-08-27,13:15:33,50,Sxxxx3891xxx,Mrkonij Grad
2024-08-27,13:14:33,50,Rxxxx7315xxx,Mrkonij Grad
2024-08-27,13:02:41,50,Rxxxx4142xxx,Mrkonij Grad
2024-08-25,16:19:43,10,Nxxxx7474xxx,Posusje
2024-08-25,14:29:27,20,Exxxx3736xxx,Posušje
2024-08-25,13:45:04,10,Wxxxx3670xxx,Posušje
2024-08-22,23:32:45,10,Uxxxx9229xxx,Orašje
2024-08-22,23:32:30,10,Nxxxx6226xxx,Orašje
2024-08-18,00:06:02,20,Mxxxx1058xxx,Pocitelj
2024-08-16,09:06:47,5,Uxxxx1252xxx,Mostar
2024-07-23,17:22:11,5,Yxxxx6187xxx,Banja Luka
2024-07-22,16:11:50,10,Nxxxx2852xxx,Mostar
2024-07-22,16:11:50,5,Mxxxx4277xxx,Mostar
2024-07-19,17:49:43,100,Rxxxx5841xxx,Mostar
2024-07-19,10:21:14,5,Uxxxx6543xxx,Medjugorje
2024-07-18,23:57:02,5,Vxxxx5300xxx,Sarajevo
2024-07-18,23:57:02,10,Fxxxx6678xxx,Sarajevo
2024-07-04,16:53:10,100,Xxxxx8201xxx,Sarajevo
2024-07-03,23:04:16,5,Vxxxx2505xxx,Sarajevo
2024-07-01,21:27:04,20,Sxxxx0826xxx,Jablanica
