Date,Time,Notetype,Maskedserial,Locality
2024-11-07,05:38:08,5,Zxxxx1034xxx,Aguadilla
2024-11-07,05:38:08,5,Mxxxx4661xxx,Aguadilla
2024-11-06,22:47:28,5,Mxxxx7333xxx,Ponce
2024-11-06,22:47:28,5,Zxxxx3512xxx,Ponce
2024-09-04,03:33:06,5,Vxxxx5261xxx,San José
2024-09-04,03:32:35,5,Vxxxx5261xxx,San José
2024-09-04,03:32:04,5,Vxxxx5261xxx,San José
2024-09-04,03:31:21,5,Vxxxx5261xxx,San José
2024-09-04,03:30:40,5,Vxxxx5261xxx,San José
2024-09-04,03:30:12,5,Vxxxx5261xxx,San José
2024-09-04,03:29:35,5,Vxxxx5261xxx,San José
2024-09-04,03:28:45,5,Vxxxx5261xxx,San José
2024-09-04,03:28:09,5,Vxxxx5261xxx,San José
2024-09-04,03:27:35,5,Vxxxx5261xxx,San José
2024-09-04,03:26:59,5,Vxxxx5261xxx,San José
2024-09-04,03:26:26,5,Vxxxx5261xxx,San José
2024-09-04,03:25:35,5,Vxxxx5261xxx,San José
2024-09-04,03:25:03,5,Vxxxx5261xxx,San José
2024-09-04,03:24:22,5,Vxxxx5261xxx,San José
2024-09-04,03:23:55,5,Vxxxx5261xxx,San José
2024-09-04,03:23:24,5,Vxxxx5261xxx,San José
2024-09-04,03:22:36,5,Vxxxx5261xxx,San José
2024-09-04,03:22:02,5,Vxxxx5261xxx,San José
2024-09-04,03:20:39,5,Vxxxx5261xxx,San José
2024-09-04,03:18:53,10,Fxxxx3136xxx,San José
2024-09-04,03:18:00,10,Rxxxx4983xxx,San José
2024-09-04,03:17:22,10,Vxxxx5654xxx,San José
2024-09-04,03:16:48,10,Vxxxx5654xxx,San José
2024-09-04,03:16:10,10,Vxxxx5654xxx,San José
2024-09-04,03:15:30,10,Vxxxx5654xxx,San José
2024-09-04,03:14:41,10,Vxxxx5654xxx,San José
2024-09-04,03:13:54,10,Vxxxx5654xxx,San José
2024-09-04,03:13:14,10,Vxxxx5654xxx,San José
2024-09-04,03:12:26,10,Vxxxx5654xxx,San José
2024-09-04,03:09:55,20,Rxxxx4591xxx,San José
2024-09-04,03:08:54,20,Rxxxx4591xxx,San José
2024-09-04,03:08:17,20,Rxxxx4591xxx,San José
2024-09-04,03:07:46,20,Rxxxx4591xxx,San José
2024-09-04,03:07:00,20,Rxxxx4699xxx,San José
2024-09-04,03:06:25,20,Rxxxx4699xxx,San José
2024-09-04,03:05:48,20,Rxxxx4699xxx,San José
2024-09-04,03:05:08,20,Rxxxx4699xxx,San José
2024-09-04,03:04:35,20,Rxxxx4699xxx,San José
2024-09-04,03:03:50,20,Rxxxx4699xxx,San José
2024-09-04,03:03:09,20,Rxxxx4699xxx,San José
2024-09-04,03:01:59,20,Rxxxx4699xxx,San José
2024-09-04,03:01:16,20,Rxxxx4699xxx,San José
2024-09-04,03:00:23,20,Rxxxx4699xxx,San José
2024-09-04,02:59:26,20,Rxxxx4699xxx,San José
2024-09-04,02:58:08,50,Exxxx4628xxx,San José
2024-09-04,02:56:59,50,Rxxxx4781xxx,San José
2024-09-04,02:56:09,50,Vxxxx0841xxx,San José
2024-09-04,02:55:08,50,Vxxxx6436xxx,San José
2024-09-04,02:53:52,50,Pxxxx9154xxx,San José
2024-09-04,02:52:42,50,Uxxxx2650xxx,San José
2024-09-04,02:50:39,50,Vxxxx9243xxx,San José
2024-09-04,02:48:02,50,Uxxxx5398xxx,San José
2024-09-04,02:46:09,50,Pxxxx0372xxx,San José
2024-09-04,02:44:41,50,Exxxx8524xxx,San José
2024-09-03,23:14:30,5,Vxxxx3249xxx,San José
