Date,Time,Notetype,Maskedserial,Locality
2024-09-25,02:15:41,10,Nxxxx0386xxx,Habana
2024-09-25,02:14:27,20,Rxxxx8094xxx,Habana
2024-09-25,02:05:00,50,Uxxxx3600xxx,Habana
2024-09-25,01:56:21,5,Vxxxx2143xxx,Habana
2024-08-14,04:48:06,10,Pxxxx8906xxx,
2024-08-14,04:48:06,10,Wxxxx0283xxx,
2024-08-14,04:48:06,5,Mxxxx7578xxx,
2024-07-03,19:54:25,20,Rxxxx8700xxx,Matanzas
2024-07-03,19:52:50,20,Mxxxx2206xxx,Matanzas
2024-04-15,10:13:16,10,Wxxxx4942xxx,Trinidat
2024-04-15,10:12:23,5,Mxxxx7686xxx,Pinar del Rio
2024-04-15,10:11:20,10,Wxxxx0757xxx,Havana
2024-04-10,11:22:49,10,Xxxxx1377xxx,Santa Clara
2024-03-05,16:07:53,50,Rxxxx9599xxx,Matanzas
2024-02-29,02:35:57,5,Mxxxx3747xxx,Matanzas
2024-02-29,02:35:00,5,Nxxxx1722xxx,Matanzas
2024-02-29,02:32:54,5,Yxxxx2097xxx,Matanzas
2024-02-29,02:31:50,20,Exxxx7502xxx,Matanzas
2024-02-29,02:30:52,10,Exxxx9958xxx,Matanzas
2024-02-29,02:29:59,5,Nxxxx3505xxx,Matanzas
2024-02-29,02:26:09,200,Zxxxx9608xxx,Matanzas
2024-02-08,20:16:36,5,Vxxxx8186xxx,Sancti Spíritus
2024-02-08,20:15:10,5,Yxxxx2096xxx,Trinidad
2024-02-08,20:13:52,5,Exxxx8505xxx,Santa Clara
2024-02-08,20:12:15,5,Mxxxx9795xxx,Cienfuegos
2024-02-08,20:11:16,5,Exxxx8686xxx,Las Tunas
2024-02-08,19:00:49,5,Mxxxx0101xxx,Santiago de Cuba
2024-02-01,00:44:29,5,Nxxxx2381xxx,Havanna
2024-02-01,00:44:29,5,Vxxxx7321xxx,Havanna
2024-01-30,12:18:38,20,Nxxxx5064xxx,Camagüey
2024-01-23,16:55:20,10,Wxxxx5807xxx,Holguin
2024-01-23,16:55:20,5,Wxxxx2167xxx,Holguin
2024-01-23,16:55:20,5,Wxxxx1066xxx,Holguin
