Date,Time,Notetype,Maskedserial,Locality
2024-12-25,17:28:30,200,Exxxx6658xxx,Nicosia
2024-12-25,17:28:30,200,Sxxxx1309xxx,Nicosia
2024-12-25,17:28:30,200,Uxxxx5703xxx,Nicosia
2024-12-25,17:26:57,100,Sxxxx5188xxx,Nicosia
2024-12-25,17:26:57,100,Uxxxx3071xxx,Nicosia
2024-12-25,17:26:57,100,Exxxx9483xxx,Nicosia
2024-12-25,17:26:57,100,Exxxx4423xxx,Nicosia
2024-12-25,17:26:57,100,Rxxxx3056xxx,Nicosia
2024-12-25,17:26:57,100,Rxxxx2573xxx,Nicosia
2024-12-25,17:26:57,100,Vxxxx8268xxx,Nicosia
2024-12-25,17:26:57,100,Sxxxx4485xxx,Nicosia
2024-12-25,17:26:57,100,Sxxxx2405xxx,Nicosia
2024-12-25,17:26:57,50,Wxxxx1830xxx,Nicosia
2024-12-25,17:26:57,50,Wxxxx2343xxx,Nicosia
2024-12-25,17:26:57,50,Uxxxx8567xxx,Nicosia
2024-12-25,17:26:57,50,Uxxxx6753xxx,Nicosia
2024-12-25,17:26:57,50,Wxxxx8249xxx,Nicosia
2024-12-25,17:26:57,50,Uxxxx1931xxx,Nicosia
2024-12-25,17:26:57,50,Vxxxx3388xxx,Nicosia
2024-12-25,17:26:57,50,Vxxxx1412xxx,Nicosia
2024-12-25,17:26:57,50,Uxxxx2448xxx,Nicosia
2024-12-25,17:26:57,50,Vxxxx4009xxx,Nicosia
2024-12-25,17:26:57,50,Wxxxx8774xxx,Nicosia
2024-12-25,17:26:57,50,Uxxxx3844xxx,Nicosia
2024-12-25,17:26:57,50,Mxxxx4508xxx,Nicosia
2024-12-25,17:26:57,50,Wxxxx9194xxx,Nicosia
2024-12-25,17:26:57,50,Exxxx1097xxx,Nicosia
2024-12-25,17:26:57,50,Exxxx7556xxx,Nicosia
2024-12-25,17:15:17,50,Wxxxx6628xxx,Nicosia
2024-12-25,17:15:17,50,Uxxxx4646xxx,Nicosia
2024-12-25,17:15:17,50,Wxxxx8426xxx,Nicosia
2024-12-25,17:15:17,50,Uxxxx8459xxx,Nicosia
2024-12-25,17:15:17,50,Vxxxx8532xxx,Nicosia
2024-12-25,17:15:17,50,Wxxxx7949xxx,Nicosia
2024-12-25,15:25:05,50,Uxxxx6588xxx,Nicosia
2024-12-25,15:25:05,50,Exxxx9574xxx,Nicosia
2024-12-25,15:25:05,50,Vxxxx1645xxx,Nicosia
2024-12-25,15:25:05,50,Exxxx1209xxx,Nicosia
2024-12-25,15:25:05,50,Rxxxx8363xxx,Nicosia
2024-12-25,15:25:05,50,Exxxx2185xxx,Nicosia
2024-12-25,15:25:05,50,Uxxxx7733xxx,Nicosia
2024-12-25,15:25:05,50,Exxxx3451xxx,Nicosia
2024-12-25,15:25:05,50,Exxxx3451xxx,Nicosia
2024-12-25,15:25:05,50,Sxxxx5771xxx,Nicosia
2024-12-25,15:25:05,50,Wxxxx2725xxx,Nicosia
2024-12-25,15:25:05,50,Pxxxx0814xxx,Nicosia
2024-12-25,15:25:05,50,Pxxxx9243xxx,Nicosia
2024-12-25,15:25:05,50,Rxxxx0707xxx,Nicosia
2024-12-25,15:25:05,50,Sxxxx4508xxx,Nicosia
2024-12-25,15:25:05,50,Zxxxx8796xxx,Nicosia
2024-12-25,15:25:05,50,Sxxxx0195xxx,Nicosia
2024-12-25,15:25:05,50,Exxxx9274xxx,Nicosia
2024-12-25,15:25:05,50,Uxxxx9253xxx,Nicosia
2024-12-25,15:25:05,50,Exxxx8260xxx,Nicosia
2024-12-25,15:25:05,50,Uxxxx8640xxx,Nicosia
2024-12-25,15:25:05,50,Exxxx9742xxx,Nicosia
2024-12-25,15:25:05,50,Zxxxx6444xxx,Nicosia
2024-12-25,15:25:05,50,Sxxxx1906xxx,Nicosia
2024-12-25,15:25:05,50,Exxxx4287xxx,Nicosia
2024-12-25,15:14:14,50,Sxxxx4881xxx,Nicosia
2024-12-25,15:14:14,50,Zxxxx5015xxx,Nicosia
2024-12-25,15:14:14,50,Exxxx3802xxx,Nicosia
2024-12-25,15:14:14,50,Vxxxx2194xxx,Nicosia
2024-12-25,15:14:14,50,Uxxxx6856xxx,Nicosia
2024-12-25,15:14:14,50,Exxxx9714xxx,Nicosia
2024-12-25,15:14:14,50,Uxxxx8580xxx,Nicosia
2024-12-25,15:14:14,50,Pxxxx0048xxx,Nicosia
2024-12-25,15:14:14,50,Sxxxx7007xxx,Nicosia
2024-12-25,15:14:14,50,Uxxxx6620xxx,Nicosia
2024-12-25,15:14:14,50,Uxxxx1823xxx,Nicosia
2024-12-25,15:14:14,50,Yxxxx4441xxx,Nicosia
2024-12-25,15:14:14,50,Vxxxx8711xxx,Nicosia
2024-12-25,15:14:14,50,Yxxxx2681xxx,Nicosia
2024-12-25,15:14:14,50,Vxxxx1133xxx,Nicosia
2024-12-25,15:14:14,50,Zxxxx4963xxx,Nicosia
2024-12-25,15:14:14,50,Sxxxx9913xxx,Nicosia
2024-12-25,15:14:14,50,Vxxxx8535xxx,Nicosia
2024-12-25,15:14:14,50,Uxxxx3423xxx,Nicosia
2024-12-25,15:14:14,50,Pxxxx8928xxx,Nicosia
2024-12-25,15:14:14,50,Exxxx2574xxx,Nicosia
2024-12-25,15:14:14,50,Vxxxx2802xxx,Nicosia
2024-12-25,15:14:14,20,Exxxx0701xxx,Nicosia
2024-12-25,15:14:14,20,Rxxxx1527xxx,Nicosia
2024-12-25,15:14:14,10,Nxxxx2821xxx,Nicosia
2024-12-23,17:33:54,10,Rxxxx3849xxx,Protaras
2024-12-23,17:33:54,5,Exxxx3300xxx,Protaras
2024-12-22,13:04:28,50,Vxxxx3732xxx,Limassol
2024-12-17,15:46:08,20,Sxxxx9677xxx,Limassol
2024-12-17,15:46:08,20,Rxxxx0587xxx,Limassol
2024-12-17,15:46:08,20,Rxxxx1030xxx,Limassol
2024-12-17,15:43:20,50,Zxxxx3958xxx,Chlorakas
2024-12-16,15:20:05,20,Rxxxx6704xxx,Limassol
2024-12-15,18:10:22,50,Rxxxx4349xxx,Chlorakas
2024-12-13,17:09:54,5,Vxxxx9393xxx,Limassol
2024-12-12,14:33:29,20,Nxxxx2533xxx,Chlorakas
2024-12-12,14:21:45,50,Exxxx7649xxx,Chlorakas
