Date,Time,Notetype,Maskedserial,Locality
2024-12-28,12:46:27,50,Vxxxx4207xxx,Praha
2024-12-28,12:46:27,20,Exxxx9124xxx,Praha
2024-12-28,12:13:24,10,Uxxxx1208xxx,Rumburk
2024-12-28,12:13:24,10,Exxxx2009xxx,Rumburk
2024-12-28,09:58:44,20,Exxxx5805xxx,Praha 1-Nové Město
2024-12-28,09:57:09,20,Uxxxx5388xxx,Praha 1-Nové Město
2024-12-28,09:56:24,20,Mxxxx9398xxx,Praha 1-Nové Město
2024-12-28,09:53:19,20,Mxxxx9398xxx,Praha 1-Nové Město
2024-12-28,09:51:45,20,Sxxxx9446xxx,Praha 1-Nové Město
2024-12-28,09:31:26,50,Uxxxx8089xxx,Karlovy Vary
2024-12-28,09:30:32,10,Pxxxx0006xxx,Karlovy Vary
2024-12-28,09:29:56,10,Xxxxx9367xxx,Karlovy Vary
2024-12-28,09:29:05,20,Rxxxx3520xxx,Karlovy Vary
2024-12-28,09:27:48,20,Rxxxx6527xxx,Karlovy Vary
2024-12-28,09:26:57,20,Rxxxx7851xxx,Karlovy Vary
2024-12-28,09:25:59,20,Sxxxx7636xxx,Karlovy Vary
2024-12-27,18:48:34,10,Txxxx9440xxx,Jindřichův Hradec
2024-12-27,06:35:37,5,Nxxxx9524xxx,Jiříkov
2024-12-26,23:09:38,10,Wxxxx4998xxx,Ceske Velenice
2024-12-26,23:09:38,10,Sxxxx0151xxx,Ceske Velenice
2024-12-26,23:09:38,10,Wxxxx5460xxx,Ceske Velenice
2024-12-26,23:09:38,10,Yxxxx7818xxx,Ceske Velenice
2024-12-26,23:09:38,20,Rxxxx8596xxx,Ceske Velenice
2024-12-26,23:09:38,10,Wxxxx3985xxx,Ceske Velenice
2024-12-26,23:09:38,5,Nxxxx0232xxx,Ceske Velenice
2024-12-24,09:12:53,5,Uxxxx8887xxx,Jiříkov
2024-12-22,13:15:07,10,Wxxxx4562xxx,Praha
2024-12-22,12:32:35,5,Mxxxx9615xxx,Prague
2024-12-22,12:32:04,10,Exxxx3073xxx,Prague
2024-12-22,12:31:14,10,Rxxxx1396xxx,Prague
2024-12-22,12:30:35,50,Wxxxx4208xxx,Prague
2024-12-22,12:30:01,50,Rxxxx3970xxx,Prague
2024-12-22,12:28:49,50,Xxxxx2359xxx,Prague
2024-12-21,20:46:43,10,Fxxxx6467xxx,Jiříkov
2024-12-21,17:07:49,5,Mxxxx3428xxx,Prague
2024-12-21,11:19:21,20,Uxxxx4553xxx,Praha 1-Nové Město
2024-12-21,11:18:15,20,Uxxxx3685xxx,Praha 1-Nové Město
2024-12-21,10:18:29,20,Rxxxx5446xxx,Praha 1-Nové Město
2024-12-21,10:17:12,20,Rxxxx8378xxx,Praha 1-Nové Město
2024-12-21,10:16:20,20,Rxxxx5999xxx,Praha 1-Nové Město
2024-12-21,10:15:11,20,Uxxxx0703xxx,Praha 1-Nové Město
2024-12-21,10:14:25,20,Wxxxx3908xxx,Praha 1-Nové Město
2024-12-20,22:13:46,10,Nxxxx4486xxx,Praha
2024-12-20,22:13:46,5,Nxxxx5660xxx,Praha
2024-12-19,17:08:34,5,Zxxxx6384xxx,Prague
2024-12-19,17:08:34,10,Vxxxx0492xxx,Prague
2024-12-19,17:08:34,20,Wxxxx4157xxx,Prague
2024-12-19,17:08:34,50,Exxxx5518xxx,Prague
2024-12-16,09:08:20,20,Rxxxx7377xxx,Praha 1-Nové Město
2024-12-16,09:02:14,20,Exxxx8870xxx,Praha 1-Nové Město
2024-12-15,20:00:21,20,Rxxxx2493xxx,Praha 1-Nové Město
2024-12-15,18:45:35,50,Pxxxx9082xxx,Jindřichův Hradec
2024-12-15,16:51:15,5,Exxxx2010xxx,Rumburk
2024-12-15,15:08:25,5,Mxxxx5252xxx,Jiříkov
2024-12-15,12:29:51,5,Zxxxx8859xxx,Praha
2024-12-15,12:29:51,5,Vxxxx0646xxx,Praha
2024-12-15,12:29:51,5,Zxxxx0881xxx,Praha
2024-12-15,08:45:22,20,Rxxxx5439xxx,Praha 1-Nové Město
2024-12-15,08:44:11,20,Exxxx3099xxx,Praha 1-Nové Město
2024-12-15,08:43:19,20,Rxxxx6960xxx,Praha 1-Nové Město
2024-12-15,08:34:34,20,Rxxxx2477xxx,Praha 1-Nové Město
2024-12-15,00:03:12,20,Rxxxx3330xxx,Praha 1-Nové Město
2024-12-14,11:40:23,10,Yxxxx9368xxx,Karlovy Vary
2024-12-14,11:39:26,100,Sxxxx1080xxx,Karlovy Vary
2024-12-14,11:36:44,50,Exxxx4231xxx,Karlovy Vary
2024-12-14,11:36:08,50,Exxxx4216xxx,Karlovy Vary
2024-12-14,11:35:30,50,Exxxx4231xxx,Karlovy Vary
2024-12-14,11:34:45,50,Exxxx4231xxx,Karlovy Vary
2024-12-14,06:10:34,20,Rxxxx4002xxx,Praha 1-Nové Město
2024-12-14,06:09:25,20,Uxxxx5944xxx,Praha 1-Nové Město
2024-12-14,06:08:07,20,Mxxxx5429xxx,Praha 1-Nové Město
2024-12-14,06:07:26,20,Sxxxx2086xxx,Praha 1-Nové Město
2024-12-14,06:06:34,20,Rxxxx0295xxx,Praha 1-Nové Město
2024-12-14,06:05:32,20,Rxxxx1764xxx,Praha 1-Nové Město
2024-12-14,06:04:12,20,Sxxxx1796xxx,Praha 1-Nové Město
2024-12-14,06:03:11,20,Rxxxx9397xxx,Praha 1-Nové Město
2024-12-14,06:02:33,20,Uxxxx5809xxx,Praha 1-Nové Město
2024-12-13,08:39:02,10,Fxxxx8489xxx,Aš
2024-12-12,22:55:58,5,Yxxxx4796xxx,Praha
2024-12-12,22:51:37,50,Vxxxx0272xxx,Praha
2024-12-12,22:50:30,5,Zxxxx6362xxx,Praha
2024-12-12,22:48:06,100,Uxxxx0423xxx,Praha
2024-12-11,15:47:56,10,Vxxxx1277xxx,Prague
2024-12-11,15:47:56,10,Rxxxx4459xxx,Prague
2024-12-11,05:32:33,50,Sxxxx2345xxx,Praha 1-Nové Město
2024-12-11,00:58:11,20,Uxxxx4769xxx,Liberec
2024-12-08,19:23:27,5,Nxxxx9032xxx,Praha 1-Nové Město
2024-12-08,19:22:54,10,Pxxxx8451xxx,Praha 1-Nové Město
2024-12-08,13:05:11,20,Fxxxx1781xxx,Praha 1-Nové Město
2024-12-08,13:04:24,50,Uxxxx7761xxx,Praha 1-Nové Město
2024-12-08,13:03:22,50,Rxxxx0368xxx,Praha 1-Nové Město
2024-12-08,13:02:50,50,Vxxxx8687xxx,Praha 1-Nové Město
2024-12-08,12:47:48,50,Vxxxx0683xxx,Praha 1-Nové Město
2024-12-08,12:45:54,50,Rxxxx9003xxx,Praha 1-Nové Město
2024-12-08,12:44:12,50,Uxxxx0546xxx,Praha 1-Nové Město
2024-12-08,12:43:51,50,Uxxxx0546xxx,Praha 1-Nové Město
2024-12-08,11:56:08,50,Uxxxx0546xxx,Praha 1-Nové Město
2024-12-08,11:54:07,50,Rxxxx5362xxx,Praha 1-Nové Město
2024-12-08,11:53:34,50,Rxxxx5362xxx,Praha 1-Nové Město
2024-12-08,10:28:14,50,Vxxxx1264xxx,Praha 1-Nové Město
2024-12-08,10:27:29,50,Uxxxx9869xxx,Praha 1-Nové Město
2024-12-08,10:25:10,50,Uxxxx7479xxx,Praha 1-Nové Město
2024-12-08,10:24:10,50,Sxxxx7152xxx,Praha 1-Nové Město
2024-12-08,10:23:07,50,Sxxxx3259xxx,Praha 1-Nové Město
2024-12-08,10:22:10,50,Uxxxx2486xxx,Praha 1-Nové Město
2024-12-08,10:15:12,50,Exxxx2391xxx,Praha 1-Nové Město
2024-12-08,08:14:11,5,Uxxxx1447xxx,Praha 1-Nové Město
2024-12-08,08:13:16,10,Txxxx7351xxx,Praha 1-Nové Město
2024-12-07,23:38:40,50,Uxxxx6109xxx,Rumburk
2024-12-07,20:11:13,20,Wxxxx2117xxx,Praha 1-Nové Město
2024-12-07,16:24:24,100,Xxxxx7555xxx,Praha 1-Nové Město
2024-12-07,12:29:38,100,Sxxxx6321xxx,Praha 1-Nové Město
2024-12-07,12:27:59,100,Sxxxx7023xxx,Praha 1-Nové Město
2024-12-07,12:27:14,100,Nxxxx7914xxx,Praha 1-Nové Město
2024-12-07,12:25:27,100,Xxxxx6898xxx,Praha 1-Nové Město
2024-12-07,11:23:17,100,Sxxxx8975xxx,Praha 1-Nové Město
2024-12-07,11:22:21,100,Xxxxx8541xxx,Praha 1-Nové Město
2024-12-07,10:21:51,100,Xxxxx9444xxx,Praha 1-Nové Město
2024-12-06,23:40:22,10,Rxxxx6045xxx,Jiříkov
2024-12-06,21:10:46,20,Xxxxx3612xxx,Vyšší Brod
2024-12-06,21:10:46,20,Exxxx8091xxx,Vyšší Brod
2024-12-06,19:39:38,5,Nxxxx9800xxx,Praha-1
2024-12-06,18:33:34,10,Wxxxx7240xxx,Pardubice
2024-12-06,18:33:34,10,Rxxxx9462xxx,Pardubice
2024-12-06,18:33:34,10,Wxxxx5592xxx,Pardubice
2024-12-06,18:33:34,10,Wxxxx6511xxx,Pardubice
2024-12-06,11:06:05,5,Mxxxx4904xxx,Hranice
2024-12-05,22:41:42,5,Nxxxx0206xxx,Vyšší Brod
2024-12-05,21:32:04,10,Wxxxx7803xxx,Vyšší Brod
2024-12-05,21:32:04,10,Uxxxx1566xxx,Vyšší Brod
2024-12-05,21:32:04,10,Vxxxx7384xxx,Vyšší Brod
2024-12-03,23:26:03,50,Xxxxx7749xxx,Úvaly
2024-12-03,23:26:03,200,Uxxxx9420xxx,Úvaly
2024-12-03,23:26:03,200,Exxxx7938xxx,Úvaly
2024-12-03,23:26:03,200,Uxxxx4489xxx,Úvaly
2024-12-03,23:26:03,200,Exxxx7141xxx,Úvaly
2024-12-03,23:26:03,100,Exxxx4175xxx,Úvaly
2024-12-03,23:26:03,50,Uxxxx7337xxx,Úvaly
2024-12-03,23:26:03,50,Zxxxx4361xxx,Úvaly
2024-12-03,23:26:03,50,Sxxxx6068xxx,Úvaly
2024-12-03,23:26:03,50,Exxxx8332xxx,Úvaly
2024-12-03,23:20:09,50,Rxxxx6164xxx,Úvaly
2024-12-03,23:20:09,50,Rxxxx3737xxx,Úvaly
2024-12-03,23:20:09,50,Uxxxx9550xxx,Úvaly
2024-12-03,23:20:09,50,Rxxxx0638xxx,Úvaly
2024-12-03,23:20:09,50,Uxxxx2743xxx,Úvaly
2024-12-03,23:20:09,50,Vxxxx6580xxx,Úvaly
2024-12-03,23:20:09,50,Wxxxx4127xxx,Úvaly
2024-12-03,23:20:09,50,Exxxx1533xxx,Úvaly
2024-12-03,23:20:09,50,Sxxxx6487xxx,Úvaly
2024-12-03,23:20:09,20,Rxxxx2228xxx,Úvaly
2024-12-03,23:20:09,20,Rxxxx3541xxx,Úvaly
2024-12-03,23:20:09,20,Rxxxx7642xxx,Úvaly
2024-12-03,23:20:09,20,Sxxxx9843xxx,Úvaly
2024-12-03,23:20:09,20,Uxxxx3017xxx,Úvaly
2024-12-03,23:20:09,20,Zxxxx0618xxx,Úvaly
2024-12-03,23:20:09,20,Uxxxx6924xxx,Úvaly
2024-12-03,23:20:09,10,Wxxxx3128xxx,Úvaly
2024-12-03,23:20:09,10,Wxxxx3649xxx,Úvaly
2024-12-03,23:20:09,10,Nxxxx5951xxx,Úvaly
2024-12-03,23:20:09,10,Rxxxx3123xxx,Úvaly
2024-12-03,23:20:09,10,Xxxxx3542xxx,Úvaly
2024-12-03,23:20:09,10,Rxxxx3503xxx,Úvaly
2024-12-03,23:20:09,10,Rxxxx4439xxx,Úvaly
2024-12-03,23:20:09,10,Yxxxx8260xxx,Úvaly
2024-12-03,23:20:09,10,Pxxxx1526xxx,Úvaly
2024-12-03,23:05:30,5,Nxxxx4600xxx,Úvaly
