Date,Time,Notetype,Maskedserial,Locality
2024-12-28,10:18:53,10,Wxxxx1202xxx,Tallinn
2024-12-28,10:18:53,5,Mxxxx6641xxx,Tallinn
2024-12-28,10:17:38,5,Yxxxx5191xxx,Tallinn
2024-12-27,20:29:18,50,Uxxxx9467xxx,Tallinn
2024-12-27,20:29:18,50,Exxxx7768xxx,Tallinn
2024-12-27,20:29:18,20,Uxxxx9453xxx,Tallinn
2024-12-27,13:33:01,20,Txxxx3935xxx,Tallinn
2024-12-27,13:33:01,20,Exxxx4904xxx,Tallinn
2024-12-27,13:29:18,5,Txxxx8675xxx,Tallinn
2024-12-27,13:29:18,5,Mxxxx2415xxx,Tallinn
2024-12-27,13:29:18,5,Zxxxx6794xxx,Tallinn
2024-12-27,13:29:18,5,Mxxxx6532xxx,Tallinn
2024-12-27,13:29:18,5,Nxxxx7996xxx,Tallinn
2024-12-27,13:29:18,5,Uxxxx4602xxx,Tallinn
2024-12-27,13:29:18,5,Nxxxx5476xxx,Tallinn
2024-12-27,13:29:18,5,Yxxxx1752xxx,Tallinn
2024-12-27,13:29:18,5,Mxxxx8024xxx,Tallinn
2024-12-27,13:26:16,5,Yxxxx5184xxx,Tallinn
2024-12-27,13:26:16,5,Yxxxx9009xxx,Tallinn
2024-12-27,13:26:16,5,Nxxxx9215xxx,Tallinn
2024-12-27,13:26:16,5,Vxxxx2226xxx,Tallinn
2024-12-27,13:26:16,5,Vxxxx3939xxx,Tallinn
2024-12-27,13:26:16,5,Vxxxx5127xxx,Tallinn
2024-12-27,13:26:16,5,Uxxxx3137xxx,Tallinn
2024-12-27,13:26:16,5,Zxxxx7589xxx,Tallinn
2024-12-27,13:26:16,5,Uxxxx4592xxx,Tallinn
2024-12-27,13:26:16,5,Vxxxx8328xxx,Tallinn
2024-12-27,13:26:16,5,Nxxxx6087xxx,Tallinn
2024-12-27,13:26:16,5,Zxxxx3404xxx,Tallinn
2024-12-27,13:26:16,5,Vxxxx0515xxx,Tallinn
2024-12-27,13:26:16,5,Nxxxx1813xxx,Tallinn
2024-12-27,13:26:16,5,Mxxxx2988xxx,Tallinn
2024-12-27,13:26:16,5,Nxxxx1072xxx,Tallinn
2024-12-27,13:26:16,5,Zxxxx8111xxx,Tallinn
2024-12-27,13:26:16,5,Uxxxx0395xxx,Tallinn
2024-12-27,13:26:16,5,Vxxxx0546xxx,Tallinn
2024-12-27,13:26:16,5,Nxxxx5651xxx,Tallinn
2024-12-27,13:26:16,5,Uxxxx0677xxx,Tallinn
2024-12-27,13:26:16,5,Nxxxx2271xxx,Tallinn
2024-12-27,13:26:16,5,Uxxxx3020xxx,Tallinn
2024-12-27,13:26:16,5,Sxxxx5108xxx,Tallinn
2024-12-27,13:26:16,5,Vxxxx2711xxx,Tallinn
2024-12-27,13:05:04,10,Sxxxx2509xxx,Tallinn
2024-12-27,13:05:04,5,Zxxxx8599xxx,Tallinn
2024-12-27,12:39:33,5,Mxxxx9877xxx,Kuressaare
2024-12-27,07:03:22,20,Exxxx2146xxx,Palivere
2024-12-27,07:03:22,20,Uxxxx1185xxx,Palivere
2024-12-27,06:49:50,5,Vxxxx7922xxx,Palivere
2024-12-27,05:46:38,10,Wxxxx4127xxx,Tallinn
2024-12-26,19:32:10,5,Uxxxx0841xxx,Tallinn
2024-12-26,19:32:10,5,Vxxxx7598xxx,Tallinn
2024-12-26,19:32:10,5,Mxxxx5779xxx,Tallinn
2024-12-26,19:32:10,5,Mxxxx8812xxx,Tallinn
2024-12-26,19:32:10,5,Uxxxx0281xxx,Tallinn
2024-12-26,19:32:10,5,Uxxxx6020xxx,Tallinn
2024-12-26,19:26:14,10,Wxxxx2614xxx,Tallinn
2024-12-26,19:26:14,5,Nxxxx2153xxx,Tallinn
2024-12-26,19:26:14,5,Uxxxx3497xxx,Tallinn
